N	2gram	Berdyaev_O_1	Formalny
1	т е	4	32
2	и не	13	30
3	вовсе не	1	28
4	и в	19	27
5	может быть	11	25
6	не может	4	24
7	так и	2	21
8	и его	4	19
9	в этом	12	18
10	а не	11	17
11	самом деле	1	16
12	в нем	10	15
13	в процессе	1	15
14	и пр	1	15
15	на самом	1	14
16	как и	6	14
17	не в	11	12
18	если бы	1	12
19	в самом	5	11
20	в жизни	1	11
21	и от	3	11
22	не могут	3	10
23	но и	13	10
24	не только	11	9
25	лишь в	7	9
26	так как	2	9
27	как бы	3	8
28	то что	5	8
29	и все	10	8
30	что в	4	8
31	тем же	1	7
32	с тем	2	7
33	потому что	9	7
34	его в	2	7
35	в его	7	7
36	в том	5	7
37	все это	6	7
38	совершенно не	1	7
39	еще не	3	6
40	но в	2	6
41	все эти	4	6
42	в своей	2	6
43	и ее	3	6
44	всяком случае	1	6
45	все время	1	6
46	было бы	3	6
47	что он	3	6
48	все же	2	6
49	и для	2	6
50	бы в	1	6
51	хотя бы	3	6
52	в своих	3	6
53	во всяком	1	6
54	совсем не	2	5
55	но не	1	5
56	в истории	2	5
57	в одной	1	5
58	в единстве	2	5
59	в каждом	1	5
60	того чтобы	4	5
61	в ней	1	5
62	что они	2	5
63	никогда не	9	5
64	говорит он	1	5
65	лишь для	1	5
66	тем что	2	5
67	и потому	2	5
68	что же	2	5
69	и формы	1	5
70	не есть	2	4
71	мы не	1	4
72	он был	8	4
73	как в	1	4
74	и как	1	4
75	а вовсе	1	4
76	бы ни	1	4
77	в корне	1	4
78	в ее	2	4
79	том что	2	4
80	по себе	2	4
81	она не	1	4
82	могут быть	3	4
83	о том	3	4
84	же и	1	4
85	уже в	2	4
86	для того	3	4
87	со стороны	1	4
88	прежде всего	9	4
89	до конца	7	4
90	как это	1	4
91	да и	1	4
92	от всех	1	4
93	жизни и	1	4
94	должна быть	1	3
95	в виду	1	3
96	и на	2	3
97	то он	1	3
98	бы и	1	3
99	что это	1	3
100	в себе	3	3
101	и с	2	3
102	это не	3	3
103	заложенных в	2	3
104	ее в	2	3
105	он и	1	3
106	в этих	3	3
107	и более	1	3
108	как от	1	3
109	ничто не	2	3
110	этом отношении	1	3
111	а что	1	3
112	они и	1	3
113	в эпоху	1	3
114	и что	1	3
115	в них	1	3
116	уже не	1	3
117	его и	1	3
118	нуждается в	1	3
119	в конце	1	3
120	у нас	1	3
121	к его	1	3
122	того что	3	3
123	о нем	1	3
124	жизни в	2	3
125	сказать что	2	3
126	и эта	1	3
127	смысле слова	1	2
128	ту же	1	2
129	отношения к	1	2
