N	2gram	Propp_Isto_4	VerxiiNi
1	и в	26	26
2	таким образом	10	22
3	с тем	2	18
4	в этом	7	15
5	вместе с	6	15
6	точки зрения	1	13
7	как бы	3	12
8	в том	3	11
9	из этих	3	10
10	не только	15	10
11	и с	5	10
12	может быть	14	10
13	связи с	3	9
14	в области	2	9
15	так как	9	9
16	но и	12	9
17	что в	14	9
18	но не	5	8
19	главным образом	2	8
20	в индии	1	8
21	и у	5	8
22	с другой	4	8
23	и не	9	8
24	как на	1	8
25	но в	5	7
26	связанные с	3	7
27	но все	5	7
28	из них	2	7
29	том что	3	7
30	потому что	6	7
31	в эпоху	1	7
32	к нему	6	7
33	то что	16	7
34	а с	1	7
35	представление о	1	6
36	все же	9	6
37	все эти	3	6
38	в себе	2	6
39	к тому	1	6
40	так и	10	6
41	о том	4	6
42	что и	9	6
43	все это	2	6
44	мы должны	5	6
45	отношение к	2	5
46	сих пор	5	5
47	и к	1	5
48	в силу	5	5
49	лишь в	2	5
50	не имеет	3	5
51	никогда не	2	5
52	в его	5	5
53	до сих	5	5
54	а не	6	5
55	к жизни	1	5
56	так же	18	5
57	одной из	1	5
58	том числе	1	5
59	в котором	1	4
60	то же	8	4
61	при жизни	2	4
62	целый ряд	1	4
63	в этой	2	4
64	и по	5	4
65	должен был	3	4
66	он не	7	4
67	попадает в	3	4
68	бога и	1	4
69	и тогда	1	4
70	в которых	4	4
71	в то	1	4
72	очень мало	1	4
73	в нем	2	4
74	а в	8	4
75	и что	5	4
76	и только	5	4
77	только в	3	4
78	и вместе	1	4
79	на этот	2	4
80	ничем не	1	4
81	не может	6	4
82	из которых	5	4
83	в этих	7	4
84	во время	7	4
85	что он	10	4
86	в виде	2	4
87	же как	13	3
88	не вполне	1	3
89	так называемые	1	3
90	большей частью	3	3
91	к богу	1	3
92	если в	1	3
93	в своем	2	3
94	когда он	6	3
95	и как	5	3
96	что это	2	3
97	и те	1	3
98	друг за	1	3
99	и если	3	3
100	при этом	3	3
101	и при	3	3
102	тем не	2	3
103	если бы	2	3
104	не менее	2	3
105	представляет собой	2	3
106	в других	2	3
107	на нее	1	3
108	ясно что	1	3
109	можно сказать	1	3
110	путь к	1	3
111	того что	2	3
112	но с	1	3
113	хотя бы	2	3
114	в качестве	7	3
115	так что	2	3
116	из которого	1	3
117	уже не	5	3
118	что эти	1	3
119	в одном	5	3
120	к ним	2	3
121	и даже	4	3
122	или иначе	1	3
123	в связи	2	3
124	с этой	2	3
125	в результате	1	3
126	у них	1	3
127	и другие	3	3
128	к этому	5	3
129	точно так	5	3
130	говорили о	1	2
131	одним из	1	2
132	в русских	2	2
133	связана с	2	2
134	и это	1	2
135	мы имеем	7	2
136	так чтобы	1	2
137	и заставляет	1	2
138	еще не	6	2
139	и на	2	2
140	во всех	1	2
141	друг на	1	2
142	силы и	1	2
143	или иное	1	2
144	относится к	3	2
145	общего с	1	2
146	что именно	1	2
147	и наконец	1	2
148	и материальной	1	2
149	еще на	1	2
150	он в	4	2
151	на то	3	2
152	не могла	1	2
153	перестает быть	1	2
154	не к	2	2
155	не как	1	2
156	и связанные	1	2
157	из него	1	2
158	его от	2	2
159	людей и	1	2
160	связан с	3	2
161	те же	3	2
162	них не	1	2
163	на все	1	2
164	с целью	2	2
165	в них	1	2
166	к которым	5	2
167	на друга	1	2
168	не всегда	6	2
169	мы видели	6	2
170	но если	1	2
171	не в	5	2
172	вплоть до	1	2
173	тогда когда	1	2
174	ее с	1	2
175	не могло	2	2
176	в русском	1	2
177	и является	1	2
178	так например	2	2
179	ему в	2	2
180	не потому	1	2
181	и здесь	5	2
182	не могут	2	2
183	и другой	1	2
184	утверждать что	1	2
185	ничего общего	1	2
186	приводит к	1	2
187	на восток	1	2
188	в образе	3	2
189	особенно в	1	2
190	связанных с	2	2
191	по сравнению	3	2
192	должны признать	1	2
193	для этого	1	2
194	творец и	1	2
195	в виду	1	2
196	с того	3	2
197	а также	3	2
198	быть и	1	2
199	по своей	2	2
200	один из	1	2
201	тот же	1	2
202	и действительно	3	2
203	очень много	1	2
204	этот факт	2	2
205	от них	2	2
206	конечно не	2	2
207	уже в	2	2
208	эти черты	1	2
209	в начале	1	2
210	одно из	1	2
211	мы можем	6	2
212	но вместе	1	2
213	именно в	1	2
214	по своим	1	2
215	к которому	1	2
216	прежде всего	1	2
217	выступает в	1	2
218	связано с	1	2
219	превращается в	7	2
220	не было	1	2
221	его смерти	1	2
222	и все	2	2
223	виде в	1	2
224	уже давно	1	2
225	связь с	12	2
226	после его	1	2
227	сравнению с	3	2
228	по существу	3	2
229	никем не	1	2
230	на пути	1	2
231	что мы	3	2
232	же самое	2	2
233	или по	1	2
234	и перед	1	2
235	в другое	1	2
236	пути к	1	2
237	только что	3	2
238	сказать что	2	2
239	к его	1	2
240	одновременно и	1	2
241	жизни и	1	2
242	все что	4	2
243	эта новая	1	1
244	на голове	1	1
245	представляют себе	1	1
246	вряд ли	1	1
247	к их	1	1
248	в этот	4	1
249	начинается с	2	1
250	живое существо	2	1
251	согласно этому	1	1
252	он может	2	1
253	стоит всегда	1	1
254	своей основной	1	1
255	это и	5	1
256	что дает	1	1
257	и есть	2	1
258	магическая сила	2	1
259	полагают что	1	1
260	все те	1	1
261	между человеком	2	1
262	и могут	1	1
263	мы уже	5	1
264	той же	1	1
265	их и	1	1
266	а как	2	1
267	это совершенно	1	1
268	мы не	1	1
269	совершенно так	6	1
270	именно к	1	1
271	этого момента	1	1
272	он как	1	1
273	представлением о	2	1
274	время как	1	1
275	совпадает с	1	1
276	предков и	1	1
277	существо которое	1	1
278	как бог	1	1
279	мы и	1	1
280	не совсем	1	1
281	было очень	1	1
282	в ней	1	1
283	на них	1	1
284	мы читаем	2	1
285	за это	2	1
286	в широком	1	1
287	в чем	1	1
288	правда этот	1	1
289	общих чертах	2	1
290	сказать и	1	1
291	землю и	1	1
292	видели что	3	1
293	произошло в	1	1
294	же она	1	1
295	у сибирских	1	1
296	культуру и	1	1
297	а и	1	1
298	вступают в	2	1
299	а через	1	1
300	что так	1	1
301	к своей	3	1
302	что они	6	1
303	себя в	2	1
304	в одной	3	1
305	эта связь	5	1
306	как в	7	1
307	как к	1	1
308	вспомним что	1	1
309	однако не	1	1
310	всей этой	1	1
311	на человека	1	1
312	разнообразных мифов	1	1
313	его к	3	1
314	есть ли	1	1
315	к чему	1	1
316	та же	1	1
317	то время	1	1
318	думать что	1	1
319	отчасти и	1	1
320	и заставить	1	1
321	и тот	2	1
322	образом при	1	1
323	имеем в	2	1
324	широком смысле	1	1
325	на его	3	1
326	уже тогда	1	1
327	вера в	1	1
328	с верой	2	1
329	к нашим	1	1
330	в нашей	1	1
331	всех этих	1	1
332	его тела	1	1
333	он должен	3	1
334	и более	3	1
335	с представлением	3	1
336	на земле	3	1
337	на этом	2	1
338	а остальные	1	1
339	что она	3	1
340	человека в	1	1
341	не следует	1	1
342	в одну	2	1
343	задний план	2	1
344	в старину	1	1
345	а по	4	1
346	на этой	1	1
347	себя не	1	1
348	его в	9	1
349	есть не	1	1
350	это не	5	1
351	было бы	2	1
352	этой силы	1	1
353	в свой	2	1
354	чаще всего	1	1
355	смерть и	1	1
356	части тела	3	1
357	ни в	2	1
358	существовали в	1	1
359	о которых	1	1
360	она и	1	1
361	как и	7	1
362	которой не	1	1
363	восходят к	1	1
364	на одну	1	1
365	героем и	1	1
366	с луной	1	1
367	особенно сильно	1	1
368	его нельзя	1	1
369	или вообще	1	1
370	от своего	3	1
371	их он	1	1
372	в своей	4	1
373	в сети	1	1
