N	3gram	Tiupa_Anal_3	Sovremen
1	с точки зрения	2	5
2	каждом отдельном случае	1	5
3	в каждом отдельном	1	5
4	в зависимости от	1	4
5	не может быть	1	4
6	тем не менее	2	2
7	во всяком случае	2	2
8	в отличие от	2	2
9	в свою очередь	4	2
10	и может быть	1	1
11	что иное как	1	1
12	в известном смысле	1	1
13	по крайней мере	4	1
14	и есть не	1	1
15	не могут быть	1	1
16	всяком случае не	1	1
17	не отразиться на	1	1
18	не в том	1	1
19	в связи с	1	1
20	дело в том	2	1
21	по отношению к	7	1
22	на самом деле	1	1
23	в этом смысле	1	1
24	и той же	2	1
25	в свое время	2	1
26	в этом случае	1	1
27	один и тот	1	1
28	под углом зрения	1	1
29	и все же	1	1
30	в дальнейшем мы	1	1
31	до сих пор	1	1
32	то же время	3	1
33	тот или иной	2	1
34	есть не что	1	1
35	ведь это не	1	1
36	но они не	1	1
37	в конечном счете	2	1
38	в самом деле	1	1
39	той или иной	3	1
40	и прежде всего	2	1
41	в то же	3	1
42	одной и той	2	1
43	не что иное	1	1
44	с новой силой	1	1
45	в том что	7	1
46	в данном случае	3	1
47	той же природы	1	1
48	на этот вопрос	1	1
49	с одной стороны	2	1
50	тот факт что	1	1
51	и тот же	1	1
