N	4gram	Losev_Dial_3	VLabPisa
1	в то же время	1	5
2	и в то же	1	3
3	с одной стороны и	1	2
4	уже по одному тому	2	2
5	по одному тому что	2	2
6	говоря уже о том	1	1
7	одно и то же	2	1
8	самого себя таким образом	1	1
9	с этой точки зрения	2	1
10	и в зависимости от	1	1
11	уже о том что	1	1
12	в том смысле что	1	1
13	не чем иным как	1	1
14	понимать в том смысле	1	1
15	и есть то что	1	1
16	это и значит что	1	1
17	в то время как	4	1
18	есть одно и то	1	1
19	так же как и	1	1
20	уже сама по себе	1	1
21	не говоря уже о	2	1
