N	2gram	Tiupa_Teor_1	Dialekti
1	и не	13	27
2	а не	9	26
3	точки зрения	9	25
4	и в	18	24
5	не только	16	23
6	по себе	1	20
7	не может	4	19
8	и что	3	15
9	что все	1	14
10	с точки	3	14
11	то что	3	14
12	таким образом	3	13
13	что он	1	13
14	вовсе не	3	13
15	может быть	17	13
16	и даже	2	13
17	что это	1	12
18	того что	4	12
19	не менее	4	11
20	– тогда	1	11
21	в сущности	1	10
22	отнюдь не	3	10
23	тем не	3	10
24	только не	2	10
25	не существует	1	10
26	есть не	1	9
27	что она	2	9
28	ни в	2	9
29	но и	9	9
30	в этом	8	8
31	и как	2	8
32	отличается от	2	8
33	так что	1	8
34	прежде всего	2	8
35	том что	9	8
36	– не	4	7
37	в самом	4	7
38	как и	4	7
39	никогда не	4	7
40	как раз	2	7
41	потому что	3	7
42	в виду	5	7
43	только на	1	7
44	в особенности	1	7
45	что в	9	7
46	д и	1	6
47	что иное	1	6
48	я не	2	6
49	иное как	1	6
50	– это	18	6
51	то же	7	6
52	об этом	2	6
53	превращается в	2	6
54	оно не	1	6
55	и –	3	6
56	если бы	3	6
57	что и	2	6
58	и только	1	6
59	о том	1	6
60	и жизни	1	6
61	так как	1	6
62	– в	15	6
63	не на	2	6
64	все это	2	6
65	от всего	1	6
66	не что	1	6
67	но –	2	5
68	вопрос о	1	5
69	что его	1	5
70	хотя и	3	5
71	и к	3	5
72	он не	3	5
73	по крайней	1	5
74	одно и	1	5
75	так и	10	5
76	было бы	1	5
77	в них	2	5
78	в том	16	5
79	в то	6	5
80	и притом	2	5
81	и сама	1	5
82	и его	8	5
83	только в	6	5
84	уже не	4	5
85	миф –	1	5
86	крайней мере	1	5
87	что не	1	5
88	что для	1	5
89	как это	8	5
90	личности и	4	5
91	и то	2	4
92	и больше	2	4
93	говорить о	3	4
94	в чем	1	4
95	и мира	2	4
96	сама по	1	4
97	субъекта и	2	4
98	подобно тому	1	4
99	собственно говоря	1	4
100	это не	2	4
101	на первый	1	4
102	от себя	3	4
103	если нет	1	4
104	тому что	2	4
105	не могут	2	4
106	и это	2	4
107	то время	1	4
108	– и	2	4
109	жизнь и	1	4
110	к тому	2	4
111	с другой	7	4
112	для него	2	4
113	оно –	1	4
114	или иной	4	4
115	говорит о	1	4
116	у нас	2	4
117	так же	2	4
118	тому как	1	4
119	сказать что	3	4
120	была бы	3	3
121	той же	1	3
122	и на	1	3
123	коем случае	2	3
124	за пределы	2	3
125	и я	1	3
126	мере в	1	3
127	в одной	1	3
128	границы и	1	3
129	и объекта	1	3
130	в своем	4	3
131	перед нами	2	3
132	все эти	2	3
133	тем более	1	3
134	на то	1	3
135	в нем	4	3
136	он должен	2	3
137	в силу	1	3
138	чем собственно	1	3
139	не будет	2	3
140	того или	3	3
141	должно быть	1	3
142	и без	1	3
143	не в	7	3
144	особого рода	2	3
145	тем самым	4	3
146	она не	1	3
147	в основе	3	3
148	но она	2	3
149	– все	3	3
150	в коем	2	3
151	на себя	2	3
152	же время	5	3
153	и о	4	3
154	быть может	1	3
155	это было	2	3
156	к нему	1	3
157	или –	1	3
158	быть и	2	3
159	и ее	3	3
160	с одной	2	3
161	есть в	2	3
162	из них	1	3
163	случае не	2	3
164	не говорит	1	3
165	тем что	1	3
166	и объект	1	3
167	для того	1	3
168	в каком	1	3
169	не было	1	3
170	одной стороны	2	3
171	как бы	5	3
172	сравнении с	1	3
173	если не	1	3
174	и от	1	3
175	мира и	1	3
176	ни к	3	3
177	ибо и	1	3
178	не знает	3	3
179	в сравнении	1	3
180	только о	1	3
181	– как	2	3
182	все что	1	3
183	в слове	3	3
184	я и	2	2
185	также и	1	2
186	например в	1	2
187	же как	1	2
188	в частности	16	2
189	или к	1	2
190	в первом	2	2
191	субъект и	2	2
192	исходит из	1	2
193	из того	1	2
194	что можно	3	2
195	живое существо	1	2
196	начало и	1	2
197	еще не	4	2
198	на них	1	2
199	бы то	1	2
200	с его	5	2
201	но не	9	2
202	первых двух	1	2
203	сознания в	1	2
204	целый ряд	1	2
205	но в	9	2
206	то в	2	2
207	в условиях	1	2
208	– тоже	1	2
209	из этих	3	2
210	на стадии	1	2
211	в себе	9	2
212	но на	1	2
213	при этом	12	2
214	и вот	3	2
215	и по	2	2
216	на этом	1	2
217	ко второму	1	2
218	быть настоящим	1	2
219	обе стороны	1	2
220	чаще всего	1	2
221	только одно	1	2
222	она и	1	2
223	вещи в	1	2
224	от своего	2	2
225	в их	2	2
226	от его	1	2
227	– только	1	2
228	их в	3	2
229	бы быть	1	2
230	с которой	1	2
231	на котором	1	2
232	иметь в	1	2
233	того и	1	2
234	только и	1	2
235	о ней	2	2
236	и является	2	2
237	ничто не	1	2
238	как я	1	2
239	не вполне	2	2
240	личности в	3	2
241	могут быть	4	2
242	для такого	1	2
243	той или	1	2
244	для себя	1	2
245	как мы	1	2
246	меня в	1	2
247	так в	4	2
248	разного рода	1	2
249	для этого	1	2
250	быть или	1	2
251	и здесь	2	2
252	никак не	1	2
253	не содержит	1	2
254	однако что	1	2
255	смысле не	1	2
256	в его	6	2
257	даже если	1	2
258	их не	1	2
259	и тем	3	2
260	тот или	2	2
261	себя в	6	2
262	ничего нельзя	1	2
263	нового времени	3	2
264	никто не	2	2
265	ведь это	1	2
266	у него	1	2
267	так или	4	2
268	со стороны	2	2
269	или иначе	5	2
270	именно в	3	2
271	а именно	2	2
272	еще и	1	2
273	себя и	1	2
274	только к	1	2
275	с моей	1	2
276	но как	1	2
277	здесь именно	1	2
278	нет никаких	1	2
279	и потому	2	2
280	мы говорим	1	2
281	куда же	1	2
282	в данном	8	2
283	по существу	1	2
284	личность как	1	2
285	тех или	3	2
286	и для	2	2
287	делает ее	1	2
288	или в	3	2
289	себя самого	1	2
290	этим законам	1	2
291	бы в	1	2
292	зрения в	1	2
293	я думаю	1	2
294	а в	13	2
295	личность и	1	2
296	слово в	1	2
297	другой стороны	5	2
298	совершенно не	1	2
299	о себе	2	2
300	или иного	3	2
301	из этого	1	2
302	точно так	1	2
303	ее в	2	2
304	в своих	1	2
305	они не	1	2
306	может или	1	1
307	кто его	1	1
308	ту же	1	1
309	кто бы	1	1
310	говоря о	3	1
311	отношения к	2	1
312	чтобы не	1	1
313	начинается с	1	1
314	к понятию	1	1
315	идет о	1	1
316	конечно с	1	1
317	вещей в	1	1
318	к другому	1	1
319	по преимуществу	4	1
320	можно лишь	1	1
321	и души	1	1
322	из всего	1	1
323	и себя	1	1
324	на первом	1	1
325	превратилась в	1	1
326	говоря и	2	1
327	на свою	1	1
328	этого термина	1	1
329	или его	1	1
330	личности с	1	1
331	думаю что	1	1
332	нечто в	1	1
333	объекта или	1	1
334	во всех	1	1
335	других а	1	1
336	а только	3	1
337	одном и	1	1
338	конечном счете	6	1
339	тогда как	15	1
340	свободы и	1	1
341	когда у	1	1
342	от одной	1	1
343	если она	1	1
344	независимо от	1	1
345	как таковыми	1	1
346	как к	2	1
347	о жизни	1	1
348	глубже чем	1	1
349	это тоже	2	1
350	духа и	1	1
351	более или	2	1
352	силе и	1	1
353	именно эта	1	1
354	со своей	3	1
355	к чему	2	1
356	в которой	2	1
357	из жизни	1	1
358	есть для	1	1
359	то я	1	1
360	во многих	1	1
361	если мы	2	1
362	пусть это	1	1
363	право на	1	1
364	иначе –	1	1
365	говорят о	1	1
366	имеем в	3	1
367	если он	1	1
368	корнями в	2	1
369	только личность	1	1
370	он ни	1	1
371	в реальной	1	1
372	на одну	1	1
373	при виде	1	1
374	свою собственную	1	1
375	принадлежат и	1	1
376	– на	3	1
377	этом мире	2	1
378	его можно	1	1
379	или иных	3	1
380	точнее –	1	1
381	было возможно	1	1
382	то ни	1	1
383	в мире	19	1
384	– то	1	1
385	сознание не	1	1
386	его в	2	1
387	природой и	1	1
388	и логические	1	1
389	на почве	4	1
390	свести к	1	1
391	и дает	1	1
392	весь мир	1	1
393	на вещи	1	1
394	к картине	1	1
395	только лишь	1	1
396	нет в	1	1
397	далеко не	2	1
398	как об	1	1
399	зрения или	1	1
400	мы имеем	7	1
401	о чем	1	1
402	жизни но	2	1
403	и становится	1	1
404	но я	1	1
405	или менее	2	1
406	менее чем	1	1
407	системе –	1	1
408	с нашим	1	1
409	в отношении	3	1
410	и помимо	1	1
411	в такой	1	1
412	не становится	1	1
413	место в	5	1
414	все и	1	1
415	как совокупность	1	1
416	по своей	3	1
417	другой –	1	1
418	но он	3	1
419	друг другу	1	1
420	и более	1	1
421	и предполагает	1	1
422	свобода и	1	1
423	что говоря	1	1
424	даже в	3	1
425	то с	1	1
426	содержит в	1	1
427	нас самих	1	1
428	виду что	1	1
429	дело не	2	1
430	или жизнь	1	1
431	в центр	1	1
432	военных действий	1	1
433	восприятия но	1	1
434	пусть он	1	1
435	себе самом	1	1
436	казалось бы	2	1
437	жизни не	1	1
438	в самой	2	1
439	имеем дело	2	1
440	этих двух	2	1
441	нее нет	1	1
442	человека –	1	1
443	связи с	1	1
444	входят в	1	1
445	позволило бы	1	1
446	перед ним	1	1
447	бытия не	1	1
448	не мыслится	1	1
449	только мы	1	1
450	все то	1	1
451	с логической	1	1
452	же самое	1	1
453	в своего	1	1
454	тех кто	1	1
455	в каждой	1	1
456	должен быть	1	1
457	значении в	1	1
458	с ее	3	1
459	в ее	5	1
460	данном случае	5	1
461	ему быть	1	1
462	только то	1	1
463	в себя	3	1
464	где подлинная	1	1
465	мире он	1	1
466	и сам	1	1
467	не с	3	1
468	мог бы	3	1
469	на которую	1	1
470	это своеобразие	1	1
471	строго говоря	1	1
472	не будучи	1	1
473	в словах	1	1
474	мира а	1	1
475	бывает в	1	1
476	и вещи	1	1
477	то есть	12	1
478	на вопрос	1	1
479	и поэтому	1	1
480	все прочие	3	1
481	что каждый	2	1
482	по типу	1	1
483	можно сказать	3	1
484	и который	2	1
485	но говорят	1	1
486	мы понимаем	1	1
487	в конечном	6	1
488	жизни он	1	1
489	– во	1	1
490	тем или	1	1
491	эти два	1	1
492	не более	1	1
493	в другой	1	1
494	наконец в	1	1
495	у одного	2	1
496	– например	1	1
497	и мир	1	1
498	происходит в	1	1
499	но с	1	1
500	оно и	1	1
501	отношения как	1	1
502	здесь не	1	1
503	тот же	1	1
504	одной из	2	1
505	потребности и	2	1
506	на мир	1	1
507	в качестве	24	1
508	мир уже	1	1
509	в сторону	1	1
510	себе –	1	1
511	на свое	1	1
512	говорится и	1	1
513	представить себе	1	1
514	в одном	2	1
515	вещи или	1	1
516	у нее	1	1
517	и живые	1	1
518	к ним	1	1
519	при всей	1	1
520	в систему	1	1
521	и делает	1	1
522	образом что	1	1
523	момент в	1	1
524	от ее	1	1
525	чему не	1	1
526	точек зрения	1	1
527	или слова	1	1
528	к которому	3	1
529	с той	1	1
530	значений и	1	1
531	как ряд	1	1
532	между ними	4	1
533	который от	1	1
534	больше и	1	1
535	не сама	1	1
536	три слоя	1	1
537	мира в	1	1
538	ближе к	1	1
539	явления –	1	1
540	когда я	1	1
541	и служит	1	1
542	в связи	1	1
543	– этого	2	1
544	вместе с	2	1
545	узкое и	1	1
546	или сил	1	1
547	обратил внимание	1	1
548	по своему	2	1
549	в область	1	1
550	другого я	2	1
551	я сейчас	1	1
552	внутри себя	1	1
553	поэзии –	1	1
554	для понимания	2	1
555	я с	5	1
556	перед нею	1	1
557	мыслится как	1	1
558	– у	1	1
559	в это	1	1
560	внешнего мира	2	1
561	предметов в	1	1
562	слова и	1	1
563	что из	1	1
564	мира я	1	1
565	в культуре	2	1
566	вы говорите	1	1
567	о мире	1	1
568	не носит	1	1
569	объекта и	1	1
570	его с	1	1
571	в результате	1	1
572	хома брут	1	1
573	о котором	1	1
574	которая в	1	1
575	тот кто	2	1
576	могут обладать	1	1
577	это может	1	1
578	из своего	1	1
579	в этих	3	1
580	ни было	1	1
581	себе никакого	1	1
582	поскольку не	2	1
583	нам не	1	1
584	это на	1	1
585	имеет место	2	1
586	не сами	1	1
587	одновременно и	1	1
588	гоголевский хома	1	1
589	среди прочих	1	1
590	вопрос что	1	1
591	с самим	1	1
