N	3gram	Nazirov_Vr_1	Analitik
1	не может быть	2	16
2	в том что	2	9
3	в то же	4	8
4	то же время	4	6
5	с точки зрения	2	4
6	и не может	1	4
7	о том что	1	3
8	в этом отношении	1	2
9	начале х годов	1	2
10	но в то	2	2
11	с другой стороны	1	2
12	и все же	5	2
13	в начале х	1	2
14	о себе знать	1	1
15	впервые на это	1	1
16	в е годы	1	1
17	равно как и	1	1
18	в соответствии с	1	1
19	о том как	1	1
20	до сих пор	1	1
21	да и в	1	1
22	более того в	1	1
23	но и как	1	1
24	по крайней мере	1	1
25	друг у друга	1	1
26	одно и то	1	1
27	на первый взгляд	1	1
28	и то же	1	1
29	одним из первых	1	1
30	в свою очередь	1	1
31	в известном смысле	1	1
32	а с другой	1	1
33	все же не	1	1
34	во всяком случае	1	1
35	далеко не все	1	1
36	в той же	1	1
37	и в самом	1	1
38	в этом смысле	1	1
39	в связи с	3	1
40	внимание в частности	1	1
41	в глубине души	1	1
42	в том же	1	1
