N	4gram	Tiupa_Hudo_1	Narrotol
1	в том числе и	1	4
2	в то же время	5	3
3	бы то ни было	1	3
4	не что иное как	1	2
5	в той или иной	2	2
6	по отношению к которому	1	2
7	в том или ином	1	2
8	точно так же как	1	2
9	состоит в том что	4	2
10	формы построения речевого целого	1	1
11	морализаторскую премудрость притчевого назидания	1	1
12	высказывания и в форме	1	1
13	факультативны он и подобен	1	1
14	полнотой референтная компетенция биографического	1	1
15	две другие компетенции суть	1	1
16	предстают перед нами не	1	1
17	этического выбора или субъектом	1	1
18	о происшествиях неофициальной жизни	1	1
19	а по своей природе	1	1
20	с его уникальным жизненным	1	1
21	другие компетенции суть референтная	1	1
22	но обязательно курьезное любопытное	1	1
23	явлений группирующихся вокруг него	1	1
24	жития ибо жизнь личности	1	1
25	форме определенной жанровой схемы	1	1
26	всегда имплицитно присутствующего в	1	1
27	она названа маской в.т	1	1
28	даль и сближение но	1	1
29	и свершают картина мира	1	1
30	анекдот же в исконном	1	1
31	заинтересовывать судьбой отдельных лиц	1	1
32	кощунственное вырастающая из анекдота	1	1
33	вырастающая из анекдота новелла	1	1
34	предназначения когда персонажи не	1	1
35	мира где персонажем в	1	1
36	как неизбежная для производящего	1	1
37	любопытное занимательное неожиданное маловероятное	1	1
38	наблюдения именно таковы герои	1	1
39	которое гегель именовал веком	1	1
40	художественной литературы анекдот же	1	1
41	все их поступки в	1	1
42	неожиданное маловероятное беспрецедентное анекдотическим	1	1
43	ролевого действия или субъектом	1	1
44	формы высказывания как целого	1	1
45	гегель именовал веком героев	1	1
46	есть реализация такого выбора	1	1
47	и подобен новеллистическому герою	1	1
48	в окказионально-авантюрном мире поведение	1	1
49	выше она названа маской	1	1
50	контексте знаменует не фатальный	1	1
51	искусство заинтересовывать судьбой отдельных	1	1
52	жизнь глазами анекдота это	1	1
53	субъекта и формы высказывания	1	1
54	персонажем в акте выбора	1	1
55	никакого миропорядка жизнь глазами	1	1
56	аверинцева предстают перед нами	1	1
57	полноценная биография возможна только	1	1
58	жанр сказания исторически восходит	1	1
59	тому архаичному состоянию общественных	1	1
