N	3gram	Losev_Prob_2	Poddanst
1	в то же	4	7
2	не только в	2	4
3	в том что	4	4
4	сами по себе	2	3
5	с одной стороны	5	3
6	в том числе	2	2
7	одной стороны и	3	2
8	и не только	1	2
9	и в то	1	2
10	но и в	3	2
11	и потому в	1	2
12	в значительной мере	3	2
13	заключается в том	2	2
14	том что в	2	1
15	что в этом	1	1
16	да и не	1	1
17	далеко не все	1	1
18	более или менее	4	1
19	есть та или	1	1
20	никак не о	1	1
21	в настоящее время	16	1
22	и м а	1	1
23	в этом смысле	5	1
24	есть прежде всего	4	1
25	или хотя бы	2	1
26	очень и очень	1	1
27	и в этом	3	1
28	и не может	1	1
29	тот или иной	4	1
30	мы не будем	1	1
31	хотя бы и	3	1
32	только в условиях	1	1
33	можно говорить о	2	1
34	с тем чтобы	1	1
35	в собственном смысле	1	1
36	совершенно ясно что	1	1
37	вместе с тем	1	1
38	и то что	7	1
39	и в частности	3	1
40	так же как	1	1
41	мы все же	3	1
42	мы отнюдь не	1	1
43	во всяком случае	10	1
44	с другой стороны	5	1
45	в каком смысле	1	1
46	не может быть	3	1
47	только в ней	1	1
48	к предмету в	1	1
49	до тех пор	4	1
50	само по себе	2	1
51	та или иная	2	1
52	и тем самым	1	1
53	и тем более	1	1
54	в частности в	2	1
55	мы не только	2	1
56	можно судить по	1	1
57	в самом точном	1	1
58	в известном смысле	1	1
59	для того чтобы	2	1
60	насколько можно судить	1	1
61	да и само	1	1
62	том числе и	2	1
63	и т д	6	1
64	в отдельности и	1	1
