N	2gram	Medvedev_F_3	Psycholo
1	то что	8	32
2	и в	27	31
3	в том	7	30
4	и т	11	26
5	что в	8	23
6	может быть	25	22
7	таким образом	18	20
8	совершенно ясно	1	19
9	при этом	8	19
10	ясно что	3	19
11	так как	9	18
12	художественного произведения	7	17
13	не может	24	17
14	как и	14	16
15	том что	4	16
16	т п	5	16
17	и не	30	16
18	точки зрения	16	15
19	искусства и	1	15
20	только в	8	14
21	не только	9	13
22	что и	2	13
23	а не	17	13
24	мы не	4	12
25	если мы	7	12
26	так же	9	12
27	в этом	18	12
28	с таким	2	11
29	в самом	11	11
30	не в	12	11
31	в области	2	11
32	могут быть	4	11
33	в сущности	2	10
34	на то	1	10
35	того что	3	10
36	художественное произведение	11	10
37	потому что	7	10
38	самом деле	16	9
39	искусства в	3	9
40	по себе	4	9
41	искусство как	1	9
42	ни в	8	9
43	как в	4	9
44	т д	6	8
45	и что	3	8
46	никогда не	5	8
47	что мы	1	8
48	вместе с	6	8
49	все это	7	8
50	во всяком	6	8
51	только тогда	1	7
52	сказать что	3	7
53	того чтобы	5	7
54	и его	19	7
55	о том	4	7
56	есть в	1	7
57	тому как	5	7
58	что он	6	7
59	что это	3	6
60	зависимости от	5	6
61	внутренняя форма	1	6
62	очевидно что	2	6
63	отнюдь не	8	6
64	из этих	2	6
65	что она	2	6
66	для того	4	6
67	было бы	6	6
68	если бы	12	6
69	в его	7	6
70	всяком случае	6	6
71	вовсе не	28	6
72	и даже	2	6
73	одной стороны	1	6
74	до конца	4	6
75	а в	1	6
76	художественного творчества	2	6
77	в зависимости	5	5
78	то же	15	5
79	х годов	1	5
80	в ее	4	5
81	с одной	1	5
82	в целом	4	5
83	и совершенно	1	5
84	подобно тому	4	5
85	она не	4	5
86	в то	7	5
87	тогда когда	4	5
88	в процессе	15	5
89	не является	5	5
90	утверждать что	1	5
91	для нас	3	5
92	с другой	6	5
93	мы видим	1	5
94	в какой	3	5
95	так что	1	5
96	был бы	2	5
97	совершенно не	7	5
98	эта теория	1	5
