N	2gram	Propp_Isto_3	ViktorSh
1	в книге	1	3
2	и в	22	2
3	том что	8	2
4	в том	9	2
5	и только	1	1
6	и стоит	1	1
7	под влиянием	1	1
8	в другом	2	1
9	хотя бы	1	1
10	и не	12	1
11	все время	2	1
12	и его	4	1
13	потому что	3	1
14	я не	3	1
15	даже не	2	1
16	более чем	1	1
17	один пример	1	1
18	и то	2	1
19	самом деле	1	1
20	все это	1	1
21	совершенно ясно	1	1
22	главным образом	1	1
23	то чего	1	1
24	это далеко	1	1
25	в частности	5	1
26	так в	6	1
27	речи и	1	1
28	уже известно	2	1
29	стоит на	3	1
30	столь же	1	1
31	в которых	2	1
32	материалов и	1	1
33	для них	3	1
34	только в	4	1
35	то же	6	1
36	ясно что	1	1
37	так как	7	1
38	далеко не	3	1
39	не будем	3	1
40	но это	3	1
41	в этом	17	1
42	да и	2	1
43	имеется в	1	1
44	к этому	7	1
45	за свою	1	1
