N	2gram	Tiupa_Vved_1	EvropaiE
1	и в	13	37
2	в отношении	1	32
3	в пределах	2	25
4	точки зрения	1	23
5	что в	3	21
6	не только	20	18
7	в то	4	16
8	то же	5	15
9	хотя бы	1	15
10	отношении к	1	15
11	в своем	5	14
12	но в	6	14
13	же время	3	14
14	в качестве	8	14
15	но и	19	14
16	и не	12	14
17	в этом	21	12
18	в их	1	11
19	в области	3	11
20	в том	10	11
21	так и	8	10
22	отнюдь не	7	9
23	в себе	5	9
24	только в	6	9
25	прежде всего	7	9
26	не может	7	9
27	так же	1	9
28	в ее	1	8
29	было бы	4	8
30	в своей	5	8
31	к тому	6	8
32	между тем	1	8
33	с одной	5	8
34	одной стороны	5	8
35	также и	4	7
36	а также	8	7
37	того что	6	7
38	с другой	5	7
39	как и	11	7
40	по своему	2	7
41	между прочим	1	7
42	может быть	18	6
43	и на	3	6
44	во всех	2	6
45	стороны и	1	6
46	на то	1	6
47	то есть	8	6
48	том что	7	6
49	того чтобы	1	6
50	вслед за	2	6
51	вовсе не	1	6
52	в последние	1	6
53	и даже	1	6
54	как бы	4	6
55	то что	6	6
56	столь же	1	5
57	но не	5	5
58	не в	6	5
59	и по	3	5
60	к которым	1	5
61	но если	1	5
62	тем самым	5	5
63	как мы	3	5
64	в виде	1	5
65	со стороны	5	5
66	в частности	13	5
67	и потому	1	5
68	в течение	1	5
69	в той	4	5
70	то в	1	4
71	мы не	4	4
72	в полной	1	4
73	в ней	4	4
74	в самом	2	4
75	несмотря на	1	4
76	даже в	1	4
77	не имеет	2	4
78	и притом	1	4
79	в процессе	1	4
80	в перспективе	1	4
81	в направлении	2	4
82	той или	3	4
83	по себе	2	4
84	можно сказать	4	4
85	само по	1	4
86	или иной	3	4
87	не на	1	4
88	мира в	8	4
89	как это	1	4
90	для нас	2	4
91	сказать что	1	4
92	культуры в	1	4
93	в сфере	1	3
94	идет о	1	3
95	из всех	1	3
96	бы и	4	3
97	на себя	1	3
98	того же	1	3
99	как в	4	3
100	и к	2	3
101	всего лишь	5	3
102	представляет собой	15	3
103	но на	2	3
104	вообще не	1	3
105	мы можем	2	3
106	и мы	1	3
107	этом смысле	1	3
108	и тем	2	3
109	в них	2	3
110	с тем	1	3
