N	2gram	Voloshinov_1	Hudozhes
1	в мире	1	23
2	состоит в	1	16
3	и не	8	16
4	не только	6	15
5	и в	13	15
6	в том	2	15
7	может быть	8	13
8	при этом	2	12
9	и его	12	12
10	а в	2	12
11	но не	1	11
12	в этом	2	11
13	в себе	3	11
14	то же	4	10
15	по отношению	3	10
16	как бы	6	10
17	так и	3	10
18	а не	2	10
19	отношению к	3	10
20	но и	3	10
21	такого рода	1	9
22	литературного произведения	2	9
23	точки зрения	7	9
24	в его	7	9
25	своего рода	2	8
26	сводится к	1	8
27	отличие от	1	7
28	но в	4	7
29	внутренней речи	1	7
30	в отличие	1	7
31	в то	1	7
32	с другой	2	7
33	в искусстве	3	7
34	с его	1	6
35	отношение к	1	6
36	том что	2	6
37	не в	3	6
38	в основе	1	6
39	же время	1	6
40	по своей	1	6
41	в ее	3	6
42	не может	8	6
43	что в	3	6
44	в их	3	5
45	более или	1	5
46	в самом	2	5
47	то что	6	5
48	художественного творчества	1	5
49	могут быть	2	5
50	с ее	1	5
51	а также	2	5
52	только в	6	5
53	и т.п	7	5
54	другой стороны	2	5
55	или менее	1	5
56	в нем	2	5
57	героя и	2	5
58	и то	3	4
59	мы имеем	1	4
60	говорить о	3	4
61	еще не	1	4
62	как к	1	4
63	и как	1	4
64	в другом	2	4
65	и тем	2	4
66	в своей	4	4
67	не столько	3	4
68	эстетический объект	7	4
69	эстетического объекта	5	4
70	говоря словами	1	4
71	и т.д	5	4
72	входит в	2	4
73	между тем	2	4
74	искусства в	1	4
75	организации художественного	1	4
76	во времени	2	4
77	для него	2	4
78	к которому	1	4
79	прежде всего	9	4
80	а на	1	4
81	не знает	1	4
82	как это	1	4
83	например в	1	4
84	к тому	2	4
85	сказать что	1	4
86	речи и	1	4
87	художественного произведения	5	3
88	того же	1	3
89	и ее	2	3
90	в целом	2	3
91	в виду	1	3
92	конечном счете	1	3
93	и к	2	3
94	или иного	2	3
95	в которой	3	3
96	картины мира	1	3
97	одно и	3	3
