N	2gram	Losev_Prob_1	VerxiiNi
1	и в	32	26
2	таким образом	6	22
3	с тем	5	18
4	в этом	19	15
5	вместе с	2	15
6	точки зрения	3	13
7	как бы	14	12
8	в том	9	11
9	из этих	2	10
10	не только	17	10
11	и с	2	10
12	может быть	14	10
13	связи с	5	9
14	в области	2	9
15	так как	11	9
16	но и	9	9
17	что в	12	9
18	но не	9	8
19	в общем	1	8
20	с другой	3	8
21	и не	31	8
22	как на	1	8
23	но в	14	7
24	связанные с	1	7
25	но все	3	7
26	из них	3	7
27	том что	12	7
28	потому что	16	7
29	к нему	3	7
30	то что	42	7
31	того же	3	6
32	представление о	1	6
33	все же	1	6
34	все эти	8	6
35	в себе	15	6
36	всяком случае	3	6
37	с точки	3	6
38	в отношении	3	6
39	к тому	3	6
40	так и	12	6
41	о том	11	6
42	в конце	6	6
43	несмотря на	3	6
44	и потому	2	6
45	все это	7	6
46	мы должны	5	6
47	во всяком	7	6
48	сих пор	3	5
49	и к	1	5
50	тому же	1	5
51	в силу	1	5
52	лишь в	1	5
53	или менее	3	5
54	по крайней	2	5
55	не имеет	2	5
56	того чтобы	9	5
57	никогда не	7	5
58	для того	8	5
59	образом в	1	5
60	в его	6	5
61	богов и	1	5
62	крайней мере	2	5
63	до сих	3	5
64	а не	15	5
65	и для	4	5
66	так же	9	5
67	более или	3	5
68	в котором	5	4
69	то же	10	4
70	в течение	1	4
71	в самом	6	4
72	учение о	3	4
73	в этой	10	4
74	что все	3	4
75	то есть	33	4
76	с другими	2	4
77	он не	3	4
78	далеко не	5	4
79	и тогда	1	4
80	в которых	3	4
81	в то	6	4
82	в нем	13	4
83	а в	4	4
84	что оно	3	4
85	и что	9	4
86	и только	4	4
87	только в	7	4
88	на этот	3	4
89	не может	8	4
90	из которых	1	4
91	в смысле	1	4
92	и от	1	4
93	в этих	3	4
94	во время	1	4
95	что он	7	4
96	в виде	15	4
97	же как	2	3
98	из всех	1	3
99	большей частью	2	3
100	если в	1	3
101	к сожалению	1	3
102	в своем	5	3
103	и нет	1	3
104	и как	6	3
105	в которой	2	3
106	что это	3	3
107	так или	2	3
108	и те	1	3
109	и если	6	3
110	при этом	6	3
111	и при	2	3
112	оказывается что	2	3
113	тем не	18	3
114	если бы	4	3
115	то с	9	3
116	не менее	19	3
