N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	26
2	так же	1	18
3	то что	6	16
4	не только	20	15
5	может быть	18	14
6	что в	3	14
7	между двумя	3	12
8	но и	19	12
9	связь с	1	12
10	так и	8	10
11	таким образом	4	10
12	и его	5	10
13	что он	1	10
14	все же	6	9
15	что и	2	9
16	и не	12	9
17	то же	5	8
18	этих случаях	2	8
19	а в	6	8
20	мы имеем	5	7
21	в этом	21	7
22	он не	3	7
23	об этом	4	7
24	как и	11	7
25	в этих	3	7
26	во время	1	7
27	их в	2	7
28	как в	4	7
29	в качестве	8	7
30	превращается в	1	7
31	героя в	1	7
32	еще не	7	6
33	что они	1	6
34	как он	2	6
35	мы видели	2	6
36	не всегда	2	6
37	мы можем	2	6
38	могут быть	4	6
39	к нему	1	6
40	мы видим	1	6
41	потому что	5	6
42	а не	15	6
43	не может	7	6
44	вместе с	1	6
45	предположить что	1	6
46	но не	5	5
47	но в	6	5
48	уже не	5	5
49	и только	1	5
50	в силу	2	5
51	и по	3	5
52	с собой	1	5
53	и с	2	5
54	это не	6	5
55	к которым	1	5
56	не в	6	5
57	и у	1	5
58	как мы	3	5
59	и что	1	5
60	в его	4	5
61	в одном	1	5
62	у него	1	5
63	тем что	2	5
64	и др	1	5
65	из которых	1	5
66	мы должны	1	5
67	к этому	2	5
68	в доме	1	4
69	на себя	1	4
70	в которых	1	4
71	тогда как	10	4
72	его на	1	4
73	в этот	2	4
74	он в	1	4
75	но он	1	4
76	три года	1	4
77	в своей	5	4
78	даже в	1	4
79	того как	1	4
80	указывает на	1	4
81	представляют собой	3	4
82	здесь не	2	4
83	так в	4	4
84	о том	5	4
85	и даже	1	4
86	с появлением	2	4
87	вовсе не	1	4
88	с другой	5	4
89	а на	2	4
90	все что	3	4
91	другой стороны	2	4
92	например в	2	3
93	что иное	1	3
94	не сразу	1	3
95	из этих	3	3
96	к своей	1	3
97	относится к	1	3
98	в одной	2	3
99	перед нами	6	3
100	все эти	1	3
101	на то	1	3
102	и если	1	3
103	на его	1	3
104	что она	1	3
105	при этом	26	3
106	что у	1	3
107	те же	2	3
108	должен был	1	3
109	не мог	1	3
110	том что	7	3
111	от своего	1	3
112	и животным	1	3
113	и более	3	3
114	как это	1	3
115	меня не	1	3
116	не имеет	2	3
117	на котором	1	3
118	на него	2	3
119	во всем	1	3
120	связи с	1	3
121	к себе	1	3
122	есть только	1	3
123	и он	1	3
124	данном случае	6	3
125	иное как	1	3
126	с того	1	3
127	а также	8	3
128	в другой	1	3
129	представления о	1	3
130	в том	10	3
131	мы увидим	1	3
132	только в	6	3
133	а именно	1	3
134	не на	1	3
135	о чем	2	3
136	что мы	2	3
137	сказке о	1	3
138	к своему	1	3
139	в данном	13	3
140	наряду с	2	3
141	как бы	4	3
142	этом случае	1	3
143	или в	1	3
144	для нас	2	3
145	но это	3	3
146	только что	1	3
147	же в	1	3
148	между ними	1	3
149	на смену	2	3
150	является и	1	3
151	не что	1	3
152	к этой	1	3
153	начинается с	1	2
154	он может	1	2
155	должна быть	2	2
156	а как	1	2
157	при жизни	1	2
158	тех же	1	2
159	к ним	2	2
160	отношение к	2	2
161	тут же	1	2
162	в этой	1	2
163	в истории	1	2
164	в своем	5	2
165	хотя и	7	2
166	что это	1	2
167	в целом	3	2
168	представляет собой	15	2
169	тут и	1	2
170	еще один	1	2
171	и тот	1	2
172	в себе	5	2
173	в нем	5	2
174	задний план	1	2
175	не к	4	2
176	содержит в	1	2
177	на этом	1	2
178	так например	1	2
179	здесь мы	1	2
180	лишь в	2	2
181	или просто	1	2
182	хотя бы	1	2
183	было бы	4	2
184	известно что	1	2
185	из них	1	2
186	и тем	2	2
187	этого не	1	2
188	с тем	1	2
189	которой он	1	2
190	и их	1	2
191	бы мы	1	2
192	что я	1	2
