N	2gram	Tiupa_Anal_1	Psycholo
1	в том	27	37
2	и в	18	32
3	и что	1	22
4	то есть	11	21
5	том что	12	21
6	потому что	2	21
7	таким образом	3	21
8	в искусстве	2	21
9	то что	6	21
10	что в	5	20
11	может быть	29	18
12	точки зрения	6	17
13	что и	3	17
14	не может	22	17
15	самом деле	2	16
16	того чтобы	3	14
17	то же	9	13
18	в этом	13	13
19	при этом	12	13
20	для того	4	13
21	что он	3	13
22	в самом	6	12
23	заключается в	1	12
24	не только	15	12
25	по себе	4	12
26	так как	2	12
27	было бы	2	11
28	с тем	1	11
29	в основе	6	11
30	и т	3	10
31	с точки	4	10
32	при помощи	2	10
33	но и	17	10
34	же точно	1	10
35	как и	13	10
36	и не	21	10
37	как в	1	9
38	никогда не	2	9
39	что все	1	9
40	в своих	1	9
41	той же	2	8
42	что это	1	8
43	не в	14	8
44	не менее	1	8
45	дело с	4	8
46	т п	3	8
47	того что	4	8
48	в сущности	6	7
49	и как	5	7
50	все эти	2	7
51	такой же	2	7
52	и его	5	7
53	как будто	3	7
54	к тому	7	7
55	только в	6	7
56	что для	1	7
57	а не	17	7
58	в этой	5	6
59	в художественном	3	6
60	он не	3	6
61	если бы	3	6
62	те же	1	6
63	о том	5	6
64	все время	1	6
65	тот же	1	6
66	как бы	5	6
67	художественное произведение	5	6
68	же самое	2	6
69	художественном произведении	1	5
70	художественного произведения	5	5
71	на самом	2	5
72	и на	5	5
73	только на	1	5
74	на все	2	5
75	искусства в	4	5
76	далеко не	6	5
77	в то	9	5
78	в ней	1	5
79	и даже	1	5
80	до сих	1	5
81	вслед за	1	5
82	отнюдь не	15	5
83	искусства но	1	5
84	сих пор	1	5
85	как раз	1	5
86	этом отношении	2	5
87	сам по	1	4
88	едва ли	2	4
89	есть не	8	4
90	мы имеем	6	4
91	столь же	4	4
92	в чем	1	4
93	иметь дело	1	4
94	все же	4	4
95	в действительности	1	4
96	с той	1	4
97	в произведении	5	4
98	в целом	5	4
99	и те	1	4
100	в нем	3	4
101	одной и	1	4
102	и по	2	4
103	том случае	1	4
104	и с	2	4
105	и тем	1	4
106	несмотря на	2	4
107	в данном	2	4
108	иначе говоря	9	4
109	и той	1	4
110	которые в	2	4
111	и более	4	4
112	сущности говоря	1	4
113	тому что	1	4
114	ничего не	1	4
115	и до	2	4
116	в сознании	2	4
117	и для	1	4
118	могут быть	4	4
119	утверждать что	1	4
120	данном случае	2	4
121	и сам	2	4
122	между тем	5	4
123	что искусство	1	4
124	из них	2	4
125	произведения искусства	3	4
126	как это	1	4
127	с этой	1	4
128	поэтического творчества	1	4
129	случае если	1	4
130	при таком	1	4
131	и все	3	4
132	а в	9	4
133	совершенно не	1	4
134	из этого	1	4
135	искусства является	2	4
136	жизни и	1	4
137	например в	1	3
138	и то	2	3
139	на тех	1	3
140	мы не	1	3
141	имеет дело	1	3
142	во всех	1	3
143	но как	1	3
144	а только	1	3
145	если оно	1	3
146	как говорит	2	3
147	что именно	2	3
148	как к	2	3
149	и к	3	3
150	но в	8	3
151	та же	1	3
152	он в	1	3
153	думать что	2	3
154	творчества и	2	3
155	ответом на	1	3
156	состоит в	11	3
157	не к	2	3
158	не как	1	3
159	на этом	2	3
160	в своей	6	3
161	в их	5	3
162	в которых	1	3
163	жизни с	1	3
164	и другого	4	3
165	но он	1	3
166	том чтобы	7	3
167	в отношении	1	3
168	тогда когда	2	3
169	и отношений	1	3
170	во всем	1	3
171	в каком	1	3
172	не могут	3	3
173	и заключается	2	3
174	само собой	1	3
175	на это	1	3
176	в виду	1	3
177	так и	4	3
178	том виде	1	3
179	для этого	2	3
180	образом в	1	3
181	с другой	4	3
182	в конечном	4	3
183	мы должны	1	3
184	один из	2	3
185	действующих лиц	1	3
186	и ее	1	3
187	так что	1	3
188	что не	3	3
189	конечном счете	4	3
190	сами по	2	3
191	может служить	2	3
192	были бы	1	3
193	тому как	3	3
194	в частности	19	3
