N	3gram	Vygotskiy__5	Poddanst
1	в то же	1	7
2	в том что	11	4
3	с точки зрения	9	3
4	с одной стороны	3	3
5	в том числе	1	2
6	одной стороны и	1	2
7	в полной мере	1	2
8	заключается в том	5	2
9	том что в	2	1
10	в том виде	1	1
11	что в этом	1	1
12	более или менее	1	1
13	в этом смысле	1	1
14	к этой последней	1	1
15	или хотя бы	1	1
16	и в какой	1	1
17	и не может	2	1
18	в отличие от	2	1
19	не было бы	1	1
20	в собственном смысле	1	1
21	вместе с тем	2	1
22	и то что	2	1
23	и в частности	2	1
24	в применении к	1	1
25	так же как	7	1
26	по сравнению с	5	1
27	во всяком случае	1	1
28	с другой стороны	2	1
29	не может быть	3	1
30	исключительно в пределах	1	1
31	само по себе	2	1
32	тем и другим	1	1
33	и тем самым	1	1
34	и тем более	2	1
35	именно потому что	2	1
36	мы знаем что	1	1
37	друг с другом	7	1
38	что уже в	1	1
39	в известном смысле	7	1
40	для того чтобы	14	1
41	но в этом	1	1
42	том числе и	1	1
