N	3gram	Vinokur_St_2	Marksizm
1	с точки зрения	2	13
2	по отношению к	1	8
3	то же время	1	8
4	в то же	1	8
5	в связи с	1	7
6	для того чтобы	5	6
7	в том что	16	6
8	в самом деле	2	5
9	на этой почве	1	5
10	с самого начала	3	5
11	в свою очередь	1	5
12	бы то ни	2	4
13	то ни было	2	4
14	в отношении к	1	4
15	на самом деле	1	4
16	в отличие от	2	3
17	до сих пор	5	3
18	одно и то	1	3
19	в высшей степени	1	3
20	и то же	1	3
21	о том что	11	3
22	к тому что	5	3
23	как мы видели	1	3
24	и пр но	1	2
25	одним и тем	1	2
26	более или менее	2	2
27	том что он	5	2
28	в зависимости от	1	2
29	в значительной степени	2	2
30	и тем же	1	2
31	во всяком случае	3	2
32	и речи о	1	2
33	на то что	2	2
34	к тому же	2	2
35	но и он	1	1
36	в другом месте	2	1
37	русского литературного языка	1	1
38	в сочетании с	2	1
39	но как раз	1	1
40	пр но и	1	1
41	не только по	2	1
42	и вообще нет	1	1
43	дело в том	4	1
44	не говоря уже	1	1
45	в том числе	1	1
46	кажется что в	1	1
47	в этом случае	1	1
48	или в другом	1	1
49	и как он	1	1
50	он не может	1	1
51	с фактической стороны	1	1
52	были не только	1	1
53	говоря уже о	1	1
54	сам по себе	1	1
55	сами по себе	2	1
56	в той же	1	1
57	в первую очередь	1	1
58	в этом отношении	9	1
59	но он не	1	1
60	так или иначе	1	1
61	уже о том	1	1
62	и на все	1	1
63	а как бы	1	1
64	по сравнению с	1	1
65	тем не менее	2	1
66	их точки зрения	1	1
67	с другой стороны	3	1
68	том что слово	1	1
69	и в том	1	1
70	таким образом в	1	1
71	и пр в	1	1
72	каких бы то	1	1
73	и о чем	2	1
74	так и в	2	1
75	с тем что	2	1
76	в статье о	1	1
77	и в особенности	1	1
78	говорят одним и	1	1
79	но все же	2	1
80	одним из наиболее	1	1
81	в данном отношении	1	1
82	тем же языком	1	1
83	но также и	1	1
84	литературной жизни в	1	1
85	и пр или	1	1
