N	3gram	Losev_Dial_3	Myshleni
1	с точки зрения	14	21
2	в том что	3	13
3	не только не	7	9
4	так же как	2	7
5	в учении о	1	6
6	к тому что	2	6
7	то же самое	1	5
8	в данном случае	1	5
9	с одной стороны	3	5
10	этой точки зрения	2	4
11	в самом деле	5	4
12	с этой точки	2	4
13	не может быть	6	4
14	о том что	5	4
15	на то что	3	4
16	такой же мере	1	3
17	только потому что	1	3
18	одной стороны и	1	3
19	до сих пор	1	3
20	в этом отношении	1	3
21	одно и то	2	3
22	мы не можем	2	3
23	и то же	2	3
24	тем не менее	10	3
25	содержит в себе	1	3
26	в такой же	1	3
27	как и в	3	3
28	том что в	1	2
29	одной и той	1	2
30	и той же	1	2
31	но то что	2	2
32	на самом деле	1	2
33	в лучшем случае	1	2
34	того и другого	1	2
35	из того что	2	2
36	это привело нас	1	2
37	для себя и	1	2
38	точно так же	2	2
39	то время как	4	2
40	же как и	1	2
41	привело нас к	1	2
42	в то время	4	2
43	не могут не	1	2
44	тем что оно	2	2
45	не чем иным	1	2
46	в последнее время	1	2
47	чем иным как	1	2
48	точки зрения самого	1	2
49	в конечном счете	1	2
50	у нее нет	1	2
51	что иное как	6	1
52	и есть то	1	1
53	а следовательно и	1	1
54	в силу этого	2	1
55	с фактами как	1	1
56	как только мы	1	1
57	но только не	1	1
58	то что является	1	1
59	показывает что в	1	1
60	указывает только на	1	1
61	имеет место в	1	1
62	я не хочу	1	1
63	не только о	2	1
64	не содержит в	1	1
65	подобно тому как	4	1
66	только на то	2	1
67	самом деле если	1	1
68	так что в	1	1
69	она конечно не	1	1
70	то что с	1	1
71	в этот вопрос	1	1
72	что она есть	3	1
73	следовательно и в	1	1
74	со всеми ее	1	1
75	существует не только	1	1
76	что с точки	1	1
77	и не может	1	1
78	в зависимости от	2	1
79	сам по себе	5	1
80	есть в сущности	2	1
81	есть не что	3	1
82	и одно из	1	1
83	как раз и	3	1
84	друг на друга	1	1
85	и во всех	1	1
86	в одинаковой мере	2	1
87	говорить ни о	1	1
88	есть то что	5	1
89	и что в	1	1
90	самое что и	1	1
91	если бы мы	1	1
92	на каждой ступени	1	1
93	том что если	1	1
94	тот факт что	1	1
95	даже если бы	1	1
96	сама по себе	4	1
97	и следовательно не	1	1
98	и в этом	2	1
99	то тем самым	1	1
100	того что она	2	1
101	он может и	1	1
102	потому что в	1	1
103	что мы не	1	1
104	с другой стороны	2	1
105	потому что его	2	1
106	тогда я не	1	1
107	не могут быть	2	1
108	само по себе	5	1
109	во всяком случае	2	1
110	что у него	1	1
111	из отдельных частей	1	1
112	и во всяком	1	1
113	и таким образом	1	1
114	заключается только в	1	1
115	то что мы	3	1
116	и не развивается	1	1
117	это и есть	2	1
118	это значит что	21	1
119	в этом заключается	1	1
120	той или иной	2	1
121	бытия и небытия	1	1
122	тому что она	1	1
123	внимание на то	1	1
124	того что он	3	1
125	из этих двух	1	1
126	не что иное	6	1
127	в то же	1	1
128	случае не может	1	1
129	во всем его	1	1
130	обратил внимание на	1	1
131	что и в	1	1
132	только тогда когда	3	1
133	говорить не только	1	1
134	и вопрос о	1	1
