N	4gram	Tiupa_Anal_3	Problemy
1	в то же время	3	5
2	по себе еще не	1	2
3	дело в том что	2	1
4	сопоставлены или противопоставлены в	1	1
5	том под каким диалогическим	1	1
6	рассказчика слово здесь двуголосое	1	1
7	они сопоставлены или противопоставлены	1	1
8	в той или иной	1	1
9	углом они сопоставлены или	1	1
10	в слове рассказчика слово	1	1
11	языковых стилей социальных диалектов	1	1
12	но дело в том	1	1
13	в самом наличии определенных	1	1
14	наличии определенных языковых стилей	1	1
15	каким диалогическим углом они	1	1
16	как если бы он	1	1
17	диалогическим углом они сопоставлены	1	1
18	в том под каким	1	1
19	не в самом наличии	1	1
20	каждом из этих трех	1	1
21	или противопоставлены в произведении	1	1
22	из этих трех случаев	1	1
23	замысла в слове рассказчика	1	1
24	сама по себе еще	1	1
25	определенных языковых стилей социальных	1	1
26	из уст в уста	1	1
27	в каждом из этих	1	1
28	под каким диалогическим углом	1	1
29	слове рассказчика слово здесь	1	1
30	если бы он и	1	1
31	авторского замысла в слове	1	1
32	преломление авторского замысла в	1	1
33	дело не в самом	1	1
34	самом наличии определенных языковых	1	1
