N	3gram	Savitsky_P_1	Istorich
1	и т д	1	18
2	с другой стороны	1	8
3	с одной стороны	3	7
4	вместе с тем	1	6
5	мы знаем что	1	4
6	так же как	1	3
7	не может быть	1	3
8	для того чтобы	1	3
9	мы не будем	1	2
10	если бы мы	1	2
11	не только в	4	2
12	но и в	2	2
13	друг с другом	1	2
14	в том что	4	2
15	он живет в	1	2
16	мы видим в	1	1
17	сводится к следующему	1	1
18	есть как бы	1	1
19	в том числе	2	1
20	и вслед за	1	1
21	одной стороны и	2	1
22	с точки зрения	3	1
23	и не только	2	1
24	в отличие от	1	1
25	том числе и	1	1
26	то же время	7	1
27	в ней не	2	1
28	в северной америке	2	1
29	не в том	1	1
30	только в виде	1	1
31	именно на этой	1	1
32	во всяком случае	1	1
33	прежде всего мы	1	1
34	само по себе	1	1
35	и тем самым	1	1
36	в то же	7	1
37	ни на какие	1	1
