1	в том что	8	15
2	в xix в	1	10
3	состоит в том	4	8
4	к тому что	3	4
5	в связи с	1	4
6	и в других	1	4
7	о том что	4	4
8	с точки зрения	2	3
9	тем не менее	4	3
10	что иное как	1	2
11	в равной степени	2	2
12	в е годы	1	2
13	не что иное	1	2
14	и у нас	2	2
15	в большинстве случаев	1	2
16	никак не может	1	1
17	в противном случае	1	1
18	и т п	2	1
19	что она в	1	1
20	тогда как в	2	1
21	так же как	2	1
22	в отличие от	5	1
23	ничего не знает	1	1
24	только себя но	1	1
25	не только в	6	1
26	хотя и не	2	1
27	одного и того	1	1
28	можно было бы	1	1
29	по отношению к	5	1
30	что в первой	1	1
31	на другой день	1	1
32	не означает что	1	1
33	с таким же	1	1
34	представляет собой как	1	1
35	дело не только	1	1
36	точно так же	2	1
37	и того же	1	1
38	в нашем сознании	1	1
39	можно сказать что	3	1
40	на самом деле	2	1
41	на этот вопрос	1	1
42	по своему происхождению	1	1
43	в данном случае	6	1
44	в таком случае	1	1
45	себя но и	1	1
46	в то время	1	1
47	подобно тому как	2	1
48	по его словам	1	1
49	при всех их	1	1
50	в этом отношении	3	1
51	во всяком случае	1	1
52	и объяснить его	1	1
53	иметь в виду	1	1
54	здесь мы имеем	1	1
55	только по отношению	1	1
