N	3gram	Voloshinov_1	Russkaja
1	друг с другом	1	14
2	то же время	3	10
3	в то же	3	10
4	с точки зрения	20	9
5	в том что	3	7
6	на самом деле	1	6
7	во всяком случае	2	6
8	для того чтобы	3	6
9	а между тем	1	5
10	до сих пор	8	5
11	более или менее	1	4
12	бы то ни	8	4
13	не может быть	13	4
14	в этом случае	3	3
15	можно было бы	2	3
16	и не может	9	3
17	в конце концов	3	3
18	той или иной	1	3
19	а следовательно и	1	2
20	в настоящее время	6	2
21	в себе и	1	2
22	в этом направлении	1	2
23	и во всяком	1	2
24	друг от друга	1	2
25	с другом и	1	2
26	в другом случае	1	2
27	в большинстве случаев	3	2
28	к тому что	1	2
29	сама по себе	2	2
30	и в другом	1	2
31	лишь в качестве	1	1
32	и того же	5	1
33	или хотя бы	2	1
34	или иной момент	1	1
35	прежде всего в	1	1
36	в свою очередь	2	1
37	между прочим и	1	1
38	по отношению к	2	1
39	в самом деле	9	1
40	в том числе	2	1
41	то же самое	3	1
42	является не только	3	1
43	мы уже знаем	1	1
44	до известной степени	1	1
45	и вот в	1	1
46	отнюдь не следует	1	1
47	по отношению ко	1	1
48	которой она может	1	1
49	в этом отношении	3	1
50	том числе и	2	1
51	от того чтобы	1	1
52	на этой территории	1	1
53	на этот вопрос	3	1
54	тот или иной	1	1
55	в тот или	1	1
56	отнюдь не является	3	1
57	во всех областях	2	1
58	в значительной степени	1	1
59	сводится к тому	2	1
60	в применении к	1	1
61	и более или	1	1
62	но в то	2	1
63	то ни было	8	1
64	и с точки	1	1
65	может лишь в	1	1
66	из которых каждая	1	1
67	смысле этого слова	2	1
68	друг друга в	2	1
69	но при этом	2	1
70	и должно быть	1	1
71	на них глаза	1	1
72	прежде всего необходимо	1	1
73	и как бы	1	1
74	в связи с	7	1
75	она может лишь	1	1
76	сих пор мы	1	1
77	в его целом	1	1
78	так же как	2	1
79	одну и ту	1	1
80	вопрос приходится ответить	1	1
81	она могла бы	1	1
82	а в том	1	1
83	между собой и	1	1
84	от того что	2	1
85	его жизни и	1	1
86	это и есть	2	1
87	яркое выражение в	1	1
88	с самого начала	4	1
89	как бы ни	1	1
90	вопрос о том	2	1
91	в этом вопросе	2	1
92	но все же	3	1
93	данный момент и	1	1
94	одного и того	5	1
95	связаны друг с	1	1
96	и ту же	1	1
97	как же может	1	1
98	тем не менее	2	1
99	и прежде всего	2	1
100	и вопрос о	1	1
