N	2gram	Vygotskiy__1	ViktorSh
1	в книге	1	3
2	конце концов	1	2
3	и в	23	2
4	том что	21	2
5	в том	24	2
6	в конце	2	2
7	крайней мере	1	1
8	тем более	5	1
9	под влиянием	2	1
10	ни к	1	1
11	и том	1	1
12	в другом	7	1
13	хотя бы	4	1
14	и не	9	1
15	все время	6	1
16	и его	6	1
17	потому что	6	1
18	я не	3	1
19	и то	3	1
20	же с	1	1
21	месте по	1	1
22	самом деле	3	1
23	другом месте	6	1
24	и т.д	5	1
25	все это	6	1
26	от других	1	1
27	по поводу	1	1
28	именно в	6	1
29	главным образом	2	1
30	в теории	4	1
31	чего не	1	1
32	в их	3	1
33	дело в	2	1
34	в частности	2	1
35	речи и	28	1
36	одно и	2	1
37	все то	1	1
38	столь же	6	1
39	в которых	3	1
40	в значительной	2	1
41	в самом	7	1
42	для них	1	1
43	только в	6	1
44	то же	8	1
45	более к	2	1
46	ясно что	2	1
47	так как	7	1
48	и составляет	1	1
49	вся работа	1	1
50	чем к	2	1
51	в этом	17	1
52	одном и	1	1
53	по крайней	1	1
54	на одном	1	1
55	и заключается	1	1
56	по существу	4	1
57	к этому	4	1
58	значительной степени	2	1
59	две большие	1	1
60	гораздо более	1	1
61	том же	2	1
