N	2gram	Vinokur_St_1	RusskieA
1	и в	44	29
2	т е	15	24
3	том что	29	22
4	в том	36	22
5	что в	30	22
6	как бы	4	18
7	в других	2	15
8	и другие	1	14
9	так как	5	13
10	может быть	15	13
11	во время	3	12
12	там же	1	12
13	п в	3	12
14	в этом	21	11
15	как и	9	11
16	одна из	1	11
17	не только	18	10
18	и с	3	10
19	е в	2	10
20	все это	5	10
21	во многих	3	9
22	а на	3	9
23	о том	17	9
24	в некоторых	1	9
25	а в	17	9
26	его в	2	8
27	показывает что	1	8
28	но и	10	8
29	как в	13	7
30	данном случае	6	7
31	или в	1	7
32	мы имеем	2	6
33	мы не	2	6
34	еще не	3	6
35	и на	1	6
36	при этом	2	6
37	таким образом	7	6
38	того чтобы	11	6
39	для нас	7	6
40	для того	10	6
41	с тем	1	6
42	вместе с	1	6
43	в данном	14	6
44	этом случае	2	6
45	и т	30	5
46	должна была	4	5
47	но не	3	5
48	но в	10	5
49	это не	8	5
50	т д	21	5
51	не может	8	5
52	представление о	4	5
53	потому что	6	5
54	для этого	2	5
55	и что	4	5
56	будто бы	3	5
57	или же	2	5
58	то что	18	5
59	с ней	1	5
60	к этому	1	5
61	же как	3	4
62	то же	5	4
63	вопрос о	4	4
64	на них	1	4
65	не все	3	4
66	что по	1	4
67	уже не	1	4
68	их в	2	4
69	том же	1	4
70	в них	1	4
71	далеко не	1	4
72	в которых	5	4
73	не в	12	4
74	тогда когда	1	4
75	у нас	11	4
76	а также	2	4
77	к нему	2	4
78	так что	6	4
79	в виде	3	4
80	из них	8	4
81	именно в	6	4
82	а не	16	4
83	о чем	1	4
84	так же	5	4
85	как это	4	4
86	по существу	2	4
87	и все	2	4
88	в таком	3	4
89	советское время	1	3
90	в и	130	3
91	и о	1	3
92	в ее	4	3
93	что это	4	3
94	все эти	5	3
95	в этой	11	3
96	что она	4	3
97	и по	5	3
98	и других	1	3
99	должен был	2	3
100	не всегда	2	3
101	в этих	2	3
102	в котором	5	3
103	но он	2	3
104	она не	2	3
105	в таких	1	3
106	не имеет	4	3
107	в советское	1	3
108	и после	1	3
109	и другой	1	3
110	как мы	1	3
111	что от	2	3
112	нас к	1	3
113	должно было	2	3
114	во всех	8	3
115	в свете	1	3
116	а именно	3	3
117	того что	9	3
118	что здесь	2	3
119	как например	1	3
120	между тем	3	3
121	в качестве	4	3
122	тем что	5	3
123	что для	3	3
124	до конца	1	3
125	для этой	1	3
126	пишет в	1	3
127	и там	1	3
128	xix в	5	3
129	и от	1	3
130	было бы	17	3
131	но если	4	3
132	вряд ли	5	2
133	и то	5	2
134	тем и	1	2
135	на самом	6	2
136	это и	4	2
137	и всем	1	2
138	так чтобы	1	2
139	на себя	1	2
140	это время	1	2
141	между собой	1	2
142	с одной	3	2
143	очевидно что	1	2
144	иногда и	2	2
145	поле где	1	2
146	с этим	3	2
147	все же	8	2
148	не было	4	2
149	к числу	2	2
150	в руках	1	2
151	в которой	4	2
152	из этих	6	2
153	право на	1	2
154	если он	1	2
155	том чтобы	1	2
156	связанные с	3	2
157	об этом	3	2
158	полагает что	1	2
159	для них	1	2
160	так в	1	2
161	в своей	6	2
162	нас не	1	2
163	не столько	1	2
164	должны были	1	2
165	тем не	2	2
166	не менее	5	2
167	а иногда	2	2
168	как можно	2	2
169	что с	2	2
170	в то	9	2
171	дело не	4	2
172	того как	1	2
173	о них	2	2
174	никогда не	5	2
175	того в	1	2
176	кроме того	1	2
177	что на	2	2
178	в момент	1	2
179	начиная с	2	2
180	когда мы	1	2
181	что при	2	2
182	говорит о	3	2
183	должен быть	3	2
184	в виду	1	2
185	то время	2	2
186	таком виде	1	2
187	можно было	13	2
188	которые с	1	2
189	вокруг этого	1	2
190	еще в	1	2
191	не имели	2	2
192	образом в	1	2
193	с другим	1	2
194	в глаза	1	2
195	после того	1	2
196	с другой	9	2
197	все в	2	2
198	в приведенных	1	2
199	у них	1	2
200	этому поводу	2	2
201	что и	6	2
202	в форме	1	2
203	также в	2	2
204	в г	3	2
205	представление будто	1	2
206	сразу же	1	2
207	совсем не	2	2
208	и дело	1	2
209	этот вопрос	4	2
210	по этому	3	2
211	есть в	2	2
212	на эту	4	2
213	одно из	2	2
214	связано с	1	2
215	каждый из	1	2
216	на две	1	2
217	в целях	1	2
218	чем в	3	2
219	здесь в	1	2
220	а с	3	2
221	прежде всего	7	2
222	одной стороны	2	2
223	там где	5	2
224	совершенно не	5	2
225	нет никаких	2	2
226	многих случаях	2	2
227	из которых	1	2
228	в течение	1	2
229	могут быть	5	2
230	с этой	3	2
231	видно что	3	2
232	этом и	1	2
233	говорить что	1	2
234	и для	3	2
235	у некоторых	1	2
236	и при	1	2
237	из этого	1	2
238	в своих	2	2
239	это в	4	2
240	широко распространено	1	1
241	а между	1	1
242	отношение к	2	1
243	е как	2	1
244	показать что	1	1
245	и есть	1	1
246	здесь и	1	1
247	можно говорить	1	1
248	и до	1	1
249	что эти	1	1
250	применении к	3	1
251	объясняется и	1	1
252	например в	8	1
253	г в	5	1
254	очень широко	1	1
255	этом не	1	1
256	не была	2	1
257	совпадает с	2	1
258	говорить о	2	1
259	их с	1	1
260	из того	2	1
261	один пример	1	1
262	то это	3	1
263	ясными и	1	1
264	ставит себе	3	1
265	г к	1	1
266	в ней	3	1
267	на нем	1	1
268	что его	1	1
269	лошади в	1	1
270	оно совершенно	1	1
271	если в	2	1
272	ответ на	3	1
273	нет и	1	1
274	большое значение	2	1
275	что они	7	1
276	к сожалению	3	1
277	во что	1	1
278	это самое	1	1
279	что именно	1	1
280	так называемая	3	1
281	стороны и	1	1
282	в своем	2	1
283	в одних	1	1
284	перед нами	1	1
285	хотя и	1	1
286	не являются	3	1
287	от этого	2	1
288	в самом	7	1
289	еще на	1	1
290	уже в	2	1
291	он в	1	1
292	или во	1	1
293	не оставляет	1	1
294	что так	3	1
295	как он	1	1
