N	2gram	Losev_Dial_1	Analitik
1	в этом	12	18
2	не только	13	16
3	и в	18	16
4	в частности	2	16
5	так и	9	15
6	как и	2	14
7	но и	7	12
8	и не	30	12
9	том что	9	12
10	в том	9	12
11	в качестве	2	11
12	при этом	1	10
13	могут быть	3	10
14	а не	14	10
15	как бы	11	10
16	в этой	1	9
17	ничего не	17	9
18	и даже	13	9
19	то есть	1	9
20	в данном	3	8
21	отнюдь не	9	8
22	к тому	4	7
23	а также	1	7
24	о том	4	7
25	в себе	11	7
26	то что	13	7
27	в самом	3	6
28	но в	6	6
29	в мире	2	6
30	говорить о	5	6
31	может быть	17	6
32	с другой	6	6
33	как это	4	6
34	на себя	1	5
35	как система	1	5
36	в сторону	1	5
37	и к	1	5
38	с одной	2	5
39	говорит о	5	5
40	по преимуществу	1	4
41	столь же	1	4
42	но не	4	4
43	как в	2	4
44	в своем	5	4
45	хотя и	4	4
46	тому же	2	4
47	на этом	2	4
48	то же	10	4
49	не с	5	4
50	и тем	1	4
51	тем самым	1	4
52	для него	2	4
53	точки зрения	17	4
54	не в	6	4
55	в конце	4	4
56	и является	2	4
57	имеет место	1	4
58	не менее	2	4
59	можно сказать	6	4
60	во всех	1	4
61	только в	3	4
62	и его	1	4
63	уже не	2	4
64	в сознании	3	4
65	не так	1	4
66	у него	1	4
67	как раз	4	4
68	одной стороны	2	4
69	не может	12	4
70	и смерти	1	4
71	все это	11	4
72	я и	1	3
73	и то	9	3
74	в их	3	3
75	мы имеем	2	3
76	проявляется в	1	3
77	не был	2	3
78	что касается	2	3
79	и если	1	3
80	и сам	1	3
81	содержит в	3	3
82	несмотря на	10	3
83	место в	1	3
84	тем не	1	3
85	по крайней	4	3
86	случае в	1	3
87	на себе	3	3
88	как о	2	3
89	никогда не	9	3
90	имеем дело	1	3
91	как будто	1	3
92	этом отношении	2	3
93	ни о	5	3
94	той или	7	3
95	как мы	4	3
96	можно было	5	3
97	в результате	1	3
98	если бы	12	3
99	воли и	1	3
100	того или	1	3
101	что и	3	3
102	крайней мере	4	3
103	и все	3	3
104	с ними	2	3
105	так что	15	3
106	есть в	1	3
107	я в	2	3
108	борьбы с	1	3
109	из них	2	3
110	только на	3	3
111	со стороны	2	3
112	или иной	3	3
113	именно в	2	3
114	было бы	12	3
115	бы в	3	3
116	прежде всего	10	3
117	а в	5	3
118	не знает	2	3
119	речь идет	1	2
120	отношения к	3	2
121	перед лицом	1	2
122	и до	1	2
123	той же	1	2
124	а как	1	2
125	и он	5	2
126	еще не	2	2
127	и я	1	2
128	себе не	5	2
129	в противоположность	5	2
130	с их	1	2
