N	3gram	Tiupa_Lite_3	SlovoVZh
1	по отношению к	4	11
2	не может быть	3	7
3	в том что	4	4
4	тем не менее	1	3
5	бы то ни	2	3
6	этой точки зрения	1	3
7	героя и слушателя	1	3
8	это как бы	1	3
9	то ни было	2	3
10	отношение к предмету	1	2
11	на самом деле	1	2
12	с другой стороны	2	2
13	мы все время	1	2
14	то же самое	2	2
15	одной стороны и	2	2
16	с точки зрения	3	2
17	творца и героя	1	2
18	но отнюдь не	1	2
19	автора и героя	1	2
20	в отношении к	1	2
21	и подобные им	1	2
22	в данном случае	4	2
23	с одной стороны	4	2
24	того о ком	1	1
25	социального взаимодействия трех	1	1
26	что в игру	1	1
27	и слушателя мы	1	1
28	берем не вне	1	1
29	для него не	1	1
30	взаимоотношением двоих форма	1	1
31	автора героя и	1	1
32	все время вмешивается	1	1
33	как например в	2	1
34	художественного события со	1	1
35	время вмешивается третий	1	1
36	само нуждается в	1	1
37	и героя никогда	1	1
38	трех говорящего автора	1	1
39	читателя и того	1	1
40	и потому не	1	1
41	и продукт социального	1	1
42	всякое действительно произнесенное	1	1
43	и к предмету	1	1
44	или о чем	1	1
45	незаместимое место в	1	1
46	слово есть выражение	1	1
47	о ком или	1	1
48	уже не может	1	1
49	время учитывает третьего	1	1
50	свое незаместимое место	1	1
51	художественного события а	1	1
52	все время берем	1	1
53	более или менее	1	1
54	третьего слушателя который	1	1
55	без того чтобы	1	1
56	в самом деле	2	1
57	ком или о	1	1
58	специфической социальной структурой	1	1
59	продукт социального взаимодействия	1	1
60	участник слушатель который	1	1
61	между тем как	1	1
62	со специфической социальной	1	1
63	то что для	1	1
64	самое восприятие художественного	1	1
65	входят в самое	1	1
66	вмешивается третий участник	1	1
67	взаимодействия трех говорящего	1	1
68	время берем не	1	1
69	чем говорят героя	1	1
70	но уже в	1	1
71	интимным взаимоотношением двоих	1	1
72	выражение и продукт	1	1
73	и который поэтому	1	1
74	в свою очередь	1	1
75	третий участник слушатель	1	1
76	но и в	2	1
77	слушателя который и	1	1
78	все время учитывает	1	1
79	берет на себя	2	1
80	о том что	4	1
81	ничего общего с	1	1
82	в этом отношении	5	1
83	в самое восприятие	1	1
84	игру все время	1	1
85	по аналогии с	1	1
86	и того о	1	1
87	никогда не бывает	1	1
88	то что я	2	1
89	восприятие художественного произведения	1	1
90	в конечном счете	1	1
91	существеннейшее влияние на	1	1
92	других творца и	1	1
93	действительно произнесенное или	1	1
94	слушателя мы все	1	1
95	слушатель который меняет	1	1
96	говорящего автора слушателя	1	1
97	героя никогда не	1	1
98	то же время	7	1
99	подобно тому как	2	1
100	слушателя читателя и	1	1
101	высказывания и его	1	1
102	автора слушателя читателя	1	1
103	есть выражение и	1	1
104	и оказывает существеннейшее	1	1
105	о чем говорят	1	1
106	может быть только	1	1
107	учитывает третьего слушателя	1	1
108	в то же	7	1
109	все моменты произведения	1	1
110	на все моменты	1	1
111	поскольку они входят	1	1
112	оказывает существеннейшее влияние	1	1
113	и в частности	2	1
114	вне художественного события	1	1
115	или осмысленно написанное	1	1
116	произнесенное или осмысленно	1	1
117	двоих форма все	1	1
118	лишь поскольку они	1	1
119	а лишь поскольку	1	1
120	влияние на все	1	1
121	в значительной степени	1	1
122	сама по себе	1	1
123	события а лишь	1	1
124	в игру все	1	1
125	они входят в	1	1
126	который и оказывает	1	1
127	события со специфической	1	1
128	к тому же	5	1
129	который меняет и	1	1
130	не вне художественного	1	1
131	двух других творца	1	1
132	с жизнью и	1	1
133	форма все время	1	1
