N	3gram	Vinokur_Ku_2	slovoVRo
1	и т п	24	33
2	не может быть	4	15
3	в отличие от	2	12
4	в этом случае	2	6
5	в значительной степени	1	6
6	с одной стороны	1	5
7	в большинстве случаев	1	5
8	в зависимости от	4	4
9	то же время	3	4
10	но все же	2	4
11	в то же	3	4
12	в узком смысле	2	4
13	в том что	10	4
14	и там где	1	3
15	с точки зрения	8	3
16	сама по себе	1	3
17	в этом отношении	3	3
18	т п все	1	3
19	меньше чем в	1	2
20	в свою очередь	2	2
21	а также и	1	2
22	до сих пор	1	2
23	хотя бы и	2	2
24	т п но	2	2
25	может быть и	1	2
26	не только в	4	2
27	не могут быть	1	2
28	во всяком случае	5	2
29	т п в	2	2
30	в связи с	3	2
31	для того чтобы	8	2
32	и т д	14	2
33	а следовательно и	2	1
34	хотя и не	1	1
35	и не в	1	1
36	разговорного языка и	1	1
37	мы говорим о	2	1
38	мы к сожалению	1	1
39	даже и там	1	1
40	иметь в виду	1	1
41	а не с	1	1
42	том что в	1	1
43	русском языке но	1	1
44	но оно не	1	1
45	имеет первостепенное значение	1	1
46	также и в	1	1
47	и до конца	1	1
48	уже не в	1	1
49	эта установка на	1	1
50	можно утверждать что	1	1
51	и не только	1	1
52	но все это	1	1
53	например о слове	1	1
54	языка но и	2	1
55	сами по себе	1	1
56	связанные с этим	1	1
57	отношение к слову	1	1
58	на то что	2	1
59	самого по себе	1	1
60	в лучшем случае	3	1
61	может быть только	2	1
62	свой смысл и	1	1
63	случае перед нами	1	1
64	может и не	1	1
65	в такой степени	1	1
66	на этой почве	3	1
67	что он не	1	1
68	в письменной речи	1	1
69	не до конца	1	1
70	точки зрения а	1	1
71	все более и	1	1
72	для этой цели	1	1
73	но может быть	1	1
74	слов а не	1	1
75	те или иные	1	1
76	с другой стороны	7	1
77	в нем есть	1	1
78	тем или иным	1	1
79	в широком смысле	2	1
80	их удельный вес	1	1
81	тем не менее	5	1
82	о том что	1	1
83	того или иного	2	1
84	таким образом в	1	1
85	большей или меньшей	3	1
86	как и в	1	1
87	с самого начала	1	1
88	более и более	1	1
89	речь идет о	1	1
90	слова может быть	1	1
91	не может и	1	1
92	в другом случае	1	1
93	мы не знаем	1	1
94	и еще не	1	1
95	тех или иных	1	1
96	до некоторой степени	2	1
97	в русском языке	9	1
98	свое выражение в	1	1
99	и с другой	1	1
100	как мы видели	1	1
101	влечет за собой	1	1
