N	3gram	Propp_Russ_2	Narrotol
1	в данном случае	6	8
2	в том что	18	5
3	не может быть	3	4
4	в этом и	2	3
5	подобно тому как	3	3
6	этом и состоит	1	3
7	для того чтобы	6	3
8	тем не менее	2	3
9	на себя внимание	1	3
10	в этом отношении	1	3
11	на другой день	2	3
12	о том что	4	2
13	можно сказать что	1	2
14	в отличие от	3	2
15	в город с	1	2
16	состоит в том	13	2
17	не только на	1	2
18	но и в	1	2
19	дело в том	1	2
20	на то что	1	2
21	может быть не	1	2
22	во всяком случае	1	2
23	в свою очередь	1	2
24	мы не можем	2	1
25	с одной стороны	2	1
26	к этому времени	1	1
27	а в поле	1	1
28	же в этой	1	1
29	по своим формам	1	1
30	в этой связи	1	1
31	для его решения	1	1
32	одна из них	1	1
33	а на другой	1	1
34	быть не только	1	1
35	потому что на	1	1
36	что именно в	1	1
37	что каждый из	1	1
38	из того что	1	1
39	что иное как	2	1
40	об этом не	1	1
41	потому что в	1	1
42	имея в виду	1	1
43	в предыдущей главе	1	1
44	как и в	1	1
45	ни одна из	1	1
46	же как и	2	1
47	бросается в глаза	2	1
48	что один из	1	1
49	между тем это	2	1
50	так как это	1	1
51	более или менее	1	1
52	но в данном	1	1
53	в этих случаях	3	1
54	может быть и	1	1
55	как мы видели	1	1
56	у нас нет	1	1
57	одна из особенностей	1	1
58	не входит в	1	1
59	братьев и сестер	1	1
60	как мы увидим	1	1
61	мы уже знаем	1	1
62	с другой стороны	1	1
63	жизни столь важное	1	1
64	он приходится на	1	1
65	и т д	5	1
