N	2gram	Losev_Prob_5	EvropaiE
1	и в	30	37
2	в отношении	3	32
3	точки зрения	10	23
4	что в	5	21
5	не только	18	18
6	с точки	8	17
7	в то	4	16
8	то же	2	15
9	хотя бы	2	15
10	в своем	11	14
11	но в	9	14
12	же время	1	14
13	в качестве	4	14
14	но и	13	14
15	и не	12	14
16	в этом	17	12
17	в их	1	11
18	в области	2	11
19	в том	12	11
20	так и	7	10
21	отнюдь не	4	9
22	в себе	4	9
23	только в	9	9
24	прежде всего	6	9
25	не может	5	9
26	так же	5	9
27	в смысле	4	9
28	в ее	3	8
29	и азии	1	8
30	было бы	4	8
31	в своей	22	8
32	к тому	2	8
33	между тем	2	8
34	с одной	3	8
35	одной стороны	3	8
36	также и	12	7
37	а также	3	7
38	того что	3	7
39	так как	6	7
40	с другой	6	7
41	как и	7	7
42	между прочим	1	7
43	может быть	7	6
44	и на	6	6
45	на то	2	6
46	то есть	21	6
47	том что	17	6
48	того чтобы	2	6
49	вслед за	2	6
50	вовсе не	8	6
51	для того	3	6
52	и даже	14	6
53	как бы	6	6
54	с этой	2	6
55	то что	18	6
56	которую мы	1	5
57	но не	7	5
58	не в	7	5
59	и по	1	5
60	к которым	1	5
61	тем самым	1	5
62	как мы	2	5
63	одной из	1	5
64	в виде	10	5
65	со стороны	1	5
66	от этого	3	5
67	в частности	4	5
68	и потому	1	5
69	этой точки	1	5
70	то в	1	4
71	мы не	2	4
72	вопрос о	1	4
73	но даже	4	4
74	в ней	3	4
75	в самом	5	4
76	культурной жизни	1	4
77	то ни	2	4
78	того или	1	4
79	несмотря на	6	4
80	чем в	1	4
81	даже в	1	4
82	не имеет	1	4
83	и притом	5	4
84	к ней	1	4
85	в перспективе	1	4
86	той или	1	4
87	бы то	2	4
88	по себе	2	4
89	можно сказать	6	4
90	тем более	1	4
91	именно в	3	4
92	ни было	1	4
93	или иной	1	4
94	не на	1	4
95	мира в	3	4
96	как это	1	4
97	для нас	10	4
98	сказать что	9	4
99	из всех	2	3
100	с более	1	3
101	бы и	1	3
102	на себя	1	3
103	что согласно	1	3
104	того же	4	3
105	время в	1	3
106	как в	2	3
107	когда он	2	3
108	и к	4	3
109	или иную	1	3
110	но на	1	3
111	вообще не	1	3
112	мы можем	5	3
113	не будет	2	3
114	большинстве случаев	1	3
115	этом смысле	3	3
116	и тем	3	3
117	в них	2	3
118	с тем	5	3
119	и некоторые	1	3
120	можно ли	1	3
121	дело в	2	3
122	никогда не	7	3
123	потому что	13	3
124	в пределы	1	3
125	уже и	2	3
126	бы ни	1	3
127	можно было	2	3
128	о том	12	3
129	от них	2	3
130	что и	6	3
131	и только	2	3
132	в стороне	1	3
133	всяком случае	2	3
134	этот факт	1	3
135	из них	2	3
136	ту или	1	3
137	себе в	1	3
138	к ним	1	3
139	тем что	2	3
140	этом отношении	1	3
141	в свою	2	3
142	говорит о	7	3
143	там где	1	3
144	в данном	2	3
