N	3gram	Vinokur_Ku_2	NovoeSre
1	не может быть	4	4
2	в наше время	2	3
3	в наши дни	1	3
4	не значит что	1	3
5	в этом смысле	5	2
6	большую роль в	1	2
7	вместе с тем	2	2
8	так же как	2	2
9	не может уже	1	2
10	с одной стороны	1	2
11	с другой стороны	7	2
12	войны и революции	1	2
13	в том и	1	2
14	я думаю что	1	1
15	только потому что	6	1
16	а не с	1	1
17	то время как	1	1
18	потому что не	1	1
19	до сих пор	1	1
20	смысле в каком	1	1
21	том случае если	2	1
22	в зависимости от	4	1
23	сами по себе	1	1
24	в отличие от	2	1
25	от того чтобы	1	1
26	можно было бы	9	1
27	может быть только	2	1
28	и не в	1	1
29	в том случае	2	1
30	было бы сказать	1	1
31	и творчества не	1	1
32	в том чтобы	1	1
33	не только в	4	1
34	к вопросу о	2	1
35	и потому что	2	1
36	в известном смысле	1	1
37	не могут быть	1	1
38	по природе своей	1	1
39	не в том	1	1
40	во всяком случае	5	1
41	лишь в том	1	1
42	не должно быть	1	1
43	он не хочет	1	1
44	и еще не	1	1
45	есть вместе с	2	1
46	о том что	1	1
47	в то время	1	1
48	в значительной степени	1	1
49	начало новой эпохи	1	1
50	есть по существу	1	1
51	не только потому	2	1
52	мы говорим о	2	1
53	в большинстве случаев	1	1
54	в том смысле	1	1
55	он не хотел	1	1
56	в том что	10	1
57	как и в	1	1
