N	2gram	Medvedev_F_1	Hudozhes
1	в мире	4	23
2	состоит в	1	16
3	и не	20	16
4	не только	7	15
5	и в	24	15
6	в том	6	15
7	тогда как	1	13
8	может быть	14	13
9	в частности	4	13
10	при этом	5	12
11	и его	10	12
12	а в	6	12
13	но не	3	11
14	в этом	15	11
15	в себе	3	11
16	то же	10	10
17	по отношению	4	10
18	как бы	6	10
19	так и	18	10
20	а не	10	10
21	отношению к	4	10
22	но и	7	10
23	литературного произведения	4	9
24	точки зрения	16	9
25	в его	23	9
26	своего рода	1	8
27	сводится к	3	8
28	произведение искусства	2	8
29	себя в	1	8
30	в душе	2	8
31	отличие от	1	7
32	но в	5	7
33	внутренней речи	1	7
34	в отличие	1	7
35	в то	9	7
36	или иной	1	7
37	с другой	5	7
38	в искусстве	5	7
39	с его	4	6
40	отношение к	3	6
41	том что	1	6
42	не в	8	6
43	в основе	3	6
44	же время	8	6
45	по своей	1	6
46	в ее	8	6
47	приводит к	2	6
48	в состав	1	6
49	не сводится	2	6
50	не может	16	6
51	что в	4	6
52	в их	11	5
53	более или	6	5
54	в самом	5	5
55	то что	8	5
56	ни в	2	5
57	художественного творчества	1	5
58	тем самым	3	5
59	художественной деятельности	1	5
60	могут быть	1	5
61	с ее	7	5
62	можно сказать	1	5
63	а также	1	5
64	того что	5	5
65	только в	2	5
66	уже не	2	5
67	между ними	3	5
68	другой стороны	1	5
69	или менее	6	5
70	в нем	14	5
71	отношения к	6	4
72	место в	7	4
73	говорить о	1	4
74	жизни как	1	4
75	еще не	6	4
76	а только	2	4
77	как к	3	4
78	хотя и	1	4
79	и как	3	4
80	роли в	3	4
81	он не	3	4
82	без исключения	1	4
83	в другом	1	4
84	и тем	1	4
85	в слове	1	4
86	в этих	1	4
87	в своей	11	4
88	не столько	1	4
89	входит в	6	4
90	между тем	2	4
91	искусства в	4	4
92	в форме	1	4
93	художественного восприятия	2	4
94	для него	3	4
95	со стороны	5	4
96	к которому	2	4
97	художественного сознания	1	4
98	прежде всего	22	4
99	а на	1	4
100	не знает	1	4
101	произведения искусства	3	4
102	как это	6	4
103	например в	1	4
104	к тому	3	4
105	особого рода	1	4
106	сказать что	1	4
107	художественного произведения	23	3
108	и ее	10	3
109	в целом	6	3
110	в художественном	3	3
111	и к	4	3
112	или иного	3	3
113	в которой	4	3
114	не следует	1	3
115	он должен	3	3
116	лишь в	8	3
117	его в	3	3
118	это не	2	3
119	этом смысле	1	3
120	как и	11	3
121	с точки	13	3
122	но он	1	3
123	тем не	1	3
124	в отношении	3	3
125	не менее	11	3
126	литературы как	3	3
127	всех без	1	3
128	в русской	1	3
129	в структуре	1	3
130	как раз	2	3
131	потому что	1	3
132	в произведении	2	3
133	в пределах	6	3
134	так в	1	3
135	мог бы	1	3
136	к его	1	3
137	если бы	4	3
138	произведения как	2	3
139	и что	2	3
140	того или	2	3
141	что он	3	3
142	к нему	1	3
143	во всей	2	3
144	к содержанию	1	3
145	в области	3	3
146	далеко не	1	3
147	не на	2	3
148	была бы	2	3
149	по своему	1	3
150	в данном	1	3
151	в той	1	3
152	в точке	1	3
153	искусства это	1	3
154	и для	1	3
155	художественного целого	2	3
156	таким образом	13	3
157	в свою	8	3
158	и состоит	1	3
159	и это	2	2
160	это и	3	2
161	идет о	2	2
162	между двумя	1	2
163	по преимуществу	1	2
164	противном случае	1	2
165	в году	2	2
166	и на	8	2
167	в чем	1	2
168	чем это	1	2
169	могло быть	1	2
170	не входит	1	2
171	за пределы	2	2
172	сама по	2	2
173	художественное целое	1	2
174	общественном сознании	1	2
175	в своем	11	2
176	в противном	1	2
177	все эти	6	2
178	в нашем	2	2
179	в этой	6	2
180	с их	1	2
181	с художественной	2	2
182	иного жанра	1	2
183	не как	4	2
184	в силу	1	2
185	на этом	1	2
186	могла бы	2	2
187	по себе	5	2
188	в итоге	1	2
189	в них	3	2
190	несмотря на	1	2
191	жизни но	2	2
192	литературных произведений	3	2
193	с другими	4	2
194	искусства может	1	2
195	и более	2	2
196	том и	1	2
197	вовсе не	10	2
198	связей с	2	2
199	тому что	1	2
200	одна из	2	2
201	и притом	1	2
202	материала в	3	2
203	не могло	5	2
204	не принадлежит	1	2
205	не является	1	2
206	без остатка	1	2
207	числе и	1	2
208	оно не	4	2
209	на наших	2	2
210	и о	1	2
211	того чтобы	1	2
212	свою очередь	6	2
213	здесь не	3	2
214	роль в	1	2
215	или в	1	2
216	что каждый	1	2
217	к действительности	2	2
218	на всех	1	2
219	как художественное	1	2
220	именно в	8	2
221	во внутренней	1	2
222	а именно	1	2
223	в литературе	5	2
224	ни к	1	2
225	мире и	1	2
226	тот или	2	2
227	с одной	4	2
228	из которого	1	2
229	и др	5	2
230	или даже	1	2
231	никто не	1	2
232	слова в	1	2
233	в одном	2	2
234	у него	1	2
235	соединении с	2	2
236	на почве	13	2
237	в общественном	1	2
238	или иначе	2	2
239	художественной культуре	1	2
240	а с	1	2
241	в художественной	1	2
242	одной стороны	4	2
243	мира в	2	2
244	в сторону	1	2
245	о себе	1	2
246	так же	4	2
247	и особенно	2	2
248	и потому	9	2
249	как в	8	2
250	из которых	1	2
251	к своему	1	2
252	так или	1	2
253	и по	1	2
254	жизни в	2	2
255	в контексте	1	2
256	художественное произведение	6	2
257	во всех	5	2
258	искусства как	2	2
259	мира и	1	2
260	тем более	1	2
261	истории литературы	12	2
262	с ним	2	2
263	отношении к	2	2
264	одной из	2	2
265	от всех	3	2
266	культуры в	1	2
267	из этого	1	2
268	том числе	1	2
269	его определяет	1	1
270	художественном произведении	3	1
271	этого в	1	1
272	также и	1	1
273	же как	2	1
274	чтобы не	2	1
275	начинается с	1	1
276	и через	1	1
277	художественных произведений	4	1
278	между всеми	1	1
279	и есть	1	1
280	то в	1	1
281	чего не	1	1
282	и чрезвычайно	1	1
283	в строгом	2	1
284	можно говорить	1	1
285	из его	1	1
286	вещей в	2	1
287	едва ли	1	1
288	действительности и	3	1
289	в зависимости	2	1
290	художественную значимость	1	1
291	той же	1	1
292	литературы но	2	1
293	не во	1	1
294	смысле можно	1	1
295	содержания в	1	1
296	время от	1	1
297	этот эффект	1	1
298	в литературном	2	1
299	целого это	1	1
300	а для	1	1
301	в составе	1	1
302	и со	2	1
303	никогда не	4	1
304	но напротив	2	1
305	зависимости от	3	1
306	в каждой	1	1
307	проявляется в	1	1
308	не от	2	1
309	и определяется	1	1
310	между собой	1	1
311	людей в	1	1
312	на их	2	1
313	время в	3	1
314	действительности иногда	1	1
315	бы то	3	1
316	в различных	2	1
317	является таким	1	1
318	роман и	2	1
319	связи между	1	1
320	тем как	1	1
321	во внешнем	2	1
322	творчества все	1	1
323	для других	2	1
324	оно является	1	1
325	друг от	2	1
326	или иное	1	1
327	или к	1	1
328	поэтому говоря	1	1
329	что они	1	1
330	на основе	6	1
331	отнюдь не	6	1
332	предполагает как	1	1
333	в истории	4	1
334	и соответствующих	1	1
335	от друга	2	1
336	жизненного переживания	2	1
337	такова же	1	1
338	что касается	1	1
339	перед нами	1	1
340	глубже чем	1	1
341	бытию и	1	1
342	узнают себя	1	1
343	самом начале	1	1
344	и свою	5	1
345	от этого	2	1
346	искусство и	1	1
347	что произведение	1	1
348	перестанет быть	1	1
349	бы и	1	1
350	оказаться не	1	1
351	литературы они	1	1
352	из этих	1	1
353	искусстве не	1	1
