N	2gram	Propp_Russ_2	Mirosoze
1	и в	29	46
2	в нем	1	22
3	может быть	13	21
4	в этом	11	20
5	не только	10	18
6	и не	1	18
7	никогда не	2	18
8	для него	1	18
9	но и	8	15
10	не может	5	15
11	как и	11	13
12	а не	4	13
13	друг друга	3	12
14	прежде всего	2	12
15	потому что	5	12
16	не было	2	11
17	но он	3	11
18	в ней	1	11
19	у нас	4	11
20	но в	5	10
21	та же	2	10
22	он был	1	9
23	не в	4	9
24	и есть	1	8
25	отношение к	1	8
26	в своем	1	8
27	на земле	5	8
28	так как	13	8
29	она не	3	8
30	как бы	18	8
31	но это	1	8
32	человека и	1	7
33	как в	7	7
34	в этой	3	7
35	и потому	1	7
36	и для	2	7
37	что он	1	7
38	вопрос о	4	6
39	там и	2	6
40	что это	3	6
41	в русской	1	6
42	не могу	1	6
43	и здесь	1	6
44	в народе	3	6
45	так же	4	6
46	того что	3	6
47	и там	3	6
48	то же	4	5
49	совсем не	2	5
50	в самом	1	5
51	что она	3	5
52	что все	1	5
53	в своей	2	5
54	в конце	1	5
55	во всем	2	5
56	и его	1	5
57	и это	1	5
58	это не	5	5
59	один из	2	5
60	в его	1	5
61	для того	6	5
62	то что	5	5
63	тот кто	1	5
64	и все	4	5
65	в духе	1	5
66	у них	2	4
67	нет в	1	4
68	в царстве	1	4
69	том что	22	4
70	жизнь и	2	4
71	не имеет	3	4
72	того чтобы	6	4
73	должен быть	2	4
74	что у	1	4
75	так и	1	4
76	для этого	5	4
77	означает что	1	4
78	уже не	4	4
79	вопроса о	1	4
80	на поверхности	1	4
81	что и	2	4
82	в свою	1	4
83	до конца	3	4
84	т е	24	4
85	есть уже	1	4
86	что в	22	4
87	все что	1	4
88	же как	4	3
89	это и	2	3
90	и на	6	3
91	иное как	2	3
92	он в	1	3
93	как он	1	3
94	не будет	1	3
95	и с	10	3
96	на все	1	3
97	его в	8	3
98	в них	4	3
99	он же	1	3
100	для чего	1	3
101	и тогда	1	3
102	в такой	1	3
103	принадлежат к	2	3
104	того как	2	3
105	что иное	2	3
106	по своей	1	3
107	людей и	2	3
108	только с	1	3
109	в образе	2	3
110	если бы	1	3
111	с ним	1	3
112	о том	9	3
113	и во	1	3
114	что они	1	3
115	в том	22	3
116	только в	1	3
117	есть в	2	3
118	не так	1	3
119	тем что	3	3
120	с другим	2	3
121	связано с	2	3
122	не раскрывает	1	3
123	жизни в	2	3
124	и от	3	3
125	сказать что	1	3
126	не что	2	3
127	есть и	1	3
128	в своих	2	3
129	те которые	1	3
130	что личность	1	2
131	тут в	1	2
132	с таким	1	2
133	и за	1	2
134	но она	2	2
135	не от	1	2
136	не был	2	2
137	во всех	3	2
138	землю и	1	2
139	хотя и	1	2
140	увидим что	1	2
141	есть ли	1	2
142	от этого	1	2
143	и этим	1	2
144	в которой	2	2
145	если человек	1	2
146	если он	2	2
147	но на	1	2
148	и если	1	2
149	не к	2	2
150	на этом	3	2
151	образа и	1	2
152	с собой	1	2
153	а за	4	2
154	не всегда	3	2
155	чем в	2	2
156	должно быть	2	2
157	в церкви	2	2
158	не будут	1	2
159	в этих	3	2
160	нас не	2	2
161	в который	1	2
162	ее в	8	2
163	место в	1	2
164	них есть	1	2
165	мир и	1	2
166	но эта	1	2
167	которые в	1	2
168	человеческого существа	1	2
169	что есть	1	2
170	стоит в	1	2
171	у русских	4	2
172	тогда когда	4	2
173	ничего не	1	2
174	к ней	2	2
175	связи с	2	2
176	как будто	1	2
177	в основе	1	2
178	к себе	1	2
179	оно не	1	2
180	быть назван	1	2
181	можно было	2	2
182	еще в	2	2
183	в которые	1	2
184	после того	2	2
185	и поэтому	1	2
186	и что	5	2
187	нас в	1	2
188	к нему	4	2
189	не надо	1	2
190	все время	1	2
191	подобно тому	3	2
192	но с	1	2
193	тот же	1	2
194	к свету	1	2
195	мы увидим	1	2
196	на природу	2	2
197	между тем	3	2
198	так что	4	2
199	же и	1	2
200	уже в	1	2
201	и других	3	2
202	себе в	1	2
203	и мир	1	2
204	е в	10	2
205	как у	1	2
206	уходит в	1	2
207	превращается в	1	2
208	и своим	1	2
209	вместе с	6	2
210	что за	1	2
211	тому как	3	2
212	убийство и	1	2
213	последний день	1	2
214	бессмертия и	1	2
215	ее и	2	2
216	быть и	1	2
217	а в	9	2
218	и эта	1	2
219	с природой	1	1
220	и то	2	1
