N	3gram	Tiupa_Narr_1	RusskieA
1	в том что	8	15
2	состоит в том	3	8
3	том что в	1	6
4	как мы увидим	1	5
5	в связи с	2	4
6	о том что	6	4
7	с точки зрения	2	3
8	а иногда и	1	3
9	тем не менее	3	3
10	что иное как	2	2
11	что в этом	1	2
12	с этого момента	1	2
13	но это не	1	2
14	в западной европе	1	2
15	может быть и	1	2
16	один из них	1	2
17	в равной степени	1	2
18	все же не	4	2
19	в свою очередь	3	2
20	но все же	4	2
21	не что иное	2	2
22	и у нас	1	2
23	что каждый из	1	1
24	с таким же	1	1
25	только потому что	1	1
26	на себя внимание	3	1
27	иметь в виду	1	1
28	и того же	1	1
29	хотя они и	1	1
30	по отношению к	6	1
31	точно так же	2	1
32	на самом деле	1	1
33	подобно тому как	2	1
34	же как и	1	1
35	относиться и к	1	1
36	в таком случае	2	1
37	в этом отношении	3	1
38	независимо от того	1	1
39	как это часто	1	1
40	что не только	1	1
41	можно было бы	2	1
42	некоторые из них	1	1
43	тогда как в	2	1
44	обращает на себя	3	1
45	в своего рода	1	1
46	не только в	2	1
47	в отличие от	5	1
48	и как бы	1	1
49	значении этого слова	2	1
50	так же как	2	1
51	в этом ряду	2	1
52	может быть лучше	1	1
53	на другой день	2	1
54	можно сказать что	4	1
55	или может быть	1	1
56	одного и того	1	1
57	совершенно очевидно что	1	1
58	как мы уже	1	1
59	собой не что	1	1
60	друг с другом	1	1
61	а в тех	1	1
62	как и в	1	1
63	из них в	1	1
64	в данном случае	4	1
65	как мы видели	1	1
