N	2gram	Medvedev_F_1	FransuaR
1	и в	24	29
2	таким образом	13	20
3	и не	20	16
4	в этой	6	13
5	и все	6	13
6	но в	5	12
7	как и	11	12
8	и на	8	11
9	в этом	15	11
10	так и	18	11
11	то же	10	10
12	мы уже	1	10
13	не только	7	10
14	в то	9	10
15	как мы	5	10
16	все эти	6	9
17	и с	8	9
18	его в	3	9
19	вовсе не	10	9
20	но и	7	9
21	же время	8	8
22	и его	10	8
23	в его	23	8
24	прежде всего	22	8
25	как бы	6	8
26	в них	3	7
27	мы видели	2	7
28	в том	6	7
29	так как	1	7
30	так же	4	7
31	этот процесс	1	6
32	своего рода	1	6
33	но он	1	6
34	здесь в	2	6
35	в большинстве	3	6
36	из них	1	6
37	это и	3	5
38	и до	5	5
39	в нем	14	5
40	большинстве случаев	2	5
41	он и	1	5
42	в своей	11	5
43	до конца	7	5
44	и о	1	5
45	это не	2	5
46	у него	1	5
47	далеко не	1	5
48	сказать что	1	5
49	и по	1	5
50	также и	1	4
51	на самом	7	4
52	и есть	1	4
53	в которой	4	4
54	еще не	6	4
55	с его	4	4
56	с помощью	3	4
57	в нашем	2	4
58	в образе	1	4
59	которую он	1	4
60	точки зрения	16	4
61	этот образ	2	4
62	в результате	2	4
63	жизнь и	3	4
64	в литературе	5	4
65	что он	3	4
66	конечно не	4	4
67	руки и	1	4
68	связан с	1	4
69	с другой	5	4
70	и др	5	4
71	по своему	1	4
72	но это	3	4
73	все это	9	4
74	один из	3	4
75	перед нами	1	4
76	мира и	1	4
77	то что	8	4
78	есть и	1	4
79	жизни и	7	4
80	по преимуществу	1	3
81	той же	1	3
82	и здесь	6	3
83	в ней	10	3
84	в чем	1	3
85	как к	3	3
86	в своем	11	3
87	и как	3	3
88	более или	6	3
89	то в	1	3
90	в себе	3	3
91	при этом	5	3
92	он не	3	3
93	всех этих	3	3
94	и вот	2	3
95	в году	2	3
96	особенно в	3	3
97	с начала	2	3
98	такой же	1	3
99	том что	1	3
100	или менее	6	3
101	в эту	2	3
102	почти все	1	3
103	самого начала	1	3
104	того чтобы	1	3
105	по своей	1	3
106	они были	2	3
107	основываясь на	1	3
108	с ее	7	3
109	здесь не	3	3
110	в ее	8	3
111	с самого	1	3
112	роль в	1	3
113	что у	1	3
114	начала и	2	3
115	все остальные	1	3
116	к нему	1	3
117	но конечно	1	3
118	все время	2	3
119	того что	5	3
120	на языке	2	3
121	за счет	1	3
122	и других	3	3
123	и их	10	3
124	том числе	1	3
125	и даже	3	3
126	там где	1	3
127	все же	3	3
128	у них	3	3
129	мы видим	1	3
130	другой стороны	1	3
131	в частности	4	3
132	одновременно и	1	3
133	были и	1	3
134	значение это	1	2
135	все те	1	2
136	и со	2	2
137	на их	2	2
138	в различных	2	2
139	с одной	4	2
140	но не	3	2
141	если в	1	2
142	что они	1	2
143	связи и	1	2
144	один и	1	2
145	вследствие чего	1	2
146	как в	8	2
147	вот как	1	2
148	кроме того	1	2
149	хотя и	1	2
150	и наконец	3	2
151	атмосферу для	1	2
152	и к	4	2
153	как он	1	2
154	так сказать	3	2
155	на его	2	2
156	время и	1	2
157	на этом	1	2
158	это конечно	1	2
159	может быть	14	2
160	из-за этого	1	2
161	этих форм	1	2
162	в жизни	3	2
163	ни в	2	2
164	не мог	1	2
165	в этих	1	2
166	в котором	1	2
167	с точки	13	2
168	в их	11	2
169	место в	7	2
170	не столько	1	2
171	на котором	1	2
172	весь этот	1	2
173	но здесь	1	2
174	но только	1	2
175	никогда не	4	2
176	учения о	2	2
177	связи с	3	2
178	уже и	1	2
179	числе и	1	2
180	к тому	3	2
181	если же	2	2
182	и это	2	2
183	мы здесь	1	2
184	большое место	2	2
185	же деле	1	2
186	или в	1	2
187	было в	1	2
188	связанных с	1	2
189	во второй	1	2
190	с ним	2	2
191	на этой	1	2
192	того он	1	2
193	другими словами	1	2
194	а также	1	2
195	все в	2	2
196	в другой	2	2
197	одной из	2	2
198	мы увидим	4	2
199	себя в	1	2
200	уже не	2	2
201	это значение	1	2
202	его и	2	2
203	мир в	1	2
204	друг друга	4	2
205	как раз	2	2
206	самом же	1	2
207	даже и	2	2
208	в особенности	3	2
209	со стороны	5	2
210	именно в	8	2
211	к которому	2	2
212	в ряде	1	2
213	нужно сказать	1	2
214	одной стороны	4	2
215	они не	3	2
216	не на	2	2
217	в слове	1	2
218	в той	1	2
219	в словах	1	2
220	между прочим	1	2
221	о мире	2	2
222	и для	1	2
223	форм и	6	2
224	формы и	5	2
225	в основе	3	2
226	все элементы	1	2
227	а как	2	2
228	жизни в	2	2
229	между ними	3	2
230	от всех	3	2
231	не может	16	2
232	из этого	1	2
233	как на	4	2
234	только в	2	2
235	и другие	1	2
236	в своих	2	2
237	и эта	1	2
238	это в	1	2
239	к этому	1	2
240	себя как	1	1
241	смысле слова	1	1
242	ту же	1	1
243	отношения к	6	1
244	они проникнуты	1	1
245	же как	2	1
246	людей на	1	1
247	он развивает	1	1
248	из самых	1	1
249	из его	1	1
250	должна быть	7	1
251	в самом	5	1
252	и этот	1	1
253	со всех	1	1
254	не приходится	2	1
255	и свой	1	1
256	в первый	1	1
257	это отношение	1	1
258	жизни как	1	1
259	но даже	1	1
260	кто же	1	1
261	это время	1	1
262	дальнейшее развитие	1	1
263	литературы и	2	1
264	подробно и	1	1
265	уже наличные	1	1
266	бы мы	1	1
267	средств и	1	1
268	самом деле	6	1
269	и всего	1	1
270	не перестает	3	1
271	эта особенность	1	1
272	в общем	3	1
273	лишь одной	1	1
274	отношение к	3	1
275	были глубоко	1	1
276	отличие от	1	1
277	нет и	2	1
278	за пределы	2	1
279	значение для	2	1
280	всего все	1	1
281	и выражения	1	1
282	его на	1	1
283	с этим	2	1
284	стороны и	4	1
285	от истории	1	1
286	и различные	1	1
287	процессе развития	1	1
288	в единый	1	1
289	целый ряд	3	1
290	нами в	1	1
291	самом начале	1	1
292	в этот	1	1
293	ее целом	3	1
294	не приходилось	1	1
295	бы и	1	1
296	нее так	1	1
297	в целом	6	1
298	он в	2	1
299	думать что	3	1
300	только на	5	1
301	с их	1	1
302	ни одного	2	1
303	основная задача	1	1
304	на то	1	1
305	борьбы с	1	1
306	человек не	3	1
307	и если	2	1
308	со всею	5	1
309	ей в	1	1
310	главным образом	4	1
311	есть одна	1	1
312	и сплошной	1	1
313	не значит	1	1
314	к одному	1	1
315	оказывает определяющее	1	1
316	прочим и	1	1
317	в силу	1	1
318	довольно часто	1	1
319	этого жанра	1	1
320	людей и	1	1
321	прежде чем	2	1
322	или иных	1	1
323	как они	1	1
324	они должны	1	1
325	значение в	3	1
326	в мире	4	1
327	и чтобы	1	1
328	последовательно и	1	1
329	или даже	1	1
330	входит в	6	1
331	же об	1	1
332	к природе	1	1
333	не одна	1	1
334	уже знаем	1	1
335	между отдельными	1	1
336	в итоге	1	1
337	разобранные нами	1	1
338	в самую	2	1
339	и очень	1	1
340	в данном	1	1
341	мы не	3	1
342	ему по	1	1
343	хотя здесь	1	1
344	в конкретную	2	1
345	и тогда	1	1
346	как своего	1	1
347	что такое	2	1
348	нас не	2	1
349	на данный	1	1
350	и без	1	1
351	ведь если	1	1
352	в отношении	3	1
353	в отличие	1	1
354	знаем что	1	1
355	и связей	1	1
356	время от	1	1
357	времени не	1	1
358	в россии	3	1
359	друг другу	1	1
360	что было	2	1
361	одна а	1	1
362	как от	1	1
363	и почти	1	1
364	и вся	1	1
365	раз и	2	1
366	случае в	1	1
367	определяющее влияние	2	1
368	не случайный	1	1
369	виду что	2	1
370	в обоих	1	1
371	непосредственно и	1	1
372	правда в	1	1
373	здесь на	1	1
374	на него	2	1
375	не по	3	1
376	которого он	1	1
377	анализ его	1	1
378	говорить о	1	1
379	дальше что	1	1
380	следовательно и	2	1
381	самой жизни	1	1
382	на язык	3	1
383	ничего не	2	1
384	связанное с	1	1
385	при всем	1	1
386	как она	3	1
387	это понимание	1	1
388	видим что	1	1
389	во всем	2	1
390	сознанием и	1	1
391	нам важно	2	1
392	потому что	1	1
393	же он	1	1
394	в самих	1	1
395	этом отношении	1	1
396	ему в	1	1
397	что на	1	1
398	точном смысле	1	1
399	от того	2	1
400	у нас	5	1
401	в духе	1	1
402	но все	2	1
403	они и	1	1
404	часть и	1	1
405	значение как	1	1
406	их отношения	3	1
407	так например	3	1
408	в каждой	1	1
409	правда не	1	1
410	всех сторон	1	1
411	значения и	2	1
412	это единство	1	1
413	свою очередь	6	1
414	и сами	1	1
415	всем этим	2	1
416	ведь они	1	1
417	данном случае	1	1
418	и от	7	1
419	так в	1	1
420	на нее	2	1
421	по природе	1	1
422	в борьбе	1	1
423	в последующих	1	1
424	когда его	1	1
425	еще в	2	1
426	она была	2	1
427	подойти к	1	1
428	что дело	1	1
429	здесь снова	1	1
430	с этого	1	1
431	если бы	4	1
432	и природной	1	1
433	в бессмысленную	1	1
434	только и	4	1
435	создается впечатление	1	1
436	не существовало	1	1
437	первый и	1	1
438	и должно	2	1
439	становится только	1	1
440	в отдельных	1	1
441	ног и	1	1
442	в самой	2	1
443	истин не	1	1
444	и что	2	1
445	что каждый	1	1
446	счете всегда	1	1
447	притом в	1	1
448	можно сказать	1	1
449	и существенное	1	1
450	как наиболее	1	1
451	и во	1	1
452	на отдельные	1	1
453	людей в	1	1
454	и всю	1	1
455	ее от	2	1
456	которые мы	1	1
457	и всякая	2	1
458	борьба с	3	1
459	эти два	1	1
460	что и	2	1
461	в форме	1	1
