N	4gram	Bakhtin_Pr_3	Analitik
1	в то же время	12	6
2	бы то ни было	4	3
3	в той или иной	2	3
4	но в то же	3	2
5	и к тому же	2	2
6	а в то же	1	2
7	одного и того же	1	2
8	какой бы то ни	1	2
9	на самом же деле	1	1
10	одно и то же	1	1
11	и вместе с тем	1	1
12	или во всяком случае	1	1
13	в большей или меньшей	1	1
14	чего бы то ни	2	1
15	той или иной форме	1	1
16	один и тот же	1	1
17	но не может быть	1	1
18	он в то же	1	1
19	то же время он	1	1
20	большей или меньшей степени	1	1
21	во всей своей полноте	1	1
