N	2gram	Voloshinov_1	Analitik
1	литературного произведения	2	41
2	может быть	8	29
3	в том	2	27
4	не может	8	22
5	и не	8	21
6	и в	13	18
7	но и	3	17
8	а не	2	17
9	отнюдь не	1	15
10	не только	6	15
11	художественного впечатления	1	14
12	не в	3	14
13	в этом	2	13
14	как и	3	13
15	в его	7	13
16	при этом	2	12
17	том что	2	12
18	литературное произведение	2	12
19	в себе	3	11
20	состоит в	1	11
21	эстетического объекта	5	11
22	но не	1	10
23	то же	4	9
24	в то	1	9
25	а в	2	9
26	есть не	2	8
27	в мире	1	8
28	но в	4	8
29	нуждается в	2	8
30	произведения как	4	7
31	к тому	2	7
32	этого слова	1	7
33	мы имеем	1	6
34	по отношению	3	6
35	отличие от	1	6
36	в самом	2	6
37	далеко не	1	6
38	точки зрения	7	6
39	в своей	4	6
40	в отличие	1	6
41	в основе	1	6
42	по своей	1	6
43	эстетический объект	7	6
44	в себя	1	6
45	же время	1	6
46	только в	6	6
47	то что	6	6
48	прежде всего	9	6
49	художественного произведения	5	5
50	в их	3	5
51	что иное	2	5
52	иное как	2	5
53	и как	1	5
54	в произведении	2	5
55	в целом	2	5
56	в этой	1	5
57	внутренней речи	1	5
58	лишь в	4	5
59	и его	12	5
60	имеет место	2	5
61	сводится к	1	5
62	между тем	2	5
63	и т.п	7	5
64	такого рода	1	5
65	как бы	6	5
66	художественное произведение	2	5
67	отношению к	3	5
68	что в	3	5
69	того же	1	4
70	не что	2	4
71	из того	1	4
72	в широком	1	4
73	столь же	1	4
74	все же	5	4
75	не всегда	1	4
76	с точки	5	4
77	и более	1	4
78	по себе	1	4
79	в области	2	4
80	могут быть	2	4
81	так и	3	4
82	в другом	2	4
83	с другой	2	4
84	в конечном	1	4
85	искусства в	1	4
86	конечном счете	1	4
87	для того	1	4
88	себя и	1	4
89	во времени	2	4
90	вместе с	1	4
91	эстетическим объектом	1	4
92	собственно говоря	2	4
93	истории литературы	2	4
94	как известно	1	3
95	одним из	1	3
96	и есть	1	3
97	подхода к	1	3
98	говоря и	1	3
99	вступает в	1	3
100	и к	2	3
101	автора и	1	3
102	в нем	2	3
103	вследствие этого	1	3
104	подобно тому	1	3
105	таким образом	6	3
106	бы быть	1	3
107	того или	2	3
108	организации художественного	1	3
109	своего рода	2	3
110	того чтобы	1	3
111	при наличии	1	3
112	анализ художественного	1	3
113	оно может	1	3
114	в собственном	1	3
115	если бы	2	3
116	а также	2	3
117	к нему	1	3
118	с его	1	3
119	еще не	1	3
120	с одной	2	3
121	вопроса о	4	3
122	обратиться к	1	3
123	никто не	1	3
124	одной стороны	2	3
125	более того	2	3
126	тому как	1	3
127	быть не	1	3
128	что мы	1	3
129	объекта и	1	3
130	и все	3	3
131	хотя бы	5	3
132	что он	1	3
133	о литературе	1	3
134	или иного	2	3
135	самом деле	3	2
136	на самом	1	2
137	науки о	1	2
138	едва ли	1	2
139	также и	1	2
140	а как	2	2
141	на место	1	2
142	на себя	1	2
