N	3gram	Losev_Dial_3	Otkroven
1	в нем нет	1	3
2	и в этом	2	2
3	в этом мире	1	2
4	это было бы	2	2
5	что у него	1	2
6	не может быть	6	2
7	как и все	2	2
8	не могут быть	2	2
9	и никогда не	1	2
10	не только одно	1	1
11	по себе есть	1	1
12	не те которые	1	1
13	хотя и не	2	1
14	чем в других	1	1
15	не в том	1	1
16	потому что в	1	1
17	том что в	1	1
18	это потому что	1	1
19	в самом деле	5	1
20	есть не только	2	1
21	и в том	1	1
22	есть момент в	1	1
23	и не может	1	1
24	во всяком случае	2	1
25	сам по себе	5	1
26	не в силах	1	1
27	само по себе	5	1
28	он и не	1	1
29	о том что	5	1
30	в этом отношении	1	1
31	как это часто	1	1
32	и все это	1	1
33	должна быть не	2	1
34	да ведь это	1	1
35	и прежде всего	3	1
36	никто не имеет	1	1
37	в том что	3	1
38	а иногда и	1	1
39	вообще но и	1	1
40	на то что	3	1
41	т е от	1	1
42	все что было	1	1
43	как и в	3	1
44	от того что	1	1
45	ничто не может	1	1
46	и вопрос о	1	1
47	не есть просто	4	1
