N	4gram	Vinokur_St_1	Psycholo
1	в то время как	1	5
2	заключается в том что	2	3
3	во всяком случае в	2	2
4	надо сказать что в	1	2
5	с другой стороны и	1	2
6	и в самом деле	2	2
7	т д и т	1	1
8	дело в том что	4	1
9	вопрос о том что	1	1
10	и т п поэтому	1	1
11	в той мере в	1	1
12	и т п в	3	1
13	виде в каком он	1	1
14	оставляет камня на камне	1	1
15	д и т д	1	1
16	в том числе и	2	1
17	той мере в какой	1	1
18	и т д и	2	1
19	такое же значение как	1	1
20	только в том случае	1	1
21	точно так же и	1	1
22	что с точки зрения	1	1
23	на вопрос о том	1	1
24	сказать что в области	1	1
25	мы на самом деле	1	1
26	не оставляет камня на	1	1
27	и т п но	1	1
28	так же как и	1	1
29	одним и тем же	2	1
