N	3gram	Medvedev_F_1	StatiiOP
1	и т д	8	21
2	в том что	1	17
3	и т п	4	9
4	с точки зрения	13	8
5	до сих пор	6	7
6	в этом отношении	1	7
7	на самом деле	6	6
8	в данном случае	1	6
9	с другой стороны	1	6
10	во всяком случае	4	6
11	не может быть	5	5
12	то же время	8	4
13	в своей статье	3	4
14	в том отношении	1	4
15	так и в	4	4
16	того или иного	2	4
17	что и в	1	4
18	нужно сказать что	1	4
19	в то же	8	4
20	по отношению к	4	3
21	в применении к	2	3
22	так же как	1	3
23	и в этом	2	3
24	заключается в том	1	3
25	ничего общего с	1	3
26	т п в	1	3
27	но все же	1	3
28	в том числе	1	2
29	и в том	1	2
30	хотя бы и	1	2
31	в той же	1	2
32	но и в	1	2
33	том числе и	1	2
34	может быть и	3	2
35	точки зрения их	2	2
36	при таком положении	2	2
37	но в то	2	2
38	с одной стороны	4	2
39	отношении что они	1	2
40	так или иначе	1	2
41	т е в	1	2
42	а также и	1	2
43	том отношении что	1	2
44	тем не менее	1	2
45	не может не	1	1
46	во всей полноте	1	1
47	то ни стало	2	1
48	б м эйхенбаум	1	1
49	не говоря уже	1	1
50	как и во	1	1
51	в настоящее время	10	1
52	в этом смысле	1	1
53	не выходя за	1	1
54	в том и	1	1
55	а не по	1	1
56	должно было бы	1	1
57	должен был бы	1	1
58	же как и	1	1
59	во что бы	2	1
60	отрицательное отношение к	1	1
61	заключается именно в	1	1
62	в лучшем случае	3	1
63	говоря уже о	1	1
64	в зависимости от	2	1
65	сами по себе	2	1
66	убедиться в этом	2	1
67	произведений с точки	1	1
68	бы то ни	3	1
69	же время не	1	1
70	для этого прежде	1	1
71	в то что	1	1
72	действительно было бы	1	1
73	и всякая иная	1	1
74	в это время	1	1
75	что бы то	2	1
76	чтобы убедиться в	2	1
77	здесь нет и	1	1
78	в том чтобы	2	1
79	у нас не	2	1
80	т п на	1	1
81	и в то	1	1
82	но даже и	1	1
83	этого прежде всего	1	1
84	то что было	1	1
85	только с точки	1	1
86	а вовсе не	2	1
87	в целом ряде	2	1
88	именно в том	1	1
89	самом деле оно	1	1
90	как на какой-то	1	1
91	смыслового движения речи	1	1
92	и притом в	1	1
93	смысле этого слова	3	1
94	хотя бы в	1	1
95	как бы ни	3	1
96	и не может	2	1
97	но все эти	1	1
98	с этой стороны	1	1
99	в этой книге	1	1
100	как в самом	1	1
101	друг от друга	2	1
102	к тому что	1	1
103	если бы оно	2	1
104	но ведь на	1	1
105	ведь на самом	1	1
106	художественного произведения в	2	1
107	и не в	2	1
108	с этой теорией	1	1
109	как и всякая	2	1
110	что он в	1	1
