N	2gram	Nazirov_Tv_1	BTomashe
1	у нас	1	3
2	и не	7	2
3	больше чем	2	2
4	все это	10	2
5	в ней	2	2
6	не то	2	2
7	выпадает из	1	1
8	крайней мере	2	1
9	же не	1	1
10	не укладывается	1	1
11	тем более	1	1
12	говорить о	1	1
13	об этом	2	1
14	и в	21	1
15	не вполне	1	1
16	и о	1	1
17	к ней	2	1
18	следовало бы	2	1
19	что все	3	1
20	с другой	3	1
21	в своей	4	1
22	своей книге	1	1
23	на самом	3	1
24	как будто	5	1
25	о свободе	3	1
26	из ее	1	1
27	было бы	1	1
28	все же	5	1
29	кроме того	1	1
30	никак не	1	1
31	было и	1	1
32	еще не	1	1
33	и на	7	1
34	по нашему	5	1
35	одной из	4	1
36	прежде всего	4	1
37	в данном	2	1
38	он заслуживает	1	1
39	так и	2	1
40	не было	1	1
41	в книге	3	1
42	его не	1	1
43	из своей	1	1
44	нашему мнению	5	1
45	в композиции	1	1
46	далеко не	3	1
47	до конца	2	1
48	нельзя не	1	1
49	этой книги	3	1
50	а не	5	1
51	что в	12	1
52	в области	1	1
53	другой стороны	1	1
54	и ее	1	1
55	не все	1	1
56	по крайней	2	1
57	отнюдь не	5	1
58	таким образом	5	1
59	и более	1	1
60	не только	7	1
61	в эпоху	1	1
