N	3gram	Nazirov_Tr_1	VeschiIm
1	не может быть	1	18
2	в том что	2	6
3	в чем же	1	5
4	тем не менее	1	5
5	и то что	1	4
6	в то же	5	4
7	то же время	5	4
8	сам по себе	1	3
9	все же не	1	3
10	в самом деле	1	3
11	и в частности	2	2
12	что в ней	1	2
13	к тому что	1	2
14	что нужно для	1	2
15	ничего не значит	1	2
16	в данном случае	2	2
17	не только к	1	2
18	о том что	2	1
19	это и есть	1	1
20	смысле этого слова	1	1
21	но в то	2	1
22	на вопрос о	1	1
23	не только не	1	1
24	в этом случае	1	1
25	в конце концов	1	1
26	это может быть	1	1
27	и в этом	1	1
28	хотя бы и	1	1
29	общем смысле этого	1	1
30	в xix веке	1	1
31	в той же	1	1
32	что он не	1	1
33	и как бы	2	1
34	что это значит?	1	1
35	что когда я	1	1
36	несмотря на все	1	1
37	важно но если	1	1
38	по природе своей	1	1
39	она все же	1	1
40	в применении к	1	1
41	вместо того чтобы	1	1
42	и вместе с	1	1
43	но все же	2	1
44	и не может	1	1
45	что уже не	1	1
46	и все же	1	1
47	том что он	1	1
48	во всяком случае	1	1
49	бы и не	1	1
50	это было в	1	1
