N	2gram	Ircho_Kome_3	UchenyiS
1	и в	22	14
2	а не	4	10
3	не только	5	10
4	прежде всего	5	8
5	и не	21	8
6	не может	3	7
7	в этом	8	7
8	то что	4	7
9	может быть	6	6
10	то же	7	5
11	и только	1	5
12	все это	5	5
13	хотя бы	4	5
14	с другой	4	4
15	но и	4	4
16	в их	2	4
17	в конечном	2	4
18	конечном счете	2	4
19	в этой	3	4
20	конечно не	3	4
21	то ни	3	3
22	это не	2	3
23	было бы	3	3
24	как и	3	3
25	для этого	1	3
26	в частности	3	3
27	в своей	5	3
28	бы то	2	3
29	очевидно что	1	3
30	к сожалению	1	3
31	в то	6	3
32	все же	4	3
33	но в	5	3
34	же время	5	3
35	в области	2	3
36	другой стороны	2	3
37	не как	2	3
38	ни было	2	3
39	не о	3	3
40	что все	1	2
41	крайней мере	1	2
42	же не	1	2
43	одним из	2	2
44	и с	4	2
45	до сих	9	2
46	а как	2	2
47	это было	1	2
48	самом деле	6	2
49	в некоторых	1	2
50	превращается в	1	2
51	мы не	2	2
52	не приходится	2	2
53	о чем	7	2
54	если бы	8	2
55	что мы	2	2
56	ничего не	3	2
57	не столько	1	2
58	если не	3	2
59	том что	13	2
60	на первый	1	2
61	материал для	1	2
62	сводится к	1	2
63	надо было	1	2
64	нас в	1	2
65	с его	3	2
66	но не	1	2
67	в сторону	1	2
68	в его	8	2
69	по крайней	1	2
70	по существу	2	2
71	что и	8	2
72	более чем	5	2
73	конце концов	2	2
74	сих пор	9	2
75	могли бы	1	2
76	в том	12	2
77	и для	4	2
78	что он	8	2
79	в себе	4	2
80	формы и	1	2
81	в самом	9	2
82	между тем	2	2
83	и у	1	2
84	только в	1	2
85	не в	4	2
86	все они	1	2
87	этом отношении	2	2
88	приходится признать	1	2
89	его и	1	2
90	представляется нам	1	2
91	не могут	2	2
92	могут быть	1	2
93	в конце	7	2
94	а о	2	2
95	же самое	3	2
96	не случайно	1	2
97	как раз	6	2
98	тем что	5	2
99	что она	4	2
100	таким образом	12	2
101	и это	2	1
102	об этом	7	1
103	в этот	1	1
104	человека и	2	1
105	даже не	3	1
106	без них	1	1
107	в виду	2	1
108	первую очередь	1	1
109	или иначе	2	1
110	было сделать	1	1
111	было и	1	1
112	в пределах	2	1
113	литературного жанра	1	1
114	еще одно	2	1
115	свое место	1	1
116	из первых	1	1
117	к которой	1	1
118	что для	2	1
119	никогда не	3	1
120	так и	4	1
121	одной стороны	3	1
122	той же	1	1
123	относится к	1	1
124	этого не	1	1
125	до конца	4	1
126	с тем	4	1
127	мы имеем	1	1
128	он знает	4	1
129	обращение к	1	1
130	для начала	1	1
131	со своими	1	1
132	ничего подобного	1	1
133	ошибочным выводам	1	1
134	жанра в	1	1
135	и всякого	1	1
136	именно к	1	1
137	и даже	3	1
138	остается в	2	1
139	можно сказать	1	1
140	или менее	1	1
141	в г	2	1
142	к лицу	1	1
143	этой же	1	1
144	затем он	1	1
145	как на	1	1
146	приводит к	3	1
147	о том	8	1
148	в ней	4	1
149	и потому	1	1
150	относятся к	1	1
151	в котором	2	1
152	только для	2	1
153	и что	6	1
154	он был	4	1
155	первый план	1	1
156	все его	1	1
157	из которых	2	1
158	в пользу	1	1
159	которой очевидно	1	1
160	конечно это	1	1
161	признать что	1	1
162	строго говоря	1	1
163	в течение	3	1
164	чем к	2	1
165	этих слов	2	1
166	много лучше	1	1
167	бы в	4	1
168	не входит	1	1
169	друг другу	1	1
170	в которых	5	1
171	поскольку он	1	1
172	не без	1	1
173	образом на	1	1
174	их в	3	1
175	друг с	1	1
176	на его	2	1
177	ничуть не	6	1
178	стиха но	1	1
179	нет и	4	1
180	за пределы	2	1
181	на то	3	1
182	быть не	1	1
183	иначе в	1	1
184	автора для	1	1
185	и вся	1	1
186	еще один	1	1
187	отнюдь не	4	1
188	она не	2	1
189	еще раз	1	1
190	этом случае	2	1
191	независимо от	1	1
192	его на	2	1
193	впрочем не	1	1
194	в своем	8	1
195	что с	2	1
196	рассматривать не	1	1
197	они относятся	1	1
198	что ему	2	1
199	и все	2	1
200	того как	1	1
201	она должна	1	1
202	этой тенденции	1	1
203	на предыдущих	1	1
204	тот же	2	1
205	этого материала	1	1
206	на своем	1	1
207	более или	1	1
208	впрочем для	1	1
209	всего лишь	2	1
210	он уже	1	1
211	по мнению	2	1
212	так много	1	1
213	в ноги	1	1
214	почему в	1	1
215	в которой	3	1
216	о котором	1	1
217	больше чем	2	1
218	не было	2	1
219	так или	2	1
220	находятся в	1	1
221	довести до	1	1
222	это же	1	1
223	с одной	3	1
224	в качестве	2	1
225	тем более	4	1
226	с новой	1	1
227	что по	1	1
228	живого человека	1	1
229	далеко не	3	1
230	имеем в	1	1
231	случае все	1	1
232	ли для	1	1
233	в нем	3	1
234	предыдущих страницах	1	1
235	с другом	1	1
236	но если	3	1
237	он не	5	1
238	о которой	2	1
239	а для	1	1
240	сказать что	1	1
241	только как	2	1
242	что угодно	1	1
243	одно из	1	1
244	в первую	1	1
245	он называет	2	1
246	равно как	2	1
247	он и	2	1
248	в современном	1	1
249	правда не	1	1
250	в свое	2	1
251	самое что	1	1
252	может служить	1	1
253	но он	1	1
254	если у	1	1
255	у него	4	1
256	насколько мы	1	1
257	мы можем	3	1
258	и эта	1	1
259	это в	2	1
260	что при	1	1
261	отказаться от	2	1
262	к этому	6	1
263	что в	5	1
264	в таком	2	1
265	когда бы	1	1
266	все что	3	1
