N	2gram	Propp_Morf_1	Problemy
1	и в	13	43
2	и не	12	29
3	т е	21	26
4	может быть	52	23
5	как бы	3	22
6	не может	14	18
7	в пределах	3	16
8	как и	3	14
9	но и	4	14
10	и т	41	13
11	в этом	14	13
12	точки зрения	2	13
13	что он	4	13
14	в одном	1	12
15	не только	4	11
16	в каждом	1	11
17	не в	3	11
18	и на	1	10
19	но в	2	10
20	как мы	6	10
21	в его	1	10
22	прежде всего	9	10
23	в сущности	3	9
24	еще не	3	9
25	он не	3	9
26	в большинстве	3	9
27	то же	7	8
28	для него	1	8
29	с точки	2	8
30	и его	1	8
31	большинстве случаев	3	8
32	или в	4	8
33	ведь и	1	7
34	перед нами	10	7
35	в то	3	7
36	в другом	2	7
37	в него	1	7
38	до сих	1	7
39	а не	11	7
40	что же	2	7
41	сих пор	1	7
42	то что	8	7
43	и наконец	1	6
44	при этом	1	6
45	в этих	13	6
46	здесь не	2	6
47	приводит к	2	6
48	на свой	1	6
49	в том	6	6
50	у него	1	6
51	то перед	5	6
52	и все	1	6
53	самом деле	4	5
54	но не	4	5
55	по отношению	4	5
56	хотя и	3	5
57	в себе	1	5
58	все эти	2	5
59	но ведь	1	5
60	на то	2	5
61	таким образом	21	5
62	и с	1	5
63	было бы	3	5
64	но здесь	1	5
65	о том	2	5
66	и что	2	5
67	к нему	3	5
68	мы увидим	8	5
69	так что	1	5
70	вовсе не	4	5
71	в той	1	5
72	а в	7	5
73	отношению к	4	5
74	и до	1	4
75	он ничего	1	4
76	мы не	8	4
77	так чтобы	1	4
78	с его	2	4
79	во всех	4	4
80	отличие от	1	4
81	там где	5	4
82	вот как	1	4
83	т д	39	4
84	если же	5	4
85	же не	1	4
86	в них	1	4
87	далеко не	5	4
88	между собою	2	4
89	должно быть	1	4
90	во время	6	4
91	в своей	1	4
92	но он	1	4
93	их в	1	4
94	как его	1	4
95	или как	1	4
96	с другом	1	4
97	к тому	4	4
98	с собой	3	4
99	этот вопрос	2	4
100	только в	2	4
101	принимает форму	1	4
102	так как	16	4
103	как раз	1	4
104	точек зрения	1	4
105	с другой	8	4
106	на этот	1	4
107	не на	2	4
108	не могут	4	4
109	друг с	1	4
110	и нет	1	4
111	но это	6	4
112	в результате	7	4
113	между ними	1	4
114	совершенно не	1	4
115	что в	8	4
116	но эти	1	4
117	также и	4	3
118	должна быть	1	3
119	мы уже	1	3
120	и со	1	3
121	в виду	1	3
122	здесь нет	1	3
123	он был	1	3
124	он сам	1	3
125	мы будем	3	3
126	что так	1	3
127	в одной	1	3
128	кроме того	1	3
129	и к	4	3
130	более или	2	3
131	только на	1	3
132	это не	6	3
133	кажется что	1	3
134	переходим к	1	3
135	такой же	1	3
136	или менее	2	3
137	и их	2	3
138	образом и	1	3
139	даже в	1	3
140	она не	2	3
141	на него	3	3
142	ничего не	4	3
143	во всем	1	3
144	могут быть	16	3
145	не менее	5	3
146	и этим	5	3
147	можно было	2	3
148	так и	6	3
149	даны в	1	3
150	если бы	2	3
151	и даже	1	3
152	и здесь	5	3
153	в различных	2	3
154	между тем	5	3
155	что и	7	3
156	а он	1	3
157	в формах	1	3
158	образом как	1	3
159	его в	2	3
160	том или	1	3
161	и ее	3	3
162	со всеми	1	3
163	себя в	1	3
164	уже не	2	3
165	в виде	2	3
166	тем что	4	3
167	герой и	3	3
168	себя и	2	3
169	в рассказе	1	3
170	по существу	12	3
171	но для	2	3
172	все же	7	3
173	и для	2	3
174	не знает	1	3
175	другой стороны	4	3
176	в последнем	2	3
177	есть и	4	3
178	героя в	4	3
179	ту же	2	2
180	из его	2	2
181	почти всегда	1	2
182	вопрос о	7	2
183	время как	3	2
184	то это	3	2
185	для наших	1	2
186	с большим	1	2
187	этих случаях	11	2
188	друг к	2	2
189	себе он	1	2
190	друг на	2	2
191	же она	2	2
192	или другом	1	2
193	герой не	2	2
194	отношение к	1	2
195	как в	3	2
196	с этим	11	2
197	целый ряд	3	2
198	и как	5	2
199	в первом	3	2
200	та же	2	2
201	что это	1	2
202	в целом	3	2
203	сказать о	2	2
204	бы не	1	2
205	из этих	1	2
206	им в	1	2
207	нами в	2	2
208	отношение между	1	2
209	но на	1	2
210	иногда же	2	2
211	одно и	1	2
212	но все	3	2
213	а затем	4	2
214	конечно в	1	2
215	об этом	4	2
216	из них	3	2
217	к другу	2	2
218	входит в	2	2
219	ко второму	1	2
220	лишь на	2	2
221	ни в	1	2
222	на друга	2	2
223	не место	1	2
224	том что	4	2
225	которую он	1	2
226	и при	1	2
227	что такое	3	2
228	что говорит	1	2
229	в которых	2	2
230	значение для	1	2
231	но эта	1	2
232	что этот	1	2
233	и то	1	2
234	и герой	1	2
235	дело в	1	2
236	того как	2	2
237	одна из	4	2
238	появляются в	1	2
239	тем не	5	2
240	перед ним	1	2
241	есть у	1	2
242	у нас	2	2
243	должны быть	1	2
244	но к	1	2
245	здесь мы	3	2
246	нашей работы	2	2
247	всего этого	1	2
248	без всякого	2	2
249	настоящее время	3	2
250	слова она	1	2
251	то время	3	2
252	в образе	4	2
253	в плоскости	1	2
254	он говорил	1	2
255	в глаза	2	2
256	его герой	1	2
257	в форме	6	2
258	того что	3	2
259	быть и	2	2
260	но так	1	2
261	к различным	2	2
262	двух точек	1	2
263	не входит	1	2
264	если мы	5	2
265	этого нельзя	2	2
266	имеется и	1	2
267	а то	3	2
268	его и	2	2
269	мы переходим	1	2
270	с насмешкой	1	2
271	мы можем	2	2
272	другого и	1	2
273	с другим	1	2
274	ничего он	1	2
275	как же	2	2
276	а с	2	2
277	и др	10	2
278	что не	1	2
279	и пр	37	2
280	материал в	1	2
281	так же	3	2
282	ним как	1	2
283	по своему	2	2
284	в первой	1	2
285	например в	2	2
286	между собой	4	2
287	в настоящее	3	2
288	для нас	2	2
289	лишь как	1	2
290	хотя бы	4	2
291	реагирует на	3	2
292	ни было	2	2
293	не есть	1	2
294	с теми	4	2
295	с ними	1	2
296	сказать что	2	2
297	нет но	1	2
298	ее в	1	2
299	в таком	1	2
300	во всяком	2	2
301	смысле слова	4	1
302	вопрос мы	1	1
303	лишь после	2	1
304	таком случае	1	1
305	ее возможность	1	1
306	на самом	4	1
307	он может	2	1
308	это и	2	1
309	и должны	1	1
310	и есть	2	1
311	еще мал	1	1
312	между двумя	1	1
313	собственном смысле	3	1
314	уже по	1	1
315	одним из	1	1
316	что общий	1	1
317	за другом	2	1
318	или наоборот	1	1
319	это совершенно	1	1
320	положения в	1	1
321	случае это	1	1
322	такое положение	1	1
323	есть нечто	3	1
324	эта форма	13	1
325	но она	1	1
326	как во	1	1
327	и тем	2	1
328	вместо того	1	1
329	ему в	1	1
330	один пример	1	1
331	их слова	1	1
332	и заставляет	1	1
333	кто же	1	1
334	героев в	1	1
335	нет то	1	1
336	он получает	1	1
337	как сюжет	1	1
338	бы то	3	1
339	тем как	1	1
340	то мы	4	1
341	одним словом	1	1
342	с одной	1	1
343	но как	2	1
344	если в	5	1
345	учение о	3	1
346	правда есть	1	1
