N	4gram	Medvedev_V_1	Myshleni
1	в то время как	1	5
2	в том что оно	1	3
3	об одном и том	1	2
4	в том смысле что	1	2
5	одном и том же	2	2
6	мы имеем дело с	1	1
7	в этой области не	1	1
8	но то же самое	1	1
9	только в том что	1	1
10	что мы имеем дело	1	1
11	в этом и заключается	2	1
12	в том числе и	2	1
13	в силу чего он	1	1
14	не удивительно поэтому что	1	1
15	в каждой из этих	1	1
16	и не может быть	2	1
17	с этой точки зрения	1	1
18	и в зависимости от	1	1
19	с теми или иными	1	1
20	нет и не может	1	1
21	но с другой стороны	1	1
22	так же как и	1	1
23	приводит к тому что	1	1
24	и по отношению к	1	1
25	не значит что он	1	1
