N	4gram	Voloshinov_1	Psycholo
1	одной и той же	2	4
2	одни и те же	1	2
3	в то же время	7	2
4	приходится иметь дело с	1	2
5	и не может быть	1	1
6	одно и то же	3	1
7	одна и та же	1	1
8	не что иное как	2	1
9	как говорит один из	1	1
10	которые в действительной жизни	1	1
11	все больше и больше	2	1
12	мы никогда не сумеем	2	1
13	в жизни и в	1	1
14	то же самое и	1	1
15	говорит один из героев	1	1
16	в связи с этим	2	1
17	одного и того же	1	1
18	и т.д что же	1	1
19	в зависимости от того	2	1
20	вместе с тем и	2	1
21	есть не что иное	2	1
22	ни на минуту не	1	1
