N	3gram	Savitsky_E_1	TeoriaLi
1	в отличие от	1	7
2	в том что	6	6
3	то же время	14	6
4	в то же	15	6
5	в данном случае	2	5
6	не сводится к	1	5
7	того или иного	4	5
8	более или менее	1	4
9	с другой стороны	2	3
10	можно сказать что	3	3
11	в свою очередь	2	3
12	той или иной	4	3
13	в этом смысле	3	3
14	и того же	1	2
15	и некоторые иные	1	2
16	в этом мире	1	2
17	в соответствии с	1	2
18	с точки зрения	16	2
19	в противном случае	1	2
20	с одной стороны	8	2
21	и тем самым	1	2
22	одного и того	1	2
23	тех или иных	1	2
24	не может быть	2	2
25	в той или	3	1
26	он мог бы	1	1
27	этой точки зрения	5	1
28	дело в том	1	1
29	существенное значение в	1	1
30	имеет место в	2	1
31	в том числе	1	1
32	в их отношении	3	1
33	в одной из	1	1
34	и в то	8	1
35	также и по	1	1
36	бы то ни	4	1
37	из того что	2	1
38	том числе и	1	1
39	то или иное	1	1
40	в том случае	1	1
41	том случае если	1	1
42	может быть и	1	1
43	в значительной степени	1	1
44	то что может	1	1
45	как это случается	1	1
46	то ни было	4	1
47	и не быть	1	1
48	в отношении к	12	1
49	не более чем	2	1
50	принадлежат к числу	1	1
51	в известном смысле	3	1
52	по большей части	1	1
53	не могут быть	1	1
54	в связи с	1	1
55	их отношении к	3	1
56	так же как	5	1
57	в то время	1	1
58	с этой точки	5	1
59	прежде всего к	2	1
60	между тем в	3	1
61	и прежде всего	3	1
62	но в то	2	1
63	именно потому что	1	1
64	в другой своей	1	1
65	ту или иную	3	1
66	в большинстве случаев	2	1
67	та или иная	1	1
68	для того чтобы	5	1
69	к тому же	1	1
