N	2gram	Losev_Prob_3	Otkroven
1	у него	1	22
2	и в	44	19
3	но и	10	13
4	и не	35	13
5	в этом	17	12
6	не в	13	11
7	не только	14	11
8	может быть	28	11
9	а не	18	11
10	вопрос о	1	10
11	в нем	9	10
12	и все	3	10
13	в самой	2	9
14	прежде всего	3	9
15	не было	5	9
16	никогда не	6	9
17	потому что	25	9
18	и он	1	8
19	в его	9	7
20	он не	8	7
21	лишь в	1	7
22	до конца	1	7
23	ни с	4	7
24	нет ничего	6	7
25	но он	1	7
26	от него	2	7
27	как и	10	6
28	все это	5	6
29	в том	21	5
30	в самом	3	5
31	в этой	3	5
32	для него	3	5
33	о его	2	5
34	а в	5	5
35	то что	23	5
36	он сам	4	4
37	все в	1	4
38	все эти	7	4
39	что не	1	4
40	не может	7	4
41	того чтобы	1	4
42	и его	5	4
43	всегда есть	2	4
44	что в	8	4
45	только и	8	4
46	и есть	5	3
47	различие между	1	3
48	быть может	1	3
49	о том	6	3
50	еще не	5	3
51	было бы	8	3
52	того что	8	3
53	когда он	2	3
54	что он	9	3
55	и ее	3	3
56	это за	3	3
57	в себе	8	3
58	человеческого духа	1	3
59	не исчезает	1	3
60	не могут	1	3
61	для того	1	3
62	это было	2	3
63	это не	9	3
64	никто не	2	3
65	мысли и	1	3
66	могут быть	2	3
67	как бы	9	3
68	с ним	7	3
69	и от	9	3
70	в этих	2	3
71	хотя бы	3	3
72	в своих	1	3
73	и с	9	2
74	из всего	1	2
75	и то	14	2
76	в ее	4	2
77	от самого	1	2
78	что у	3	2
79	так и	10	2
80	его не	2	2
81	и о	5	2
82	по себе	25	2
83	раз уже	1	2
84	никогда и	1	2
85	и на	1	2
86	природы и	2	2
87	совсем не	2	2
88	и все-таки	1	2
89	не все	1	2
90	что и	9	2
91	что они	5	2
92	в истории	1	2
93	в своем	5	2
94	и нет	2	2
95	все же	6	2
96	сразу же	2	2
97	и к	6	2
98	в этот	1	2
99	не очень	2	2
100	и потому	7	2
101	в которой	2	2
102	он в	2	2
103	учение о	1	2
104	так что	12	2
105	ничего и	1	2
106	уже в	3	2
107	с чем	2	2
108	в душе	1	2
109	о которой	1	2
110	что для	3	2
111	которую он	1	2
112	так как	9	2
113	и никогда	1	2
114	тем что	4	2
115	даже и	16	2
116	момент в	1	2
117	в другом	2	2
118	его в	3	2
119	сказать что	16	2
120	с тем	5	2
121	и очень	3	2
122	том что	12	2
123	к этому	1	2
124	что же	8	2
125	и там	2	2
126	можно ли	4	2
127	с которой	2	2
128	ничего кроме	2	2
129	не имеет	9	2
130	и для	2	2
131	и бесконечно	1	2
132	ничего не	3	2
133	природы в	1	2
134	и ни	3	2
135	к ней	1	2
136	ничто не	2	2
137	не есть	35	2
138	в своей	5	2
139	что все	2	2
140	к этой	1	2
141	хотя и	5	2
142	ее в	1	2
143	но в	12	2
144	всегда в	1	1
145	бог и	1	1
146	смысле слова	8	1
147	и это	9	1
148	отношения к	3	1
149	также и	16	1
150	например в	1	1
151	и действительно	1	1
152	в виду	10	1
153	сам по	6	1
154	на нем	1	1
155	он более	1	1
156	л толстого	1	1
157	есть самая	1	1
158	на самом	7	1
159	с каким	1	1
160	было сделать	1	1
161	тем же	2	1
162	чего не	1	1
163	нет никакой	1	1
164	и до	2	1
165	не имеют	4	1
166	должна быть	1	1
167	и больше	3	1
168	и когда	1	1
169	во тьме	1	1
170	можно было	4	1
171	из всех	1	1
172	не с	1	1
173	есть не	5	1
174	собой в	1	1
175	характер его	1	1
176	мы не	7	1
177	том как	2	1
178	по сравнению	2	1
179	связан с	1	1
180	если бы	3	1
181	в эпоху	1	1
182	все новое	1	1
183	для раскрытия	1	1
184	но может	1	1
185	не вполне	1	1
186	бы даже	1	1
187	тут все	1	1
188	но к	1	1
189	в ней	5	1
190	и что	7	1
191	в глаза	1	1
192	почему же	1	1
193	не стоит	2	1
194	все его	1	1
195	писателя а	1	1
196	и общественной	1	1
197	вопросу о	1	1
198	своих героев	2	1
199	там и	3	1
200	самом деле	3	1
201	доходит до	2	1
202	и вопрос	1	1
203	но не	3	1
204	то он	2	1
205	и всякий	1	1
206	в противоречии	1	1
207	сравнению с	2	1
208	нуждается в	1	1
209	себе и	1	1
210	отметить что	1	1
