N	2gram	Voloshinov_1	UchenyiS
1	и в	15	14
2	а не	2	10
3	не только	5	10
4	и не	16	8
5	прежде всего	11	8
6	в этом	13	7
7	не может	13	7
8	то что	10	7
9	может быть	13	6
10	в искусстве	3	6
11	и только	4	5
12	все это	5	5
13	то же	7	5
14	хотя бы	7	5
15	художественного творчества	1	5
16	что такое	3	4
17	конечном счете	1	4
18	с другой	1	4
19	конечно не	3	4
20	в конечном	1	4
21	но и	4	4
22	в этой	5	4
23	у нас	3	3
24	бы то	1	3
25	в своей	9	3
26	все же	5	3
27	не как	1	3
28	то ни	1	3
29	в то	6	3
30	же время	5	3
31	к сожалению	1	3
32	для этого	4	3
33	не следует	2	3
34	в области	3	3
35	для него	5	3
36	но в	9	3
37	и то	2	3
38	было бы	6	3
39	этой области	3	3
40	это не	2	3
41	как и	6	3
42	одним из	3	2
43	и через	2	2
44	материал для	2	2
45	а между	1	2
46	сводится к	3	2
47	для всех	2	2
48	форму и	1	2
49	в себе	4	2
50	бы и	2	2
51	и с	7	2
52	нас в	2	2
53	по себе	2	2
54	мы и	4	2
55	все они	2	2
56	но не	5	2
57	с его	8	2
58	ничего не	2	2
59	фактов и	1	2
60	по существу	1	2
61	при таком	1	2
62	и у	6	2
63	тем что	1	2
64	и для	2	2
65	превращается в	1	2
66	но конечно	1	2
67	знакомая нам	1	2
68	и роль	1	2
69	их и	1	2
70	и является	1	2
71	не все	1	2
72	т.е в	1	2
73	крайней мере	1	2
74	что она	2	2
75	это было	1	2
76	что он	8	2
77	что все	5	2
78	формы и	2	2
79	должна быть	1	2
80	в том	4	2
81	только в	6	2
82	между тем	2	2
83	таким образом	21	2
84	это уже	1	2
85	на первый	1	2
86	что и	2	2
87	по крайней	1	2
88	всех этих	5	2
89	в его	9	2
90	сих пор	3	2
91	если бы	3	2
92	как раз	2	2
93	могут быть	6	2
94	что мы	2	2
95	не в	4	2
96	художественной формы	2	2
97	его и	2	2
98	не приходится	1	2
99	в самом	6	2
100	самом деле	7	2
101	мы не	4	2
102	а как	1	2
103	этом отношении	2	2
104	но это	2	2
105	а его	1	2
106	том что	5	2
107	не могут	3	2
108	до сих	3	2
109	в некоторых	1	2
110	и историческая	1	1
111	то и	1	1
112	точно и	1	1
113	что по	1	1
114	какой именно	1	1
115	у других	1	1
116	в процессе	4	1
117	и что	3	1
118	связанные с	2	1
119	степени и	1	1
120	тому чтобы	3	1
121	в которой	1	1
122	до конца	5	1
123	в качестве	2	1
124	он не	4	1
125	что при	2	1
126	начала и	1	1
127	что основной	1	1
128	без труда	1	1
129	только одним	1	1
130	почти не	1	1
131	об этом	4	1
132	и служит	1	1
133	отсюда и	1	1
134	него уже	1	1
135	что такой	1	1
136	в современном	1	1
137	отнюдь не	2	1
138	один пример	1	1
139	не обладает	1	1
140	оно все	1	1
141	приводит к	2	1
142	все что	9	1
143	объясняется и	2	1
144	не входит	1	1
145	но нам	1	1
146	тот же	5	1
147	религии и	2	1
148	она все	1	1
149	еще одно	1	1
150	этой же	1	1
151	в различных	2	1
152	что было	1	1
153	бы в	2	1
154	находятся в	1	1
155	или по	1	1
156	в свое	1	1
157	в виду	1	1
158	этот процесс	4	1
159	в течение	2	1
160	не то	1	1
161	тем более	1	1
162	наука о	2	1
163	независимо от	1	1
164	у толстого	1	1
165	этого не	2	1
166	данном случае	3	1
167	может пройти	1	1
168	входит в	1	1
169	же как	1	1
170	по теории	1	1
171	мировоззрением и	1	1
172	при построении	1	1
173	с которыми	2	1
174	единства и	1	1
175	в период	5	1
176	он звучит	1	1
177	можно сказать	4	1
178	одно из	3	1
179	и разнообразие	1	1
180	она не	2	1
181	себя на	1	1
182	только как	1	1
183	был первым	1	1
184	психики и	1	1
185	т.е то	1	1
186	сказать что	6	1
187	относится к	1	1
188	о нем	1	1
189	мы можем	12	1
190	о том	1	1
191	знакомый нам	1	1
192	представлений и	2	1
193	не существует	3	1
194	и содержание	3	1
195	что же	4	1
196	не без	3	1
197	является одним	1	1
198	ее в	2	1
199	определяется не	1	1
200	и потому	8	1
201	правда не	1	1
202	все его	2	1
203	и быть	1	1
204	который требовал	1	1
205	равно как	1	1
206	даже не	1	1
207	для второго	1	1
208	нам известно	1	1
209	что в	6	1
210	он был	3	1
211	тогда когда	1	1
212	анализу и	1	1
213	первый взгляд	1	1
214	к которой	1	1
215	как на	3	1
216	из природы	1	1
217	находит себе	1	1
218	того что	2	1
219	которых она	1	1
220	построить нельзя	1	1
221	с одной	1	1
222	должно быть	2	1
223	той же	2	1
224	это содержание	2	1
225	в этот	4	1
226	уже не	5	1
227	к этому	7	1
228	не делает	1	1
229	так и	10	1
230	в таком	3	1
231	быть не	1	1
232	художественное творчество	2	1
233	последние годы	1	1
234	мы имеем	1	1
235	задача при	1	1
236	связанных с	4	1
237	является только	1	1
238	о которой	2	1
239	человека и	6	1
240	по мнению	6	1
241	искусства в	1	1
242	уже знакомый	1	1
243	впечатление которое	1	1
244	но если	2	1
245	об ее	1	1
246	нет и	1	1
247	друг другу	1	1
248	и все	4	1
249	же остается	1	1
250	в г	3	1
251	и это	1	1
252	не было	4	1
253	и др	8	1
254	на то	1	1
255	сам по	2	1
256	одной стороны	1	1
257	со своими	1	1
258	никогда не	7	1
259	он в	1	1
260	что никакого	1	1
261	и даже	2	1
262	творчества то	1	1
263	в котором	1	1
264	с момента	1	1
265	и необходимо	1	1
266	несомненно что	1	1
267	мы полагаем	1	1
268	и истории	2	1
269	мировоззрения и	1	1
270	науки является	1	1
271	у него	3	1
272	об искусстве	1	1
273	что с	1	1
274	полагаем что	1	1
275	это для	1	1
276	этом случае	1	1
277	за пределы	2	1
278	в нем	4	1
279	затем он	1	1
280	и так	1	1
281	своей совокупности	1	1
282	и эта	1	1
283	что этот	1	1
284	в ней	5	1
285	все в	1	1
286	пройти мимо	1	1
287	нельзя она	1	1
288	и прежде	5	1
289	и выполняется	1	1
290	но именно	1	1
291	далеко не	4	1
292	то есть	1	1
293	теории и	1	1
294	место и	1	1
295	отказ от	1	1
296	он и	2	1
297	в пользу	1	1
298	их в	2	1
299	органического единства	1	1
300	философские социальные	1	1
301	к следующему	1	1
302	познакомиться с	2	1
303	в своем	2	1
304	в данном	3	1
305	объекта в	1	1
306	слагается из	1	1
307	оно конечно	1	1
