N	3gram	Bakhtin_fo_1	Literetu
1	то же время	9	9
2	в то же	6	9
3	не может быть	3	7
4	с одной стороны	2	6
5	в том что	2	5
6	с точки зрения	2	3
7	в этом отношении	3	3
8	в данном случае	1	3
9	по отношению к	3	3
10	о том что	1	2
11	в этом случае	1	2
12	и т п	8	2
13	одно и то	3	2
14	в первый раз	1	2
15	и то же	3	2
16	в том числе	4	2
17	и в сущности	2	1
18	том что в	1	1
19	не могло не	1	1
20	как и для	2	1
21	же время он	1	1
22	как раз не	1	1
23	в соответствии с	2	1
24	одной стороны и	2	1
25	вместе с тем	2	1
26	в этот день	1	1
27	в отличие от	2	1
28	в себе и	1	1
29	не могут быть	1	1
30	на себе и	1	1
31	том числе и	2	1
32	ни к какой	1	1
33	у него нет	1	1
34	жизни и в	2	1
35	и в то	5	1
36	в историческом времени	1	1
37	в самом начале	1	1
38	в данный момент	1	1
39	в себя и	1	1
40	во всех этих	1	1
41	в нашем случае	1	1
42	только и не	1	1
43	прежде всего в	1	1
44	по существу он	1	1
45	все то что	2	1
46	того что было	1	1
47	не меняет в	1	1
48	не только и	1	1
49	из того же	1	1
50	имел в виду	1	1
51	и не столько	1	1
52	в свою очередь	1	1
53	то есть в	1	1
54	свое существование в	1	1
55	никогда не бывает	1	1
56	и пространства и	1	1
57	и прежде всего	2	1
58	той или иной	2	1
59	ничего не меняет	1	1
60	вовсе не является	1	1
61	для того чтобы	5	1
62	в себе не	1	1
