N	2gram	Losev_Vesc_1	Problemy
1	и в	21	43
2	и не	29	29
3	т е	55	26
4	может быть	16	23
5	как бы	12	22
6	не может	17	18
7	в пределах	1	16
8	как и	8	14
9	но и	18	14
10	в этом	4	13
11	точки зрения	5	13
12	и т	19	13
13	что он	1	13
14	в нем	2	12
15	в одном	2	12
16	слова в	2	12
17	слова и	5	12
18	не в	5	11
19	по себе	13	11
20	не только	36	11
21	прежде всего	9	10
22	как мы	4	10
23	в его	2	10
24	но в	5	10
25	еще не	8	9
26	слово и	4	9
27	в сущности	4	9
28	никогда не	2	9
29	или в	2	8
30	с самим	4	8
31	для него	4	8
32	то же	6	8
33	с точки	3	8
34	и его	2	8
35	слово в	2	8
36	в другом	2	7
37	в него	1	7
38	сих пор	1	7
39	до сих	1	7
40	а не	19	7
41	что же	8	7
42	в самом	9	7
43	то что	27	7
44	в то	3	7
45	ведь и	5	7
46	к себе	4	7
47	перед нами	2	7
48	и наконец	1	6
49	при этом	1	6
50	и все	5	6
51	приводит к	1	6
52	что я	24	6
53	в том	8	6
54	в этих	1	6
55	в котором	3	6
56	у него	2	6
57	о нем	1	6
58	к одному	3	6
59	все эти	3	5
60	в себе	14	5
61	и с	8	5
62	бы в	5	5
63	сам по	3	5
64	у меня	3	5
65	вовсе не	10	5
66	таким образом	8	5
67	на то	4	5
68	к нему	1	5
69	так что	5	5
70	и он	1	5
71	а в	4	5
72	но не	5	5
73	самим собою	2	5
74	в той	3	5
75	да и	3	5
76	в слове	2	5
77	хотя и	4	5
78	но ведь	2	5
79	к другому	1	5
80	и что	15	5
81	о том	6	5
82	все это	5	5
83	самом деле	4	5
84	а что	1	5
85	было бы	14	5
86	никак не	3	5
87	но он	2	4
88	т д	19	4
89	так чтобы	2	4
90	как раз	9	4
91	мы не	6	4
92	друг с	1	4
93	в своей	5	4
94	не на	1	4
95	с другом	1	4
96	между ними	3	4
97	словом в	1	4
98	же не	1	4
99	что в	9	4
100	совершенно не	5	4
101	к тому	3	4
102	сама по	3	4
103	может стать	1	4
104	отличие от	1	4
105	во всех	2	4
106	в результате	3	4
107	должно быть	6	4
108	же и	1	4
109	только в	14	4
110	между собою	6	4
111	себе и	1	4
112	при чем	1	4
113	я ведь	1	4
114	в отличие	1	4
115	с собой	2	4
116	почему же	1	4
117	далеко не	1	4
118	их в	3	4
119	с его	1	4
120	я не	4	4
121	с другой	6	4
122	и нет	1	4
123	на этот	1	4
124	или как	2	4
125	в самой	2	4
126	и это	14	4
127	но это	10	4
128	так как	7	4
129	этот вопрос	1	4
130	человека в	1	4
131	типов и	1	4
132	я для	1	4
133	в своем	6	4
134	образом и	1	3
135	и здесь	4	3
136	все же	4	3
137	в одно	1	3
138	и для	9	3
139	мы уже	3	3
140	и ее	18	3
141	так и	3	3
142	и их	7	3
143	и следовательно	7	3
144	должна быть	4	3
145	не менее	3	3
146	есть в	1	3
