N	3gram	Savitsky_E_1	Myshleni
1	с точки зрения	16	21
2	для того чтобы	5	18
3	в том что	6	13
4	по сравнению с	2	7
5	так же как	5	7
6	к тому что	1	6
7	в данном случае	2	5
8	с одной стороны	8	5
9	этой точки зрения	5	4
10	с этой точки	5	4
11	не может быть	2	4
12	заключается в том	2	4
13	и тем самым	1	4
14	на то что	2	4
15	одной стороны и	6	3
16	в этом отношении	3	3
17	то и другое	1	3
18	мы не можем	1	3
19	смысле этого слова	1	3
20	можно сказать что	3	3
21	как мы видели	2	3
22	прежде всего в	2	2
23	в известном смысле	3	2
24	в лучшем случае	1	2
25	представление о том	1	2
26	в отличие от	1	2
27	из того что	2	2
28	в большинстве случаев	2	2
29	в этот период	1	2
30	что в этом	1	2
31	то время как	1	2
32	же как и	3	2
33	в то время	1	2
34	представить себе в	1	2
35	о которых мы	1	2
36	мы стремились показать	1	2
37	в последнее время	1	2
38	в свою очередь	2	2
39	в себе ничего	1	2
40	друг от друга	2	2
41	друг с другом	3	2
42	приводит нас к	2	2
43	в себе в	1	2
44	стремились показать в	1	1
45	несмотря на то	1	1
46	и связанное с	1	1
47	есть звук пустой	1	1
48	в силу этого	1	1
49	сказать что в	2	1
50	очевидно что в	2	1
51	мог бы дать	1	1
52	имеет место в	2	1
53	в огромной степени	1	1
54	в том числе	1	1
55	также и в	1	1
56	в соответствии с	1	1
57	в этом смысле	3	1
58	в том же	1	1
59	то что с	1	1
60	как мы стремились	1	1
61	только в том	2	1
62	не к тому	1	1
63	того что мы	1	1
64	противоположных направлениях на	1	1
65	мы не станем	1	1
66	том числе и	1	1
67	в гораздо большей	1	1
68	заключает в себе	3	1
69	можно было бы	3	1
70	кроме того что	1	1
71	эту мысль можно	1	1
72	качестве одного из	1	1
73	связанное с ним	1	1
74	этот новый принцип	1	1
75	есть то что	1	1
76	и в этих	1	1
77	к двум основным	1	1
78	так как хотя	1	1
79	последнее время в	1	1
80	дело идет о	2	1
81	не только в	4	1
82	если сопоставить эти	1	1
83	в качестве одного	1	1
84	на вопрос можно	1	1
85	и в этом	4	1
86	во всех этих	1	1
87	в одной из	1	1
88	с другой стороны	2	1
89	когда дело идет	1	1
90	не могут быть	1	1
91	само по себе	4	1
92	вопрос можно ли	1	1
93	во всяком случае	3	1
94	вместо того чтобы	1	1
95	ничего иного кроме	1	1
96	в силе то	1	1
97	дает нам новое	1	1
98	друг к другу	1	1
99	есть такая же	1	1
100	и то и	1	1
101	так и в	2	1
102	как одной из	1	1
103	как это мы	1	1
104	но и для	1	1
105	это значит что	1	1
106	той или иной	4	1
107	и ту же	1	1
108	для себя с	1	1
109	по нашему мнению	2	1
110	но также и	1	1
111	в то же	15	1
112	во всем его	1	1
113	одну и ту	1	1
114	тех и других	1	1
115	только тогда когда	1	1
