N	4gram	Bakhtin_Pr_1	SlovoVZh
1	дело в том что	1	4
2	бы то ни было	2	3
3	и по отношению к	1	3
4	позицию по отношению к	1	1
5	в то время как	1	1
6	на самом деле это	1	1
7	но в то же	2	1
8	от того в каком	1	1
9	и в этом смысле	1	1
10	так же как и	1	1
11	в то же время	7	1
12	по отношению к автору	1	1
13	в зависимости от того	1	1
14	бы оно ни было	1	1
15	автора по отношению к	1	1
16	то же время не	2	1
17	по отношению к герою	1	1
18	искусства и в частности	1	1
19	самом деле это не	1	1
20	но все же не	1	1
21	но несмотря на это	1	1
22	деле это не так	1	1
23	какой бы то ни	1	1
24	не может быть понято	1	1
