N	2gram	Tiupa_Disk_2	Vladivir
1	и в	16	40
2	то что	5	28
3	не только	10	25
4	и не	15	25
5	то есть	12	24
6	том что	10	18
7	в том	8	18
8	но и	11	18
9	еще и	1	18
10	также и	3	17
11	что в	5	17
12	в этом	16	16
13	в его	3	14
14	так что	1	14
15	не может	9	14
16	точки зрения	4	13
17	вовсе не	1	13
18	только в	3	13
19	сказать что	1	12
20	никогда не	2	11
21	потому что	4	11
22	таким образом	1	11
23	о том	4	11
24	в году	1	10
25	не просто	1	10
26	ни в	7	10
27	тем не	1	10
28	и его	3	10
29	не есть	1	10
30	прежде всего	7	10
31	и то	4	9
32	уже не	3	9
33	в себе	19	9
34	и с	2	9
35	в своей	6	9
36	не менее	7	9
37	что же	2	9
38	под названием	1	9
39	в своем	5	8
40	в этой	4	8
41	он не	3	8
42	не был	1	8
43	и что	1	8
44	а также	8	8
45	для него	5	8
46	может быть	16	8
47	а не	14	8
48	хотя и	1	7
49	и как	3	7
50	как и	16	7
51	несмотря на	1	7
52	в то	5	7
53	там же	2	7
54	что и	2	7
55	того что	1	7
56	вместе с	2	7
57	к тому	1	7
58	а в	2	7
59	в своих	6	7
60	и на	5	6
61	то в	1	6
62	с точки	2	6
63	во всем	1	6
64	и это	2	6
65	и от	1	6
66	так и	9	6
67	об этом	1	6
68	и здесь	1	6
69	и даже	1	6
70	xix века	1	6
71	да и	1	6
72	но это	3	6
73	в ней	2	5
74	тут же	2	5
75	отнюдь не	6	5
76	в истории	1	5
77	все эти	3	5
78	содержит в	2	5
79	же касается	2	5
80	должно быть	2	5
81	но если	1	5
82	некоторого рода	2	5
83	дело в	2	5
84	тем что	1	5
85	ничего не	1	5
86	для себя	2	5
87	еще в	3	5
88	с другой	5	5
89	что он	2	5
90	только на	1	5
91	в одном	4	5
92	не говорит	1	5
93	не было	3	5
94	в данном	7	5
95	никакого отношения	1	5
96	в самом	1	4
97	то же	6	4
98	вопрос о	1	4
99	но даже	1	4
100	еще не	6	4
101	но не	7	4
102	все же	6	4
103	но в	11	4
104	такой же	2	4
105	в котором	3	4
106	даже в	1	4
107	не с	2	4
108	она была	1	4
109	никак не	1	4
110	здесь в	3	4
111	а с	5	4
112	до конца	1	4
113	и все	3	4
114	как это	1	4
115	такого рода	9	4
116	указать на	2	4
117	в результате	2	4
118	же как	2	3
119	мы имеем	2	3
120	я не	1	3
121	здесь не	2	3
122	бы то	1	3
123	в чем	1	3
124	отличие от	12	3
125	за пределы	1	3
126	перед нами	3	3
127	из этих	3	3
128	с их	2	3
129	в нем	7	3
130	при этом	17	3
131	является не	2	3
132	но все	1	3
133	то ни	1	3
134	в качестве	16	3
135	это не	3	3
136	далеко не	2	3
137	этого не	1	3
138	не столько	3	3
139	в отличие	12	3
140	не в	3	3
141	что этот	1	3
142	сводится к	2	3
143	все то	1	3
144	отличается от	1	3
145	оно не	1	3
146	году в	1	3
147	как нечто	1	3
148	и весьма	1	3
149	с одной	4	3
150	и называет	1	3
151	всяком случае	1	3
152	и только	1	3
153	именно в	2	3
154	подобного рода	1	3
155	одной стороны	4	3
156	как бы	4	3
157	но для	1	3
158	и для	2	3
159	или не	1	3
160	же в	1	3
161	только о	1	3
162	ее в	1	3
163	как на	3	3
164	во всяком	1	3
165	в этот	1	2
166	по преимуществу	2	2
167	не имеют	1	2
168	должна быть	2	2
169	с таким	2	2
170	есть не	1	2
171	и само	1	2
172	мы не	1	2
173	в сущности	1	2
174	не вполне	1	2
175	это время	1	2
176	не нужно	2	2
177	он был	1	2
178	он сам	1	2
179	истории в	1	2
