N	2gram	Tiupa_Hudo_1	Russkaja
1	не может	7	22
2	и не	15	19
3	в том	18	17
4	в этом	11	17
5	и в	19	14
6	то что	4	13
7	самим собой	4	12
8	то же	10	11
9	точки зрения	10	11
10	таким образом	3	11
11	в то	6	10
12	же время	5	10
13	но и	10	10
14	в себе	9	9
15	не только	16	9
16	том что	8	9
17	с точки	3	9
18	может быть	14	9
19	того чтобы	2	8
20	прежде всего	4	8
21	отнюдь не	2	7
22	в данном	4	7
23	к тому	4	7
24	не будет	2	7
25	о том	2	7
26	ни к	2	7
27	если в	1	6
28	в своем	2	6
29	и к	3	6
30	в своих	1	6
31	если бы	3	6
32	все это	2	6
33	и для	2	6
34	для того	2	6
35	что он	3	6
36	для него	4	6
37	и на	2	5
38	между собой	2	5
39	во всех	3	5
40	на то	1	5
41	в нем	5	5
42	при этом	13	5
43	он не	4	5
44	он должен	3	5
45	было бы	1	5
46	в своей	5	5
47	никогда не	2	5
48	потому что	3	5
49	между тем	4	5
50	только в	5	5
51	или иной	7	5
52	себя и	2	5
53	из которых	1	5
54	а в	12	5
55	жизни в	2	5
56	и то	4	4
57	бы то	1	4
58	но не	11	4
59	себя в	7	4
60	более или	5	4
61	не в	7	4
62	в этой	2	4
63	на земле	1	4
64	то ни	1	4
65	том случае	1	4
66	его в	2	4
67	как и	2	4
68	или менее	5	4
69	в их	5	4
70	не могут	1	4
71	приводит к	5	4
72	в мире	21	4
73	и т.д	3	4
74	путь к	1	4
75	в его	9	4
76	так как	1	4
77	со стороны	2	4
78	вместе с	1	4
79	как бы	9	4
80	к вопросу	1	4
81	жизни и	1	4
82	что в	6	4
83	все что	1	4
84	то в	2	3
85	говорить о	3	3
86	еще не	3	3
87	из этих	3	3
88	что они	1	3
89	в самом	5	3
90	что это	1	3
91	и по	2	3
92	в другом	3	3
93	лишь в	4	3
94	должно быть	1	3
95	но если	1	3
96	одна из	2	3
97	связи с	1	3
98	той или	4	3
99	что все	1	3
100	что может	2	3
101	для этого	1	3
102	сводится к	7	3
103	может не	1	3
104	при котором	1	3
105	но мы	1	3
106	в значительной	1	3
107	вопросу о	1	3
108	что и	2	3
109	того что	4	3
110	одной из	2	3
111	в качестве	24	3
112	с нею	1	3
113	из них	1	3
114	в конце	1	3
115	тем что	1	3
116	именно в	2	3
117	только к	1	3
118	что для	1	3
119	не было	1	3
120	и потому	2	3
121	культуры в	2	3
122	этом случае	1	3
123	при условии	2	3
124	или в	2	3
125	о котором	1	3
126	и как	3	3
127	все они	1	3
128	не есть	1	3
129	из этого	2	3
130	случае если	1	3
131	говоря о	3	2
132	бы для	1	2
133	и есть	1	2
134	от своей	1	2
135	к чему	1	2
136	но она	2	2
137	в таком	1	2
138	время в	1	2
139	по отношению	9	2
140	тогда как	13	2
141	друг от	1	2
142	сама по	2	2
143	но в	7	2
144	все эти	2	2
145	во многих	1	2
146	и те	1	2
147	состоит в	16	2
148	чтобы в	1	2
149	того или	3	2
150	на почве	3	2
151	по себе	2	2
152	и тем	2	2
153	в единое	3	2
