N	2gram	Bakhtin_Pr_1	Stilisti
1	и в	29	42
2	не только	15	27
3	как бы	19	27
4	прежде всего	7	22
5	хотя бы	2	17
6	но и	14	15
7	то же	14	15
8	и не	31	14
9	не может	12	12
10	может быть	24	12
11	как и	12	11
12	мы уже	2	11
13	точки зрения	19	11
14	и как	7	10
15	как мы	4	10
16	в этом	22	10
17	мы должны	3	10
18	что мы	1	10
19	при этом	2	9
20	мы не	1	9
21	то что	15	9
22	в то	10	9
23	для того	1	9
24	в себе	7	8
25	все же	9	8
26	таким образом	12	8
27	что же	4	8
28	слово как	1	8
29	в ней	2	8
30	и это	5	8
31	в которой	2	7
32	же время	9	7
33	того чтобы	1	7
34	потому что	8	7
35	а не	22	7
36	и от	2	7
37	и его	14	7
38	зависимости от	5	7
39	ничего не	5	7
40	никогда не	3	7
41	только в	10	7
42	в зависимости	5	7
43	и на	7	7
44	с его	9	7
45	было бы	5	7
46	так как	6	7
47	на его	2	6
48	в форме	7	6
49	другими словами	1	6
50	так и	7	6
51	или как	5	6
52	в нем	19	6
53	и так	1	6
54	не в	7	6
55	в конце	6	6
56	во всех	1	6
57	точку зрения	6	6
58	в этой	4	6
59	точкой зрения	1	6
60	в процессе	4	6
61	в области	1	6
62	в свою	1	6
63	точек зрения	3	5
64	же мы	1	5
65	и с	4	5
66	и наконец	4	5
67	одно и	1	5
68	и их	1	5
69	в сознании	2	5
70	с помощью	1	5
71	того или	1	5
72	те же	2	5
73	в нашем	1	5
74	независимо от	1	5
75	в той	2	5
76	мы видели	1	5
77	слова и	1	5
78	той же	5	5
79	в живом	1	5
80	в его	24	5
81	тому что	3	5
82	а в	7	5
83	с точки	13	5
84	у которого	1	5
85	или иного	1	5
86	уже в	3	5
87	и следовательно	4	5
88	же самое	1	5
89	бы в	3	4
90	можно сказать	1	4
91	так же	6	4
92	что это	1	4
93	художественного творчества	3	4
94	так сказать	4	4
95	его в	6	4
96	были бы	4	4
97	на другого	1	4
98	того что	1	4
99	к своему	1	4
100	но все	5	4
101	и к	2	4
102	все время	2	4
103	в качестве	1	4
104	у нас	1	4
105	к тому	1	4
106	свою очередь	1	4
107	мы увидим	1	4
108	один из	2	4
109	а с	1	4
110	в каждом	8	4
111	уже не	13	4
112	не существует	1	4
113	что именно	1	4
114	в самом	10	4
115	с самого	1	4
116	мы видим	2	4
117	но в	7	4
118	на него	3	4
119	о том	1	4
120	все это	6	4
121	всего в	1	4
122	себя в	1	4
123	самом деле	6	4
124	и пр	3	4
125	тем же	1	4
126	точка зрения	12	4
127	если мы	1	4
128	если б	2	4
129	можно было	2	4
130	если бы	9	4
131	самого начала	2	4
132	и здесь	3	3
133	не знает	3	3
134	ведь в	1	3
135	еще не	5	3
136	и вот	1	3
137	не становится	5	3
138	конце концов	5	3
139	жизни и	2	3
140	как таковой	2	3
141	слова но	2	3
142	и для	4	3
143	о своем	3	3
144	связи с	2	3
145	но при	1	3
146	как предмет	4	3
147	и все	1	3
148	то он	2	3
149	и социального	1	3
150	что у	1	3
151	социальной группы	1	3
152	его и	2	3
153	в тех	1	3
154	от того	4	3
155	лишь в	1	3
156	та же	1	3
157	вследствие этого	2	3
158	об этом	1	3
159	если не	1	3
160	между ними	2	3
161	слово и	1	3
162	что было	4	3
163	в виду	1	3
164	в начале	1	3
165	в ее	1	3
166	здесь мы	2	3
167	отношения к	3	3
168	не так	1	3
169	на самом	5	3
170	нет и	1	3
171	это не	9	3
172	и даже	2	3
173	тех или	1	3
174	этом случае	1	3
175	сознания не	4	3
176	во второй	1	3
177	внешнее выражение	1	3
178	высказывания и	1	3
179	и слово	3	3
180	в целом	6	3
181	выражение в	6	3
182	что оно	2	3
183	словом и	1	3
184	сказать что	3	3
185	хотя и	1	3
186	из них	1	3
187	в котором	2	3
188	не будет	1	3
189	этого слова	1	3
190	слова о	1	3
191	социальной жизни	2	3
192	в одном	10	3
193	и само	1	3
194	что и	4	3
195	роль в	1	3
196	их в	4	3
197	зрения как	1	3
198	но что	1	3
199	может показаться	1	3
200	связь и	1	3
201	ответ на	1	3
202	и уже	2	3
203	может стать	1	3
204	конечно не	2	3
205	перед нами	5	3
206	ни на	1	3
207	и эта	1	3
208	что всякое	1	3
209	том что	7	3
210	все эти	9	2
211	войти в	2	2
212	как обычно	1	2
213	или иных	1	2
214	но не	9	2
215	да еще	1	2
216	вопрос о	2	2
217	место в	1	2
218	как например	2	2
219	перейти к	1	2
220	может получить	1	2
221	что вся	1	2
222	себе в	1	2
223	это слово	1	2
224	здесь не	1	2
225	для них	1	2
226	как одно	1	2
227	как с	1	2
228	не было	4	2
229	друг другу	2	2
230	перейти в	1	2
231	зависит от	1	2
232	в нас	1	2
233	и больше	1	2
234	в жизни	2	2
235	с ней	1	2
236	к нему	6	2
237	сих пор	2	2
238	в какой	1	2
239	к которому	1	2
240	художественное творчество	1	2
241	с ним	5	2
242	быть понято	1	2
243	при условии	1	2
244	в своей	8	2
245	а на	1	2
246	тот же	2	2
247	бы и	4	2
248	и он	1	2
249	находит свое	2	2
250	или даже	2	2
251	одной из	1	2
252	создал бы	1	2
253	все то	4	2
254	первый взгляд	1	2
255	зрения на	7	2
256	литературное произведение	1	2
257	отношение к	2	2
258	для него	18	2
259	как не	8	2
260	должны были	1	2
261	в том	8	2
262	этом отношении	3	2
263	у них	1	2
264	действительности он	1	2
265	оценок и	1	2
266	голоса и	1	2
267	из которых	2	2
268	и сам	2	2
269	в кругозор	6	2
270	как в	6	2
271	со всех	1	2
272	бытия в	3	2
273	еще мало	1	2
274	иной смысл	1	2
275	каждом слове	1	2
276	в отношении	2	2
277	с этим	2	2
278	и потому	6	2
