N	2gram	Kanaev_Sov_1	Freidism
1	таким образом	11	24
2	и не	6	23
3	не может	17	20
4	точки зрения	12	19
5	прежде всего	5	18
6	в этом	7	15
7	в его	2	15
8	и пр	2	15
9	с помощью	4	14
10	мы можем	6	13
11	может быть	12	13
12	и его	1	12
13	все эти	5	11
14	как и	6	11
15	с точки	5	11
16	как бы	4	11
17	самом деле	2	10
18	но в	3	10
19	его в	1	10
20	с ним	1	10
21	как мы	2	10
22	и потому	3	10
23	с его	1	9
24	во всех	1	9
25	по отношению	1	9
26	и в	7	9
27	то же	3	8
28	не только	4	8
29	он не	1	8
30	еще не	3	8
31	только в	1	8
32	так как	4	8
33	все это	3	8
34	и все	3	8
35	отношению к	1	8
36	все что	1	8
37	в самом	2	7
38	мы уже	1	7
39	и наконец	5	7
40	ни в	1	7
41	мы видели	4	7
42	те же	1	7
43	к нему	1	7
44	один из	1	7
45	тот же	2	7
46	мы знаем	2	7
47	всяком случае	2	7
48	что же	5	7
49	сказать что	1	7
50	во всяком	2	7
51	в ней	1	6
52	все те	2	6
53	так сказать	2	6
54	точку зрения	4	6
55	вовсе не	1	6
56	никогда не	1	6
57	совершенно не	2	6
58	на самом	1	5
59	он сам	1	5
60	и к	3	5
61	в этой	3	5
62	что такое	2	5
63	знаем что	2	5
64	не в	3	5
65	мы должны	4	5
66	в то	1	5
67	могут быть	2	5
68	но мы	3	5
69	по мнению	2	5
70	в большинстве	1	5
71	и прежде	1	5
72	а в	4	5
73	с этим	2	5
74	в свою	2	5
75	что в	2	5
76	в зависимости	4	4
77	той же	2	4
78	мы не	9	4
79	в которой	2	4
80	говорить о	2	4
81	зависимости от	4	4
82	совсем не	1	4
83	но не	1	4
84	все же	3	4
85	не было	1	4
86	из этих	2	4
87	в нем	3	4
88	на этом	2	4
89	то ни	2	4
90	при этом	3	4
91	не менее	2	4
92	же время	1	4
93	и для	1	4
94	если мы	4	4
95	данном случае	1	4
96	с самого	3	4
97	это только	1	4
98	внутреннего опыта	1	4
99	конечно не	1	4
