N	3gram	Kanaev_Sov_1	Dialekti
1	это значит что	1	21
2	с точки зрения	5	14
3	тем не менее	2	10
4	что иное как	1	6
5	не может быть	4	6
6	не что иное	1	6
7	в самом деле	1	5
8	по крайней мере	1	5
9	сами по себе	1	3
10	с одной стороны	1	3
11	в том что	1	3
12	есть не что	1	3
13	и прежде всего	1	3
14	ровно ничего не	1	3
15	тот или иной	1	2
16	но они не	1	2
17	в зависимости от	4	2
18	так же как	1	2
19	и в этом	1	2
20	не могут быть	1	2
21	во всяком случае	2	2
22	мы не можем	6	2
23	той или иной	1	2
24	и что она	1	2
25	такой же мере	1	1
26	и есть то	1	1
27	и той же	1	1
28	на самом деле	1	1
29	то же самое	2	1
30	одной стороны и	1	1
31	у нас есть	1	1
32	до сих пор	1	1
33	и не может	1	1
34	и в то	1	1
35	друг на друга	1	1
36	и та же	1	1
37	и по его	1	1
38	может находиться в	1	1
39	и во всех	1	1
40	значит что она	1	1
41	в науке и	1	1
42	может быть только	1	1
43	живое от неживого	1	1
44	в данном случае	1	1
45	тот факт что	1	1
46	но только не	1	1
47	в такой же	1	1
48	не в том	1	1
49	одна и та	1	1
50	когда мы говорим	1	1
51	и ни в	1	1
52	то же время	1	1
53	только одна из	1	1
54	ли оно вообще	1	1
55	что в ней	1	1
56	в конечном счете	1	1
57	но все эти	1	1
58	бы то ни	1	1
59	ничто не может	1	1
60	то ни было	1	1
61	в то же	1	1
62	в связи с	1	1
63	со всеми ее	1	1
64	из этих двух	1	1
65	одной и той	1	1
66	не более как	1	1
