1	в том что	6	11
2	не может быть	1	5
3	в этом смысле	2	4
4	с точки зрения	2	4
5	по крайней мере	3	4
6	в этом отношении	3	4
7	с другой стороны	2	4
8	о том что	6	4
9	не только в	2	3
10	в связи с	1	3
11	состоит в том	4	3
12	в то же	2	3
13	прежде всего в	1	3
14	то же время	2	3
15	на то что	2	3
16	нельзя сказать что	1	2
17	но и в	1	2
18	к тому что	1	2
19	в том смысле	1	2
20	во всех этих	1	2
21	с одной стороны	4	2
22	это слово в	1	2
23	тем не менее	3	2
24	и в этом	4	2
25	это не так	1	2
26	должна была бы	1	2
27	между тем как	1	2
28	заключается в том	1	2
29	ко всему этому	1	1
30	в самом начале	3	1
31	в каждом отдельном	1	1
32	не менее в	1	1
33	в поле зрения	2	1
34	ответ на вопрос	1	1
35	в применении к	1	1
36	тому как мы	1	1
37	в наибольшей степени	1	1
38	от которого он	1	1
39	речь идет о	1	1
40	свой ответ на	1	1
41	и если бы	1	1
42	одной из своих	1	1
43	можно было бы	2	1
44	уже не к	1	1
45	более или менее	1	1
46	приводит к тому	1	1
47	с этой точки	1	1
48	одних и тех	1	1
49	и тем что	1	1
50	то же самое	1	1
51	а как бы	1	1
52	в центре этой	1	1
53	том смысле что	1	1
54	и тех же	1	1
55	так или иначе	1	1
56	а то что	1	1
57	в известном смысле	1	1
58	той или иной	3	1
59	второго и третьего	1	1
60	него ничего не	1	1
61	в свое время	1	1
62	этой точки зрения	1	1
63	в самом деле	1	1
64	в свою очередь	1	1
65	можно сказать что	1	1
66	обращает на себя	3	1
67	и в самом	2	1
68	дело не в	1	1
69	между прочим и	1	1
70	обращены уже не	1	1
71	на себя внимание	3	1
72	каждом отдельном случае	1	1
73	характеризуется тем что	1	1
74	не только не	2	1
