N	2gram	Tiupa_Anal_2	formyVre
1	и в	16	50
2	то есть	9	33
3	в романе	1	32
4	в этом	18	25
5	в нем	1	24
6	частной жизни	1	23
7	человека в	1	17
8	и его	4	16
9	в литературе	1	16
10	прежде всего	3	15
11	как мы	3	14
12	и не	12	14
13	в его	2	13
14	вовсе не	2	13
15	как раз	4	13
16	по существу	2	12
17	так и	15	12
18	то же	4	11
19	мы уже	1	11
20	таким образом	2	11
21	может быть	6	11
22	и как	1	10
23	но в	6	10
24	времени и	1	10
25	с его	1	9
26	все эти	1	9
27	роль в	2	9
28	не только	16	9
29	в то	2	9
30	ничего не	9	9
31	же время	2	9
32	в том	12	9
33	в конце	4	9
34	и т	1	8
35	того же	4	8
36	и на	6	8
37	в самом	6	8
38	ни в	1	8
39	но и	12	8
40	и их	2	8
41	как и	14	8
42	так сказать	1	7
43	характер и	1	7
44	для себя	1	7
45	времени в	4	7
46	и во	2	7
47	героя и	1	7
48	между двумя	4	6
49	во всех	4	6
50	как в	4	6
51	не оставляет	1	6
52	лишь в	9	6
53	это не	1	6
54	в их	3	6
55	так как	1	6
56	с ее	2	6
57	в ее	1	6
58	связи с	1	6
59	в жизни	1	6
60	у него	4	6
61	то что	7	6
62	в частности	16	6
63	не может	4	6
64	так же	2	6
65	в результате	3	6
66	и все	3	6
67	отношению к	4	5
68	и до	2	5
69	еще не	2	5
70	но не	4	5
71	и речи	1	5
72	отнюдь не	8	5
73	не в	4	5
74	он не	2	5
75	всех этих	1	5
76	значение в	1	5
77	с самим	3	5
78	жизни но	2	5
79	точки зрения	4	5
80	в разных	1	5
81	только и	1	5
82	могут быть	10	5
83	в пределах	9	5
84	в образе	1	5
85	если бы	3	5
86	романа в	3	5
87	в связи	1	5
88	в основном	1	5
89	что в	2	5
90	и то	3	4
91	этого мира	1	4
92	конечно и	1	4
93	в своем	4	4
94	раз в	1	4
95	но на	1	4
96	время и	1	4
97	в них	1	4
98	том что	12	4
99	в котором	2	4
100	не имеет	2	4
101	потому что	1	4
102	как человек	1	4
103	чужого мира	1	4
104	жизнь и	1	4
105	только в	4	4
106	между этими	1	4
107	и т.п	8	4
108	на этой	2	4
109	в присутствии	1	4
110	все это	4	4
111	и для	2	4
112	судьбы и	1	4
113	отношения к	2	3
114	по преимуществу	4	3
115	а как	2	3
116	есть не	1	3
117	в сущности	4	3
118	событий и	1	3
119	в виду	1	3
120	романа то	1	3
