N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	56
2	то есть	8	24
3	в романе	6	21
4	в его	4	18
5	таким образом	4	17
6	все эти	1	15
7	в этом	21	14
8	в том	10	13
9	так и	8	13
10	в то	4	12
11	и его	5	12
12	то же	5	11
13	в них	2	11
14	в этих	3	11
15	и т.п	9	11
16	до конца	3	11
17	как бы	4	11
18	и до	1	10
19	еще не	7	10
20	же время	3	10
21	в самом	2	9
22	и не	12	9
23	только в	6	9
24	но и	19	9
25	в сущности	1	8
26	во всех	2	8
27	не только	20	8
28	в нем	5	8
29	и с	2	8
30	и их	1	8
31	и даже	1	8
32	и др	1	8
33	по своему	2	8
34	все это	1	8
35	том что	7	8
36	и на	3	7
37	как мы	3	7
38	у него	1	7
39	в частности	13	7
40	той же	1	6
41	в ее	1	6
42	в этой	1	6
43	мертвых душ	4	6
44	но в	6	6
45	на его	1	6
46	точки зрения	1	6
47	вовсе не	1	6
48	мы видим	1	6
49	связи с	1	6
50	прежде всего	7	6
51	границы между	2	6
52	в той	4	6
53	все они	2	6
54	и все	4	6
55	потому что	5	6
56	одним из	5	5
57	у гоголя	1	5
58	с ее	1	5
59	но не	5	5
60	в пределах	2	5
61	он не	3	5
62	так сказать	2	5
63	роль в	1	5
64	мы видели	2	5
65	во время	1	5
66	в отношении	1	5
67	своего рода	10	5
68	в процессе	1	5
69	никогда не	4	5
70	в области	3	5
71	один из	3	5
72	не было	2	5
73	как и	11	5
74	в результате	3	5
75	что в	3	5
76	они не	1	5
77	например в	2	4
78	и потому	1	4
79	в ней	4	4
80	и к	2	4
81	что это	1	4
82	в себе	5	4
83	при этом	26	4
84	их в	2	4
85	что все	1	4
86	начала и	2	4
87	и ее	1	4
88	и более	3	4
89	даже в	1	4
90	одна из	4	4
91	того чтобы	1	4
92	по своей	3	4
93	во всем	1	4
94	в духе	1	4
95	наконец в	1	4
96	собственных имен	1	4
97	в совершенно	1	4
98	времени и	7	4
99	о том	5	4
100	с одной	5	4
101	в качестве	8	4
102	в особенности	1	4
103	в основе	3	4
104	в своих	2	4
105	в их	1	3
106	в едином	3	3
107	связи и	1	3
108	в своем	5	3
109	перед нами	6	3
110	и наконец	2	3
111	сливаются в	2	3
112	в свет	1	3
113	всех этих	1	3
114	слова и	1	3
115	мировой истории	1	3
116	не мог	1	3
117	не в	6	3
118	но он	1	3
119	новое и	1	3
120	национального языка	2	3
121	в форме	1	3
122	здесь мы	1	3
123	и о	1	3
124	характер и	1	3
125	и т.д	5	3
126	настоящее время	1	3
127	а также	8	3
128	времени в	3	3
129	между тем	1	3
130	существенную роль	1	3
131	в литературе	2	3
132	большей или	1	3
133	так что	1	3
134	уже не	5	3
135	что и	2	3
136	может быть	18	3
137	к которому	2	3
138	или меньшей	1	3
139	еще и	1	3
140	что для	1	3
141	не на	1	3
142	сказать что	1	3
143	с помощью	1	3
144	связь с	1	3
145	к его	3	3
146	на эту	1	3
147	в первой	1	3
148	в связи	1	3
149	не подлежит	1	3
150	в настоящее	1	3
151	в те	1	3
152	бы в	3	3
153	то что	6	3
154	том числе	1	3
155	также и	4	2
156	самом деле	3	2
157	на самом	4	2
158	персонажей в	1	2
159	из всех	1	2
