N	2gram	Losev_Vlad_1	VelikijI
1	во имя	1	32
2	и не	17	20
3	и в	31	16
4	так как	8	9
5	то что	18	9
6	еще не	2	8
7	к богу	1	8
8	в истории	4	8
9	от бога	1	8
10	что они	3	7
11	а не	1	7
12	и потому	6	7
13	к людям	1	6
14	не есть	1	6
15	на себя	3	5
16	но и	19	5
17	того что	2	5
18	хотя и	4	5
19	бога и	2	5
20	все это	5	5
21	и есть	1	4
22	во мне	2	4
23	в его	12	4
24	и я	2	4
25	в этом	14	4
26	что он	12	4
27	потому что	11	4
28	в нем	4	4
29	так и	6	4
30	что все	2	4
31	что не	1	4
32	как и	4	4
33	что мы	2	4
34	в котором	6	4
35	в ней	1	4
36	великих и	1	4
37	и все	4	4
38	все что	2	4
39	и что	6	3
40	за то	1	3
41	хотя бы	2	3
42	лишь в	2	3
43	в чем	2	3
44	с его	11	3
45	во всех	1	3
46	что и	5	3
47	в том	11	3
48	тот же	3	3
49	но в	12	3
50	по этому	2	3
51	все эти	3	3
52	в социализме	2	3
53	и вечной	1	3
54	в конце	9	3
55	их в	1	3
56	в своей	4	3
57	и мы	2	3
58	в жизни	3	3
59	ни в	2	3
60	в них	2	3
61	не было	5	3
62	если не	3	3
63	в этих	1	3
64	что во	1	3
65	в первый	1	3
66	что я	2	3
67	и против	1	3
68	не в	5	3
69	любовь к	1	3
70	тому что	1	3
71	людей во	1	3
72	но это	3	3
73	никогда не	9	3
74	к счастью	1	3
75	верят в	1	3
76	личности и	1	3
77	и для	2	3
78	к тому	3	3
79	жизни и	5	3
80	что в	14	3
81	и это	2	2
82	того чтобы	2	2
83	и то	10	2
84	у людей	1	2
85	но мы	2	2
86	это мы	2	2
87	и сам	6	2
88	и т	2	2
89	и за	2	2
90	мы не	1	2
91	с ним	5	2
92	своей истории	1	2
93	и во	1	2
94	к нам	1	2
95	жизни все	1	2
96	нет и	2	2
97	которые не	1	2
98	не с	1	2
99	человека как	3	2
100	материалом для	1	2
101	государства и	1	2
102	нас за	1	2
103	на нас	1	2
104	его к	2	2
105	только в	9	2
106	о высшем	2	2
107	и любви	1	2
108	конечно не	2	2
109	уже не	3	2
110	авторитетом и	1	2
111	не только	24	2
112	вера в	2	2
113	раз навсегда	1	2
114	для него	7	2
115	не хотел	1	2
116	не к	1	2
117	дал нам	1	2
118	и никогда	2	2
119	вот почему	1	2
120	тем что	2	2
121	не будет	1	2
122	это не	1	2
123	т д	2	2
124	истории и	1	2
125	а с	5	2
126	прежде всего	1	2
127	для них	1	2
128	с тем	2	2
129	мы и	4	2
130	один из	4	2
131	вопросе о	1	2
132	выше всякого	1	2
133	и тогда	1	2
134	когда я	1	2
135	не могут	1	2
136	тем кто	2	2
137	мир и	1	2
138	самого себя	1	2
139	да и	4	2
140	одна из	1	2
141	что их	1	2
142	было еще	1	2
143	уже на	1	2
144	в бога	1	2
145	том что	14	2
146	а к	22	2
147	для нас	4	2
148	от него	2	2
149	и теперь	4	2
150	ее в	1	2
151	до того	1	2
152	это все	1	2
153	а в	9	2
154	но не	3	2
155	силы человека	1	2
156	во всяком	2	2
157	всегда в	1	1
158	как мы	9	1
159	свободно и	1	1
160	для себя	2	1
161	и до	2	1
162	роль в	1	1
163	важное место	1	1
164	он всегда	1	1
165	не имеют	1	1
166	и которую	1	1
167	мы будем	2	1
168	то же	6	1
169	таких как	1	1
170	их и	1	1
171	это он	1	1
172	этом первом	1	1
173	и которые	1	1
174	из всего	1	1
175	в результате	2	1
176	человеческой природы	1	1
177	и тут	2	1
178	что уже	1	1
179	вопрос о	1	1
180	часто бывают	1	1
181	была с	1	1
182	и вообще	4	1
183	который был	2	1
184	я не	4	1
185	ли так	1	1
186	веке в	1	1
187	не был	5	1
188	как сам	1	1
189	любви ко	1	1
190	в их	1	1
191	и на	3	1
192	он был	14	1
193	и который	2	1
194	быть этот	1	1
195	бы то	1	1
196	любви к	1	1
197	истории в	1	1
198	природы и	1	1
199	все в	1	1
200	к нему	4	1
201	тогда мы	1	1
202	но как	5	1
203	от них	1	1
204	менее всего	1	1
205	тогда как	1	1
206	что человек	1	1
207	себе и	1	1
208	бы в	1	1
209	было всего	2	1
210	не просто	1	1
211	другое и	1	1
212	них ничего	1	1
213	о необычайном	1	1
214	я тогда	1	1
215	и можно	2	1
216	человеческую жизнь	1	1
217	отказался от	1	1
218	что бы	1	1
219	человечество и	1	1
220	его на	2	1
221	как в	3	1
222	и мир	1	1
223	все будут	1	1
224	пути в	1	1
225	в своем	4	1
226	все же	3	1
227	но с	1	1
228	с ними	2	1
229	и каким	1	1
230	мы увидим	3	1
231	позитивизма и	1	1
232	ли он	1	1
233	и хотя	1	1
234	в разные	1	1
235	и так	3	1
236	со своей	3	1
237	в самом	2	1
238	их жизни	1	1
239	у них	1	1
240	в которой	4	1
241	в целом	3	1
242	богом и	1	1
243	теперь в	1	1
244	и моей	1	1
245	тоже не	1	1
246	в этой	4	1
247	им в	1	1
248	человеке и	1	1
249	я в	1	1
250	уже в	7	1
251	жизнь как	1	1
252	в которую	2	1
253	то и	2	1
254	в виде	3	1
255	и если	5	1
256	слова не	1	1
257	о которой	3	1
258	чего бы	1	1
259	говорит что	4	1
260	в я	4	1
261	чем у	1	1
262	и навсегда	1	1
263	жил и	1	1
264	и вот	3	1
265	вовсе не	5	1
