N	2gram	Losev_Vesc_1	StatiiOP
1	и в	21	25
2	в этом	4	24
3	в том	8	20
4	что в	9	19
5	тем что	2	19
6	может быть	16	19
7	что он	1	19
8	что это	13	16
9	том что	8	15
10	в этой	3	14
11	и пр	6	13
12	в его	2	12
13	то что	27	12
14	не только	36	12
15	так что	5	11
16	в этих	1	11
17	прежде всего	9	10
18	таким образом	8	10
19	и не	29	10
20	но и	18	9
21	у него	2	9
22	и т	19	8
23	в языке	1	8
24	это было	1	8
25	т е	55	8
26	все это	5	8
27	в своих	1	8
28	о том	6	8
29	не может	17	7
30	точки зрения	5	7
31	в то	3	7
32	из его	2	7
33	что такое	12	7
34	это не	5	7
35	с этим	3	7
36	было бы	14	7
37	а а	1	6
38	как бы	12	6
39	не в	5	6
40	а в	4	6
41	в конце	2	6
42	в россии	2	6
43	из этих	1	6
44	только в	14	6
45	так и	3	5
46	на то	4	5
47	об этом	3	5
48	независимо от	5	5
49	того что	8	5
50	потому что	16	5
51	то же	6	5
52	ни в	1	5
53	мы имеем	7	5
54	другой стороны	2	5
55	в котором	3	5
56	с другой	6	5
57	говорит что	1	5
58	но в	5	5
59	а не	19	5
60	и это	14	5
61	в которой	1	4
62	можно назвать	1	4
63	все же	4	4
64	во всяком	3	4
65	как и	8	4
66	можно сказать	6	4
67	отличается от	7	4
68	и для	9	4
69	это есть	7	4
70	время как	1	4
71	в жизни	3	4
72	к нему	1	4
73	это в	1	4
74	в смысле	12	4
75	и с	8	4
76	в ней	12	4
77	то в	4	4
78	у нас	7	4
79	не было	1	4
80	в течение	1	4
81	отношение к	1	4
82	в рукописи	1	4
83	к ней	2	4
84	из которых	1	4
85	и к	1	4
86	из этого	1	4
87	в своей	5	4
88	связана с	1	4
89	в чем	6	4
90	сказать что	17	4
91	относится к	5	4
92	ничего не	3	4
93	всяком случае	2	4
94	если бы	5	4
95	что эти	1	4
96	в особенности	1	4
97	и тем	3	4
98	по крайней	4	4
99	а также	1	4
100	этом отношении	1	4
101	мы видим	2	4
102	с тем	5	4
103	в качестве	1	4
104	с точки	3	4
105	то время	1	4
106	в общем	1	4
107	крайней мере	4	4
108	была бы	2	4
109	точка зрения	1	4
110	но это	10	4
111	все эти	3	3
112	о которых	1	3
113	этой вещи	2	3
114	и здесь	4	3
115	в в	2	3
116	и наконец	1	3
117	в другом	2	3
118	конце концов	2	3
119	говорить о	6	3
120	но он	2	3
121	в виде	1	3
122	кроме того	4	3
123	я и	6	3
124	как раз	9	3
125	к которому	1	3
126	не так	1	3
127	что я	24	3
128	между прочим	3	3
129	другое дело	1	3
130	нет никакого	2	3
131	его как	1	3
132	тому что	2	3
133	xviii в	1	3
134	бы совершенно	1	3
135	для него	4	3
136	на вопрос	1	3
137	и его	2	3
138	с которым	1	3
139	с этой	4	3
140	и если	2	3
141	и что	15	3
142	уже не	9	3
143	вы знаете	1	3
144	что все	2	3
145	со стороны	5	3
146	одной стороны	3	3
147	на этом	2	3
148	всех этих	1	3
149	я имею	2	3
150	несмотря на	1	3
151	с его	1	3
152	на эти	1	3
153	от нее	2	3
154	к этому	1	3
155	не является	1	3
156	уже в	1	3
157	так как	7	3
158	что мы	14	3
159	и более	1	3
160	если и	1	2
161	еще не	8	2
162	и только	3	2
163	или в	2	2
164	и ни	1	2
165	того же	5	2
166	что они	6	2
167	сам он	1	2
168	на это	4	2
169	только тогда	3	2
170	i и	1	2
171	т д	19	2
172	нас не	1	2
173	и ее	18	2
174	это выражение	2	2
175	вовсе не	10	2
176	так чтобы	2	2
177	есть в	1	2
178	гораздо более	1	2
179	то он	1	2
180	как можно	3	2
181	сих пор	1	2
182	и во	3	2
183	этот образ	1	2
184	что эта	1	2
185	самом деле	4	2
186	до сих	1	2
187	нет вообще	1	2
188	дело не	2	2
189	если в	1	2
190	во всех	2	2
191	мы имели	1	2
192	одно из	1	2
193	мы находим	2	2
194	не мог	1	2
195	но не	5	2
196	существует в	1	2
197	на что	1	2
198	вместе с	1	2
199	к такому	1	2
200	г г	1	2
201	мы не	6	2
202	в чисто	1	2
203	быть не	4	2
204	о которой	2	2
205	исторического процесса	1	2
206	нет и	1	2
207	к тому	3	2
208	никогда не	2	2
209	только что	2	2
210	времени и	1	2
211	и всегда	1	2
212	нас к	1	2
213	что нужно	3	2
214	с ее	6	2
215	как мы	4	2
216	утверждать что	1	2
217	все время	1	2
218	то и	4	2
219	ее в	1	2
220	что если	1	2
221	тогда когда	5	2
222	что не	5	2
223	что у	5	2
224	что из	2	2
225	не на	1	2
226	и у	3	2
227	в отношении	4	2
228	в сущности	4	2
229	для того	2	2
230	один из	3	2
231	на основе	1	2
232	том смысле	1	2
233	тем не	3	2
234	не столько	1	2
235	той же	2	2
236	которое он	1	2
237	и может	2	2
238	не буду	2	2
239	без всякого	4	2
240	думаю что	1	2
241	нужно сказать	1	2
242	если я	6	2
243	между собою	6	2
244	для этого	4	2
245	должен был	1	2
246	одна из	5	2
247	внимание на	1	2
248	от того	3	2
249	является как	1	2
250	что именно	1	2
251	с одной	3	2
252	в самом	9	2
253	не потому	6	2
254	для его	1	2
255	себя и	4	2
256	в результате	3	2
257	не просто	19	2
258	в это	1	2
259	могут быть	1	2
260	знаете что	1	2
261	при помощи	2	2
262	нет не	1	2
263	должен быть	2	2
264	этих двух	2	2
265	существуют в	1	2
266	в духе	1	2
267	и по	1	2
268	как я	4	2
269	одного из	1	2
270	заключается в	1	2
271	или иной	1	2
272	не менее	3	2
273	слово в	2	2
274	в виду	2	2
275	а с	3	2
276	ни на	3	2
277	и тогда	1	2
278	том чтобы	1	2
279	он и	1	2
280	в свою	4	2
281	во втором	2	2
282	его от	1	1
283	есть какой-то	2	1
284	может не	2	1
285	форма в	1	1
286	из таких	1	1
287	почти все	2	1
288	и этот	2	1
289	почти не	1	1
290	история и	1	1
291	со своим	7	1
292	когда мы	6	1
293	всегда в	1	1
294	то его	1	1
295	можно и	2	1
296	и того	2	1
297	бы в	5	1
298	для нас	2	1
299	в свое	2	1
300	я говорю	1	1
301	вопрос о	1	1
302	в собственном	2	1
303	в одно	1	1
304	же это	4	1
305	одно целое	1	1
306	с нею	18	1
307	и оно	3	1
308	на современность	1	1
309	можно различить	1	1
310	бы на	1	1
311	тогда наступает	1	1
312	о котором	1	1
313	только не	2	1
314	говорит о	1	1
315	она является	3	1
316	в двух	1	1
317	и живого	1	1
318	было и	2	1
319	которая тоже	2	1
320	и который	1	1
321	собою как	1	1
322	в разных	4	1
323	так же	1	1
324	этот смысл	1	1
325	тех кто	2	1
326	что когда	1	1
327	что как	1	1
328	начиная от	2	1
329	для всех	1	1
330	они как	2	1
331	все то	1	1
332	не к	1	1
333	своего существования	2	1
334	еще и	8	1
335	между собой	1	1
336	вдаваясь в	1	1
337	это определение	1	1
338	это совершенно	4	1
339	в поэтическом	1	1
340	думать что	1	1
341	как с	4	1
342	и их	7	1
343	здесь как	1	1
344	должна быть	4	1
345	и социальной	1	1
346	только при	1	1
347	и все	5	1
348	мере три	1	1
349	это делаю	1	1
350	смысл в	1	1
351	и больше	9	1
352	важно только	1	1
353	что является	1	1
354	смысле что	1	1
355	свое время	2	1
356	всего этого	1	1
357	с ним	8	1
358	в нем	2	1
359	к новым	1	1
360	и так	1	1
361	вообще и	4	1
362	вещи мы	3	1
363	вещами в	1	1
364	хотя бы	6	1
365	совершенно ясно	2	1
366	ним и	1	1
367	которая как	1	1
368	чтобы стать	1	1
369	этой точки	1	1
370	и другие	1	1
371	в последние	2	1
372	свое внимание	1	1
373	с нами	1	1
374	нисколько не	4	1
375	себя а	1	1
376	но можно	1	1
377	е не	2	1
378	того чтобы	3	1
379	и исторической	1	1
380	по себе	13	1
381	с большим	1	1
382	я узнал	1	1
383	на нем	1	1
384	не дает	1	1
385	на мой	1	1
386	на западе	1	1
387	в окружающей	1	1
388	так в	1	1
389	еще до	1	1
390	то без	3	1
391	пор мы	1	1
392	же самое	1	1
393	тем или	1	1
394	говорить об	1	1
395	вот почему	3	1
396	личность как	2	1
397	о той	1	1
398	и опыт	1	1
399	но может	1	1
400	того или	1	1
401	же нужно	1	1
402	и он	1	1
403	в одном	2	1
404	о значении	1	1
405	всегда стремится	1	1
406	со всеми	1	1
407	его в	2	1
408	только у	1	1
409	что сама	1	1
410	не можем	1	1
411	только ее	1	1
412	по своей	2	1
413	в свете	7	1
414	этого мало	1	1
415	вещи в	9	1
416	самом начале	1	1
417	что же	8	1
418	что ее	2	1
419	прочим и	2	1
420	есть не	14	1
421	является его	1	1
422	а тем	1	1
423	а именно	1	1
424	но то	2	1
425	в ее	7	1
426	является т	1	1
427	мы встречаем	1	1
428	той или	2	1
429	на этой	1	1
430	конечно в	1	1
431	стороны ее	1	1
432	приводит к	1	1
433	раз в	1	1
434	есть ее	2	1
435	то как	2	1
436	а затем	2	1
437	собственном смысле	3	1
438	состоит из	1	1
439	и я	1	1
440	буду говорить	1	1
441	на самом	1	1
442	или другого	1	1
443	в той	3	1
444	выражения и	1	1
445	собою а	1	1
446	у них	1	1
447	что и	3	1
448	мы видели	1	1
449	где они	1	1
450	было не	1	1
451	и то	10	1
452	она отличается	1	1
453	переход от	1	1
454	знать что	1	1
455	из анализа	1	1
456	границы между	1	1
457	мы и	1	1
458	где в	1	1
459	то можно	1	1
460	что есть	5	1
461	по преимуществу	2	1
462	духа в	1	1
463	во внимание	1	1
464	в абсолютном	1	1
465	в дальнейшем	1	1
466	но на	2	1
467	мы подходим	2	1
468	но этот	1	1
469	пребывания в	1	1
470	с самой	6	1
471	а что	1	1
472	не стоит	1	1
473	нет никакой	2	1
474	я могу	2	1
475	только одно	2	1
476	до того	1	1
477	он с	1	1
478	это относится	1	1
479	если не	3	1
480	вообще с	1	1
481	это такой	1	1
482	которая была	1	1
483	жизни и	2	1
484	в применении	1	1
485	как она	4	1
486	поэтому и	1	1
487	именно так	1	1
488	тут нет	1	1
489	но уже	3	1
490	свою очередь	4	1
491	дело в	4	1
492	не все	1	1
493	остановиться на	1	1
494	и о	3	1
495	это уже	1	1
496	когда она	4	1
497	находится в	3	1
498	от этого	2	1
499	состоит как	1	1
500	вообще нет	1	1
501	от некоторых	1	1
502	говорить что	3	1
503	мы в	1	1
504	свое выражение	3	1
505	тот или	1	1
506	в истории	1	1
507	и еще	2	1
508	в каком-то	2	1
509	должно быть	6	1
510	вообще в	1	1
511	том как	1	1
512	очевидно что	1	1
513	а и	9	1
514	современность и	1	1
515	ясно что	8	1
516	кто в	1	1
517	своей собственной	1	1
518	в первом	2	1
519	уже были	1	1
520	же т	3	1
521	в и	2	1
522	иной раз	1	1
523	о чем	1	1
524	говорится о	2	1
525	что значит	8	1
526	в те	1	1
527	то это	3	1
528	или менее	1	1
529	ее с	5	1
530	не о	1	1
531	нужно иметь	1	1
532	ту же	2	1
533	сил и	1	1
534	ему в	1	1
535	тому как	4	1
536	вещь как	7	1
537	это приводит	1	1
538	что еще	1	1
539	для своего	1	1
540	в пределах	1	1
541	об отношении	1	1
542	однако и	1	1
543	более или	1	1
544	вещи но	14	1
545	является не	1	1
546	но так	1	1
547	в выражении	1	1
548	и когда	4	1
549	сравнить с	1	1
550	сам по	3	1
551	слова в	2	1
552	ни у	1	1
553	с новыми	1	1
554	когда имеется	1	1
555	из своих	1	1
556	как нечто	2	1
557	это однако	1	1
558	уже сейчас	2	1
559	также не	1	1
560	я это	1	1
561	не вдаваясь	1	1
562	именно в	1	1
563	это значит	24	1
564	когда он	1	1
565	в данный	1	1
566	немецкий язык	1	1
567	во всей	1	1
568	для себя	5	1
569	напр в	1	1
570	что вы	3	1
571	от себя	1	1
572	точно и	1	1
573	общем итоге	1	1
574	и образ	3	1
575	даже и	4	1
576	однако не	2	1
577	поэтому в	1	1
578	с большой	1	1
579	все дело	1	1
580	мы будем	1	1
581	и почему	1	1
582	в работах	2	1
583	из всех	1	1
584	и она	1	1
585	наряду с	1	1
586	тут у	1	1
587	она еще	2	1
588	язык и	1	1
589	и эта	3	1
590	ли он	1	1
591	время из	1	1
592	от других	1	1
593	не случайно	2	1
594	они уже	1	1
595	в наше	1	1
596	смысл который	1	1
597	больше ничего	8	1
598	также и	6	1
599	этого человека	1	1
600	и говорить	1	1
601	состоят из	1	1
602	и нет	1	1
603	в частности	1	1
604	есть и	4	1
605	но что	2	1
606	вещами и	2	1
607	но у	1	1
608	и эти	2	1
609	по существу	2	1
610	собственно говоря	4	1
611	и ему	1	1
612	которая не	1	1
613	и где	1	1
614	или как	2	1
615	не из	2	1
616	чем же	3	1
617	но совершенно	2	1
618	знает что	2	1
619	но ясно	3	1
620	что она	15	1
621	ничто не	2	1
622	как оно	3	1
623	его с	1	1
624	формы и	1	1
625	на себя	1	1
626	так или	4	1
627	быть в	1	1
628	тут можно	1	1
629	не больше	1	1
630	которое было	1	1
631	в самой	2	1
632	то мы	2	1
633	пр но	1	1
634	он становится	1	1
635	из многих	1	1
636	свое собственное	1	1
637	могло бы	1	1
638	языка не	1	1
639	конечно не	1	1
640	а потом	2	1
641	каждой из	2	1
642	из них	4	1
643	или иначе	4	1
644	от необходимости	1	1
645	обычно в	1	1
646	еще один	1	1
647	можно было	2	1
648	эти вопросы	1	1
649	подходим к	2	1
650	что создает	1	1
651	и каково	1	1
652	и как	8	1
653	именно этот	1	1
654	а это	4	1
655	в своем	6	1
656	она была	2	1
657	все что	1	1
658	является в	2	1
659	в данной	1	1
660	именно то	1	1
661	мы знаем	1	1
662	иногда это	1	1
663	применении к	2	1
664	и значит	2	1
665	является и	1	1
666	свою собственную	1	1
667	но для	2	1
668	нужно как	1	1
669	в данном	5	1
670	этой основной	1	1
