N	2gram	Medvedev_V_1	Tvorches
1	у достоевского	1	28
2	и в	26	21
3	как бы	5	17
4	в то	6	15
5	то же	10	13
6	в его	14	13
7	достоевского в	1	12
8	то есть	1	12
9	как и	7	12
10	же время	5	12
11	что в	10	12
12	с его	3	11
13	том что	8	11
14	все это	10	10
15	в романе	4	10
16	как в	1	8
17	он не	2	8
18	то что	6	8
19	в году	6	7
20	но в	2	7
21	не только	25	7
22	у него	6	7
23	и не	19	7
24	в том	15	7
25	в свою	1	7
26	в этом	26	6
27	в творчестве	3	6
28	человека в	2	6
29	в котором	3	6
30	не менее	2	6
31	и его	6	6
32	он сам	2	6
33	о том	10	6
34	и все	1	6
35	что он	4	6
36	для него	8	6
37	а в	3	6
38	отнюдь не	3	5
39	все же	5	5
40	в этой	4	5
41	таким образом	31	5
42	вовсе не	3	5
43	в своих	2	5
44	потому что	1	5
45	как будто	1	5
46	только в	7	5
47	может быть	22	5
48	а не	7	5
49	но это	1	5
50	хотя бы	19	5
51	человека и	3	4
52	конечном счете	5	4
53	в своем	8	4
54	и как	3	4
55	в целом	4	4
56	это не	7	4
57	в своей	4	4
58	не случайно	1	4
59	в конечном	7	4
60	одной из	1	4
61	прежде всего	13	4
62	на эту	1	4
63	не может	17	4
64	и от	3	4
65	в основном	5	4
66	один из	5	4
67	процесса в	1	4
68	одним из	5	4
69	о свободе	1	3
70	ту же	2	3
71	и т	23	3
72	это и	6	3
73	не был	1	3
74	хотя и	2	3
75	в самом	4	3
76	тут и	1	3
77	в нем	6	3
78	первой части	1	3
79	на его	1	3
80	и по	3	3
81	в каждом	2	3
82	что все	3	3
83	и других	1	3
84	на протяжении	1	3
85	достоевского и	2	3
86	соответствии с	1	3
87	далеко не	2	3
88	своей личности	1	3
89	в их	5	3
90	даже в	5	3
91	дело не	1	3
92	самого начала	1	3
93	не по	2	3
94	никогда не	4	3
95	достоевский в	1	3
96	вот почему	4	3
97	приходит к	1	3
98	с ее	1	3
99	и другие	1	3
100	в дальнейшем	1	3
101	с ним	1	3
102	в ту	1	3
103	того что	3	3
104	действительной жизни	3	3
105	который в	1	3
106	во времени	1	3
107	человеческой личности	1	3
108	уже не	1	3
109	уже в	1	3
110	в виде	1	3
111	говорит о	7	3
112	в соответствии	1	3
113	в которой	2	3
114	и даже	2	3
115	с другой	11	3
116	но и	10	3
117	но не	2	3
118	он говорит	5	3
119	романов достоевского	1	3
120	в книге	2	3
121	это как	1	3
122	своих героев	2	3
123	утверждал что	1	3
124	жизни и	3	3
125	ее в	4	3
126	это в	1	3
127	так же	3	3
128	вряд ли	1	2
129	в нашей	4	2
130	проблемы в	1	2
131	а г	1	2
132	самом деле	1	2
133	некоторые из	3	2
134	действительности и	7	2
135	а как	2	2
136	но она	1	2
137	и он	2	2
138	героя и	1	2
139	в ней	2	2
140	собой в	1	2
141	во имя	1	2
142	в чем	2	2
143	если в	2	2
144	и достоевский	2	2
145	когда он	3	2
146	говорит что	1	2
147	и наконец	2	2
148	то в	1	2
149	одоевский в	1	2
150	к достижению	1	2
151	в себе	6	2
152	что она	2	2
153	так сказать	2	2
154	у пушкина	2	2
155	в комнату	2	2
156	а затем	2	2
157	о котором	1	2
158	а по	1	2
159	в данном	1	2
160	в этих	1	2
161	не столько	2	2
162	в черновиках	1	2
163	говорит об	2	2
164	не в	6	2
165	но он	1	2
166	по крайней	2	2
