N	3gram	Medvedev_F_2	Marksizm
1	с точки зрения	7	20
2	не может быть	10	13
3	в самом деле	5	9
4	и не может	3	9
5	до сих пор	1	8
6	бы то ни	1	8
7	в связи с	10	7
8	в настоящее время	1	6
9	язык как система	1	6
10	в отличие от	2	5
11	языка как системы	1	5
12	как мы знаем	2	5
13	в направлении к	1	5
14	до настоящего времени	1	5
15	с другой стороны	3	5
16	наук об идеологиях	1	4
17	с самого начала	2	4
18	является не только	1	3
19	в этом случае	1	3
20	в этом отношении	7	3
21	на этот вопрос	1	3
22	и пр в	1	3
23	может быть и	3	3
24	в высшей степени	4	3
25	в конце концов	2	3
26	и тот же	1	3
27	все без исключения	2	3
28	науки о языке	1	3
29	один и тот	1	3
30	языка и его	5	3
31	то же время	5	3
32	связи с этим	3	3
33	но все же	2	3
34	в большинстве случаев	3	3
35	в то же	5	3
36	для того чтобы	3	3
37	в том что	2	3
38	теперь мы должны	1	2
39	пр и пр	4	2
40	сводится к тому	1	2
41	но при этом	1	2
42	с установкой на	1	2
43	на первый план	2	2
44	в таком случае	1	2
45	в неразрывной связи	1	2
46	сама по себе	1	2
47	является одним из	1	2
48	и пр и	4	2
49	в узком смысле	1	2
50	но в то	1	2
51	во всяком случае	5	2
52	смысле этого слова	1	2
53	не могут быть	4	2
54	в пределах индивидуального	1	2
55	при этом условии	1	2
56	мы не найдем	1	2
57	между этими двумя	2	2
58	в свою очередь	1	2
59	это и есть	1	2
60	быть и речи	3	2
61	и прежде всего	2	2
62	самого начала ясно	1	2
63	в этом смысле	2	2
64	языка в смысле	1	2
65	самом деле ведь	1	2
66	начала ясно что	1	2
67	тем не менее	1	2
68	ничего общего с	1	2
69	речевого общения в	2	2
70	к одному центру	1	1
71	все более и	1	1
72	как к своему	1	1
73	социально организованными людьми	1	1
74	с другими областями	1	1
75	в других областях	1	1
76	не могла быть	1	1
77	прежде всего как	1	1
78	такая абстракция совершенно	1	1
79	отнесения их к	1	1
80	и есть его	1	1
81	не следует что	2	1
82	и пр но	3	1
83	к специфическим особенностям	2	1
84	чуть ли не	1	1
85	прежде всего в	2	1
86	укладываются в рамки	1	1
87	равно как и	1	1
88	большей или меньшей	1	1
89	действительности но и	1	1
90	ни о какой	2	1
91	как бы между	1	1
92	между социально организованными	1	1
93	языка и не	1	1
94	что же касается	1	1
95	всецело зависит от	1	1
96	и во всяком	1	1
97	в одной из	1	1
98	в процессе взаимодействия	1	1
99	его к определенному	1	1
100	отнюдь не могут	1	1
101	языка но и	1	1
102	значение не только	1	1
103	до известной степени	3	1
104	сами по себе	2	1
105	но и в	3	1
106	чем же является	2	1
107	не было бы	1	1
108	по аналогии с	1	1
109	языка ни о	1	1
110	направлено на предмет	1	1
111	направлении к этому	1	1
112	самом деле по	1	1
113	и лишь постольку	1	1
114	как в языке	1	1
115	единстве социальной жизни	1	1
116	в системе языка	1	1
117	лишь в процессе	1	1
118	пределах индивидуального организма	1	1
119	к ней как	1	1
120	чем иным как	1	1
121	является не чем	1	1
122	так сказать в	1	1
123	а если и	1	1
124	не приблизимся к	1	1
125	так или иначе	1	1
126	в значительной степени	3	1
127	мы полагаем что	1	1
128	неразрывной связи с	1	1
129	в единстве социальной	1	1
130	не чем иным	1	1
131	в другом направлении	1	1
132	на эти вопросы	1	1
133	дело идет о	2	1
134	связей с другими	1	1
135	лежит в основе	1	1
136	объектом науки о	1	1
137	с одной стороны	1	1
138	не может ведь	1	1
139	всего может быть	1	1
140	языка как ее	1	1
141	так как они	2	1
142	в школе фосслера	1	1
143	прежде всего необходимо	1	1
144	абстракция совершенно правомерна	1	1
145	лишь поскольку он	1	1
146	в большей или	1	1
147	все же не	1	1
148	является слово в	1	1
149	в систему языка	1	1
150	следует сказать что	1	1
151	как мы увидим	1	1
152	отнюдь не следует	2	1
153	социального события общения	1	1
154	входит в систему	1	1
155	а не в	1	1
156	все эти формы	1	1
157	в его целом	1	1
158	тем что в	1	1
159	именно в том	1	1
160	в широком смысле	1	1
161	можно воспринять как	1	1
162	она могла бы	1	1
163	нет подхода к	1	1
164	более или менее	1	1
165	таким образом в	1	1
166	только но и	1	1
167	так и в	3	1
168	рядом с этим	1	1
169	до крайней степени	1	1
170	с другими элементами	1	1
171	с тем что	5	1
172	и без того	1	1
173	но менее всего	1	1
174	не приходится говорить	1	1
175	ни о каком	3	1
176	более и более	1	1
177	или во всяком	1	1
178	не в организме	1	1
179	и его формы	1	1
180	превратилась бы в	1	1
181	таким образом не	2	1
182	в применении к	2	1
183	у нас не	1	1
184	к тому что	2	1
185	различия между этими	1	1
186	в каком-нибудь определенном	1	1
187	на самом деле	3	1
188	как ее понимают	1	1
189	и до настоящего	1	1
190	в последнем счете	1	1
191	таким образом с	1	1
192	как мы видели	4	1
193	который как таковой	1	1
